FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
414782,247356,322964,2242150,1524690,217464,6991.48,3947.99,33577.5,37988.8,9470.21,9468.71
613269,360335,224657,1531800,948540,139092,22016.4,4263.89,17053.4,52216.7,11148.2,24021.1
530946,357395,176415,1039180,742973,125825,8001.51,3050.73,9609.28,30277.3,11484.1,17489.4
615124,347591,296871,1820740,997589,165094,14283.1,3237,24267.8,52401,8664.35,17291.7
632090,354978,308773,1792070,1006330,173489,9969.6,3119.99,8739.69,67994,6385.3,20062.8
1272790,669861,618009,4037070,2178210,324282,22552.6,7870.36,10642.5,150183,25291.9,61525.7
1058580,518649,434987,2982050,1372680,207879,15913.7,5363.88,8616.24,76695,31407.3,30690.9
436803,287737,153146,978472,677596,108753,7730.28,1371.82,69408,16179.2,9512.78,9346.75
753819,334455,310776,2125760,884888,134877,13634.7,4819.5,16432.1,72453.9,30932.1,27353.9
520977,348393,155726,1005180,735622,115499,10105.4,3316.59,19397.6,19627.7,8633.16,10934.6
938061,325235,458053,3289880,1154510,149053,18804.2,5544.59,8673.35,299143,12271.7,42893.7
545213,326762,273268,1618180,1084370,183959,18169,2035.79,17770.4,67342.2,9920.3,20297.9
665727,399794,299631,2054610,1323080,195619,20368.5,2139.86,64405.9,72646.5,10845.8,15293.2
678887,428328,197693,1330870,873781,132511,9357.28,3311.26,110299,28277,11207.9,10242.6
572209,402736,278801,2037380,1460370,199289,11448,3844.13,143782,42369.9,12034.3,13685.9
548194,309313,326250,1853110,1212630,213580,19111.8,3083.83,101177,31595.7,16073.8,19746.5
573833,308842,316039,1872570,1095020,190665,13098.4,5404.13,6823.01,78012.9,13571.6,26051.8
560968,354289,186023,1185520,692307,109491,10145.1,2603,138657,34536.9,11589,11894.2
455648,273339,314002,1814340,1246030,221927,16036.9,4296.86,172306,40517,8030.73,16760.4
531137,333888,190189,1094140,755559,134506,13361,4193.12,49167.9,38586.6,8612,13359.1
685232,297427,214518,1553790,667979,95506,11064.9,3026.56,47664.2,45313.1,14643.1,15838
485766,269264,361124,2205880,1210770,198600,12122.3,4465.09,5305.13,76513.9,10260.2,39159.2
805040,480785,365503,2617310,1551160,214092,10422.6,6760,6849.41,45509,6682.41,47217
613276,294868,204780,1387810,747863,109399,18526.7,2314.82,33404.2,34349.3,9720.32,13247
628478,303823,187807,1259640,655744,98594,11800.2,8304.29,234274,47199.2,11732.1,14340.4
595997,333329,392790,2226020,1298070,234308,20345.6,2898.52,30634.2,108953,12535.5,25897.2
1019420,528592,348846,1939780,1281540,229553,12098.5,2157.75,6453.24,46757.1,10837.7,22082.9
792561,422091,273303,1607240,894349,149842,15297.5,2721.75,47921.1,22968.8,11967.9,11725.7
637242,336990,234977,1482980,913386,146777,17714.5,4724.34,17397,40264,7811.43,25706
1154400,432756,618807,3880130,1588160,265990,20982.4,6211.04,8400.18,104764,10853.8,49141.1
448383,257901,316989,1960210,1254330,212621,8680.09,5184.62,333112,27340.4,14418.6,13955.4
704599,337380,575834,3335080,1462900,255211,9532.17,2874.02,7930.7,74189,7234.2,35824
795527,307098,586259,4194300,2219580,305675,27973.3,8704.45,254070,141279,26003,24804.4
567422,363255,260502,1562380,875442,148830,6447.47,3233.65,139330,41202.4,9556.02,10197.4
704719,396597,271276,1490910,954261,176175,10628.6,3000.07,10006.3,75592.4,7453.59,35788.9
547702,290233,356947,2220260,1087290,177199,8264.33,4543.47,17672.6,48756.2,6485.96,15094.2
787208,454255,230925,1436530,849502,137562,11497.5,3462.91,52680.9,19996.2,6941.47,14736.8
603836,368002,317448,2101650,1436010,215236,11180.2,2511.67,204793,31391.4,9681.1,10315.6
575546,363513,293513,1735430,1127360,190792,9715.73,1096.99,12791.7,20797.1,6763.78,13839.1
519442,288973,317602,2008980,1192260,185807,9176.1,1104.39,10840.3,55592.3,9631.19,12141.9
1366090,716195,821021,4194300,2785140,400151,18888.7,1929.26,6208.98,45334.3,10611.2,36951.2
1539980,745007,919855,4194300,3042440,546745,14625.5,5985.29,112502,90630.5,9724.8,40770.3
1263070,545827,511507,3794830,1233360,163638,19706.3,8417.33,80712.8,62858,11815.6,63356.6
599281,386835,336129,1922400,1438520,253718,8073.91,1461,112624,27745.2,8617.92,11993.7
765593,382735,228199,1525320,907951,131705,13336.7,3537.16,15134.4,57351.7,15495.2,13867.1
641589,331262,508816,3372750,1849680,269950,19283.7,10751.1,5111.26,77522.3,13309.1,40934
827508,441838,342890,1986940,1076360,190134,14857,2793.41,125815,38845.6,8167.5,17990.5
577532,359484,234335,1578350,1095420,163739,10834,3943.78,705434,49864.4,6914.66,13654.4
608761,333625,300698,2253080,1404270,185465,18733.4,2612.25,15978.8,306437,8923.53,33753.1
650344,382508,295791,2757530,1780100,188594,11256.7,4758.44,5578.45,62044.1,10779.8,20211.5
1009570,481799,425858,2623160,1368160,220079,12673.2,3939.05,34328,79559.7,8279.19,29832.3
750444,458863,236179,1280570,831509,155549,13345.2,7376.03,514024,73807,7559.88,17101.7
975887,524106,661102,4194300,2863400,432586,7711.77,4535.81,39665.7,43506.8,11730.2,15536.7
402549,259178,230935,1494590,1022990,154357,5913.36,5985.3,5100.55,37587.8,10200.1,14180.3
1131010,552428,623566,3622500,1753110,307429,15252.9,3203.56,5208.86,93601.6,9337.44,31513.4
714330,460382,201577,1171390,807166,139548,15016,2568.04,93552.4,36789.7,10603.4,12736
1121560,404191,732088,4194300,2104720,327282,15576,4067.01,347627,77404.2,10625.5,32086
651252,388996,331807,2122470,1485340,233257,11257.2,3111.34,23317.8,50775.4,6687.84,20684.5
683051,376015,313633,1907200,1092880,183493,6602.75,2412.67,9191.31,31766.5,7290.94,10465.4
761044,326217,346456,2452440,1110180,155721,13678.2,3382.14,79315.2,64664.4,10894.9,14142.1
451229,312563,203683,1145010,824811,142244,10573.5,1709,89661.2,37162.7,6571.82,11654
677898,402922,321118,2508510,1460480,180630,9814.65,2586.83,10454.9,39666.8,8045.6,16385.9
948027,445250,426713,2798850,1304550,188255,12995,6920.71,8326.11,71829.4,9589.92,52023.1
705283,339672,336205,2274380,1207260,179304,18438.7,4028.27,128179,118137,16628.3,16289.6
755431,306505,379609,2988280,1149650,148162,26096.2,4972.89,20801.8,281956,12163.4,52997.6
1368490,731317,693017,4194300,2430070,365056,26403.8,8280.47,46781.9,159672,36403.9,44118.3
523066,253028,188314,1669060,842112,84330,14255.6,4504.39,215674,64439.1,8496.79,10268.2
1151290,424333,413033,2556160,951508,156132,11088.7,2442.4,6820.52,37469.4,12728.5,41089.8
1328310,544229,764927,4194300,2148340,337208,21192,1771.03,153088,50793.6,22659.7,27256.5
1189180,465369,695261,4098560,2335170,402088,33075.5,7274.31,158628,156791,20061.1,35070.8
482483,324271,200800,1233080,799125,128992,7986.28,1090.15,77122.3,58174.1,27513,12136.4
826243,492767,498762,2997890,2043940,334470,3500.96,2227.66,420222,51729.4,9214.19,21232.4
722653,410836,393871,2136760,1202620,231247,8761,4963.73,7473.13,145810,7816.9,53503.5
628901,367421,460614,2788970,1637550,268632,8396.66,6169.3,6096.24,97643.5,11026.3,33188.9
912239,575229,538137,3449800,2300860,370247,14639.8,2335.04,572411,68137.6,7867.26,22310.1
848097,456136,464617,2822520,1542590,260597,14521,7134.29,28825.6,94578.6,19216.4,21688.5
747835,415562,192089,1360620,750739,107593,8479.64,2602.85,5358.56,30132.4,15038.4,14076.6
767693,418330,379827,2464870,1433900,219645,11473.9,3775.34,49617.2,72448.7,11419.6,18423
604870,351192,177164,1463510,882163,102715,10303.1,3987.62,161950,41254.7,7855.54,8912.13
557321,373128,252242,1541650,1019640,167372,8827.36,3458.15,470495,54033.6,10796.3,13472.6
747994,427861,281332,1892370,1247200,185643,17392,2464.65,168535,26094.4,6880.19,12831
800971,393957,578415,3454120,1977500,318374,14018.7,8635.5,40205.8,60269,16830.4,21312.3
469785,307847,224240,1337670,952918,158843,9366.42,3284.21,278530,42585.1,7357.95,7444.71
859243,453879,288514,1846620,1020440,156056,6983.94,3238.42,44112.8,33017.5,11084.6,13476.3
640004,381618,268232,1716470,1206170,193032,18207.8,3568.88,12764.7,78351.4,12891.5,24987.1
599844,356403,174465,1527910,1052360,116591,8676.52,2297.28,41608.2,56654.4,7475.94,15936
690577,362865,218981,1431930,864754,133368,20590.6,2414.91,23725.1,115736,8502.47,20623.7
592910,410521,134230,1025750,800443,103044,8927.66,1032.76,68246.1,15051.9,10236,6347.49
636165,346492,261109,1651660,964214,154196,13140.6,2750.71,10484,73012,18200.7,16455.7
689242,431155,595360,3568480,2327870,391536,11034.9,2890.11,236593,59156,11367.4,15746.2
814894,341760,438013,2691580,1257240,191039,4456.81,3563.51,351335,49974.9,13790.2,23434.4
751530,487708,246973,1783550,1217110,167114,18588.6,2106.55,5197.81,150403,7522.87,55224.2
738288,405804,256844,1347800,790878,152353,14970,1003.43,5929.94,41469.5,8568.8,24910.1
529905,313670,210863,1189860,743409,133580,7329.82,5858.88,200243,30563.1,12175.1,12439.3
542863,312776,172929,1241170,756648,108756,10316.1,2933.15,19924.5,42436.9,14468.2,11754.2
374593,227171,208306,1720390,1049120,135453,13479.4,1955.15,154496,51085.6,9126.92,9152.25
556464,321641,258076,1548750,1037580,169821,12041.4,2665.9,77346,32401.4,6783.47,11704.3
802531,471622,322292,2053300,1337380,209017,27365.6,3818.86,24683.3,85956.6,17872.9,22793
894167,483759,363520,1989820,1144130,211229,11705,1184.77,27239.4,18649.6,7345.57,11765.8
492347,277306,282860,1679990,938609,151126,8116.25,2323.47,171058,60281.3,10636.3,17484.2
566099,341897,217850,1446360,876681,131044,13832.3,5255.34,359518,62497,7272.73,14634.7
1409390,604833,606385,3627610,1309130,224667,15572.9,8373.78,75765,89668.6,19818,60379.5
550954,287820,245266,1925010,1071440,142374,29773.5,6257.81,40632.4,100809,20630.2,27896.9
660731,315402,295852,2084210,1055250,157356,10649.9,2595.05,9160.29,53660.8,17860,26741.1
1068260,451825,329781,2640350,1158870,138657,20285.2,5315.79,132970,80520.2,19555.2,19701.8
1120110,416559,661061,3910950,1729050,285997,21909.9,6053.91,195475,116312,33130.1,37882.6
533313,332961,198559,1192280,849629,138969,6916.53,4113.72,15211.5,39677.4,6371.95,13807.2
805806,345775,306915,1872060,908877,147654,14281.8,3438.75,7470.26,84135.4,21498.3,22306
1053280,437762,317363,1865850,849643,144335,7307.71,3577.82,9391.03,38643.9,10205.5,23017
678944,392590,323537,2132460,1376800,222265,9577.39,3120.9,46603.9,37549.7,6612.03,10964.3
695629,369149,320134,1938270,1049180,177427,8195.8,1455.25,9780.06,24031.6,19050.6,15788
686578,320513,259021,1668420,705362,109106,5602.31,1666.59,22375.6,20777.8,10545.5,19057.5
958675,434654,309352,1901710,887632,153863,19234.1,3375.74,19723.4,89261.4,14003.2,32556.1
741077,457103,461554,2314600,1546150,321126,10136.5,4761.17,151290,57657.6,14095.2,17747.6
530283,326063,200695,1449560,1036190,138444,8219.59,1585.22,142955,35970.6,16216.8,8380.76
617523,384514,210172,1747080,1230530,152792,11218,3655.28,733042,74444.1,12480.8,15748.1
982676,413303,429643,2664430,1271990,216285,13967.3,2916.27,10919.5,114601,15085,19777.3
584212,374038,260701,1509100,1071910,188539,19217.4,1263.8,19713.5,53242.6,8798.43,20598.7
782200,409696,426415,2645980,1394200,217329,12961.3,7982.81,6370.28,70668.9,11278.1,64144.9
818018,500319,379730,2276990,1473860,243495,9701.71,3972.22,19508.8,157742,6582.28,25449
654050,312310,228984,1331970,648465,117478,9914.21,2903.3,5851.88,87828.9,7578.16,20327.8
705239,465782,297459,1843810,1396780,220913,4983.09,2389.8,54626.2,31364.4,12310.1,13681.3
732486,437947,295779,1665300,884256,162223,16545.2,9176.11,9555.56,80629,10627.5,41429.7
881419,332061,188993,1237460,437748,65549,14177.6,4351.28,68514.7,40351.6,13965.4,15057.7
1259630,708430,489829,2384010,1414110,296726,7851.96,7242.29,6404.11,59757.9,7180.9,53056.6
980346,531207,393587,2462100,1679940,263625,12002.5,1939.22,122059,53176.4,27570.8,18982.3
572273,371503,194726,1082250,666255,121312,13431.3,976.031,17511.7,75808.8,8053.47,12901
1165660,674175,645447,4046650,2550300,427070,14553.6,2690.1,28256.5,320283,11422.6,32808.2
650850,372112,251806,1556160,1006520,163819,14041.7,1549.77,13169,88005.5,10025.7,14098.7
867817,442536,463208,2789820,1396190,241195,14134.8,4798.12,6755.82,70579.7,19384.6,41073.1
811823,487371,276813,1610720,1107960,185350,6940.06,1737.85,41301.4,52769.2,6729.09,16553.9
908393,398656,497612,3016410,1773170,302322,25439.5,2814.4,20714.8,107415,11920.3,33377.4
513953,310124,297820,2298070,1428260,186350,16530,3657.98,22783.1,55825.6,13377.2,12320
883173,311747,489258,3797700,1447620,189201,25276.6,3609.5,156906,120192,14248.5,45596.1
897145,453187,379871,2084880,1003600,184939,8445.78,1380.6,18027.2,30548.6,7909.68,15269
549255,326660,280953,1502420,1025200,197228,12223.3,4008.17,49162.9,61529.3,11805.6,14104
750335,376050,334506,1836780,950843,185312,16674.3,2757.04,79872.4,103515,10434,14110.1
512494,344320,149494,859934,614456,106277,13676.6,3770.72,18085.4,54357.4,9940.54,16241
1229300,666318,429835,2764440,1769530,279479,18727.4,6910.57,167792,109259,7575.58,19965.9
494850,324253,232424,1612610,1143750,163920,10593.6,4430.57,22752.5,51933.7,7504.29,11888.5
887073,431947,388738,2156410,938165,168368,14833.1,4994.17,126576,50838.5,12293,23243.2
