FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
670761,262470,176255,1297580,612160,84878,11791.9,6353.78,188593,47699.9,11337.4,20040.5
406503,256891,307300,1796940,1152590,195635,5397.2,3547.61,22151.8,54002.4,19396.3,37618.5
591040,341174,298759,2119040,1424580,204222,17737.3,3788.29,66519.5,40637.6,17568.2,19848.1
685225,391445,217269,1241670,728872,132436,13732.1,2514.36,49871.8,47793.1,7811.92,16061.8
798939,300597,381990,2331610,1011360,166946,10551.5,4052.76,20683.6,68976.3,13163.9,24378.6
387702,232602,255505,1561240,1017370,164024,11634.7,2099.89,19074.1,43896.6,11418.8,30803.8
731308,369644,386876,2356400,1346350,220724,8777.6,2233.23,17321.5,53352.6,16366.5,25804.4
688161,380089,232902,1388700,790256,133654,22640.6,3213.3,78670.5,30220.6,10867,15852.2
461249,248290,248822,1700400,912196,141920,12622.1,1568.34,37502.7,48672.2,15540.4,10568.7
639761,392462,269536,1628350,1139010,190137,22674.8,2133.64,16937.6,60035.2,13960.7,30576.6
612633,339759,265619,1703400,1020250,163484,10507.2,1391.22,96405.4,20811.2,6799.07,15183.4
988595,548149,694399,4194300,3169640,474552,11719.5,2798.75,5333.96,198391,19297.9,28417.5
1031760,374046,392737,2905490,1023550,157138,15188.9,6669.45,187336,132848,19861.5,25792
462540,261880,219858,1232730,695140,125557,5729.04,1842.68,356096,29183.3,7749.48,8696.85
1547620,704878,632865,3206440,1622110,330942,14376.9,7015.71,11472.2,134493,15413.2,62347
909117,507269,422872,2747200,1953550,299262,9298.13,1597.71,16417.1,46510.3,15359.7,16394.2
830596,507953,376320,2521180,1800370,272696,10793.3,4244.23,234315,49239,31573.6,19962.1
967100,430666,486060,3034740,1632770,267251,10631.9,1742.88,34634.3,71405.8,6724.77,46279.3
894879,456399,401218,2827460,1280980,190694,12352.6,2111.99,14921.9,41941.9,9133.72,17959.3
513317,325371,177662,1096850,739718,114781,10207.5,3486.87,159077,76496.8,9829.4,18151.3
1084100,388179,498912,2970100,1123360,197149,20559,5465.41,53293.8,99355.1,12472.7,56374.4
1024130,470518,697100,4194300,2065810,307425,9764.49,6366.34,6991.31,67763.7,7946.67,48297
624459,309710,371478,2180360,991247,179973,12330.2,7524.94,50900.5,80254.7,29984.2,29698.7
410731,240309,300147,1760150,1110100,194714,12628.7,4366.4,33950,81920.9,20032,16032.4
709798,406970,290726,1857200,1134500,181135,16798.4,7749.38,180094,44316.7,25527.7,16547.9
684168,410295,389282,2241380,1501520,257498,9522.71,2489.32,245800,64542.9,11313.1,21535.8
447309,254658,328677,1936280,1286710,222105,8577.48,2780.65,340033,33546,11581.8,16565.7
582601,351081,281877,1704450,1185500,197653,12837.2,3020.65,17129.1,80757,9104.76,40769.8
962423,563364,553004,4000400,2425720,324111,11450.2,6052.46,6877.5,60734.5,7823.84,45964.9
650888,387964,446081,2662670,1684230,280888,5194.03,7412.61,158220,55196.4,14420.9,21408.5
625845,365928,289887,1663810,970378,172610,4817.14,3917.37,349175,27887.9,13126,16948.9
665141,353598,352258,2192830,1143180,182479,13715.2,4926.28,5662.49,59010.8,27118.6,32785.3
881427,396560,298422,1951600,749901,117922,8374.99,3693.24,167399,48545.6,8905.32,18614.4
510615,320323,214194,1186800,811309,149435,7153.54,1560.25,15957.3,20711,7482.8,12106.4
1070920,450828,386059,2638930,1418840,199701,20292.1,3545.14,16022,69104.8,11694.1,30496.9
1008830,437930,470465,2709200,1206790,222726,11732.1,7465.83,6640.43,62023.3,9634.28,33734.2
689459,375367,391124,2700920,1463500,207996,10903.6,5816.76,902384,40440.3,8342.17,18725.2
388684,248212,170332,1098770,775425,120755,9143.47,1332.84,9587.77,11207.7,13338.6,9824.6
890774,444759,462571,2845790,1728450,276647,11464.9,5099.3,45061.3,50354.5,7517.96,26076.1
777205,371726,356061,2215310,1305160,209259,16607.7,3111.53,6840.19,54982.3,7709.06,57608.8
766989,452452,281097,1617840,1038930,184191,12092.6,2917.76,50231.2,36743.4,16605.6,21784.2
559966,303149,285602,1675040,947678,162328,21802.1,6206.63,17462.7,47111.1,10287.9,47467.9
628382,384982,363595,2489030,1606110,235937,19626.5,2371.3,49301.2,266288,7120.43,18661.3
553884,290797,387505,2345330,1575900,255250,11059.3,8871.53,57637.8,58985.8,11006.9,27268.3
850582,390161,543239,3199720,1424780,250721,9541.34,2889.91,10072.8,202385,9153.47,41209.7
589286,362294,282584,1611170,1079670,189131,6882.53,2980.18,78394.2,136018,6655.59,15286.1
827540,433040,359647,2234030,1428480,226847,24115.2,4272.01,92180.9,283915,19347.3,44579.8
846623,376768,471422,3025530,1365240,220202,22377.4,6919.95,198247,96029.7,34463.4,52566.3
513672,237716,411183,2463430,1313200,219948,22482,3631.49,12318.2,135513,14033.7,54826.1
1073340,397529,720599,4194300,2292560,357686,18082.7,9121.55,12954.5,69810.7,15548.6,29997
603456,343922,248166,1635780,1059070,164294,10843.4,7234.36,237079,71398,14157.5,19499.4
491230,262949,320418,1945720,1209880,194532,6234.72,1387.55,39838.6,53419.6,10858.2,20336.5
663898,439346,318476,1749740,1124510,211974,12700.6,2746,139555,48309.5,20767.7,16828.7
747160,388474,366407,2132200,1078200,194975,8696.51,5519.19,234066,104575,10503,19150.5
500933,317541,244561,1350880,885401,164153,10470.1,2117.57,8313.94,48399,12208.3,25288.5
541602,306274,291287,1728280,972989,160240,19411.8,3754.06,172645,182961,8675.46,14646
531919,385729,218998,1309550,976506,163283,4599.66,3603.12,262186,30991.6,15356.1,13446.2
1205860,480890,513586,3029330,1109800,202046,21709.6,5303.27,40218.9,73389,22844.6,52906.2
840653,304965,259253,2154580,873233,110927,18294.8,5175.9,252595,106484,17127.4,31252.7
463026,246375,295095,1721190,1075640,186956,9667.76,838.609,9216.85,32883.2,9658.69,26017.5
860989,466057,481166,2568300,1702370,313048,12152,5238.47,14409.3,312999,13877.6,61599.8
964738,378232,525651,3541120,1388280,215774,16984.7,5318.14,807230,313058,7657.21,35211
812533,473220,376790,2253350,1575340,255010,3319.11,3899.3,497396,115166,8113.56,18491.2
908185,545501,535163,2957340,1897840,339246,5677.99,6790.47,101423,36323.2,8007.65,21464.1
632069,282649,381872,2323120,1314480,224691,16417.3,5519.12,44567.1,376727,18845.5,33851.3
995900,388591,478608,2866530,1287620,219282,16508.1,8744.67,402138,142948,16443.1,31048.7
954631,422984,354975,2343370,1207960,188299,13032.8,4986.77,28748,73923.4,21019.5,31985.5
805659,344694,377734,2090020,966827,177884,21611.1,4145.82,16329.6,106410,18269.2,47425.8
519941,317482,260463,1651170,1017020,163393,8140.23,1855.1,19995.6,110085,24532,26282.9
687174,346101,446941,2627250,1797230,301138,14205.2,6248.31,21607.1,106272,13660.2,39835.1
1007980,611727,554272,3294580,2268350,388699,15298.2,961.316,26704.1,93441.6,6629.71,29599.2
869793,396145,317177,1954790,984096,165660,8905.98,3742.97,11561,40489.3,11677.1,45031.8
709329,423891,335225,2480810,1643920,212573,9271.93,5059.52,19299.6,52091.4,6459.15,17770.7
509817,332298,235643,1462970,980097,155189,8902.76,3731.49,481894,71126.9,9546.07,9259.68
881710,292462,535875,3728800,1659300,238295,18820,9114.93,106377,78739.2,18287.7,29037.7
527746,300893,259347,1386160,898021,171912,12043.3,2666.42,10224.7,80236.2,14158.9,38456
1011220,511579,386832,2408410,1338810,218266,17453.1,6011.33,7545.5,54166.8,7691.04,43428.1
722990,404703,287103,1549280,909759,171385,23501.2,4780.48,143684,70758.5,11907,24972.2
639704,373639,382146,2512380,1608810,248113,13289.4,1502.06,250965,21540.3,8443.6,12504.7
607672,380377,389072,2539560,1594510,246162,10151.9,3754.42,434682,62202.2,9825.36,16739.8
754085,371212,538692,3522000,1732140,269192,13241.7,9312.13,10595.1,67554.1,12530.1,36557.1
805990,401515,335130,2055480,997060,165782,6430.79,3389.17,125271,40707.2,10504.3,14209.8
681466,422905,337488,2223120,1414870,213962,20942.4,2346.75,6449.67,155896,15185.6,28321.1
497214,340402,241852,1386650,890001,155368,7857.07,1790.37,250480,17177.8,6947.43,13226.1
613993,399067,183964,1119880,710887,116973,9593.73,2966.74,133001,32288.8,12722.3,20798.5
428709,266538,322066,1713140,1128070,215797,10534.4,3824.04,106666,226176,7702.19,31945.6
938506,454387,485286,3760760,1622770,208811,16572.9,5925.35,6694.78,96602.4,13896.1,52349
921030,479316,484533,2932890,1603880,275903,11983.5,5971.92,13468.5,76924.6,14401,42192.9
