FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
641141,254237,326425,1939500,883475,152860,8701.69,1893.47,5103.97,62910.7,6652.21,47527.6
725439,398997,609155,4165140,2254700,324144,9293.84,2647.9,19439,32910.3,8537.38,71747.9
587044,346900,332330,1971190,1320410,226889,17879.8,2704.61,38857.2,182618,6691.96,63472.9
672027,352497,207504,1373680,844560,124793,7846.62,5639.61,10779.2,26180,15632.4,15251.4
764843,466944,433602,2498190,1738560,299762,8811.05,4841.14,212564,39987.3,21197.9,77904.9
425535,262067,210779,1320870,932629,147399,20087.6,1739.26,39975,55758.1,9825.74,69957.8
919816,380334,507021,3296720,1845400,277589,11759.3,3458.73,28838.7,398117,14952.6,67512
548340,374324,186691,1164900,774733,125306,8662.84,3660.61,22539.2,20643.6,8215.54,10761.3
680288,402485,258602,1588760,988536,161838,11721.7,936.036,5946.41,50021.3,7473.51,54138.9
685683,402160,216931,1404230,950708,146948,14558.9,3474.36,13295,181903,8610.07,51377.9
547570,326072,485909,3014870,2274080,372440,21635.5,882.046,15479.7,210391,12402.3,63077.3
804112,493108,341360,1837940,1249170,231791,10768.9,2209.44,21559.1,43935.4,11138.5,47325.3
400376,210818,210332,1227470,732010,123656,6353.82,979.418,14075.3,203395,7660.73,51094.3
688717,300348,377398,2239660,1085380,184077,14849.3,2652.65,127229,89752.7,7026.05,15234.3
531207,318274,380652,2223810,1398120,246767,15677,1695.34,304975,169269,9666.52,22457.8
406206,274806,268540,1606120,1088840,178842,6763.11,898.929,363036,184430,7135.53,55521.5
770212,317961,436066,2888250,1244810,184177,18949.2,760.325,5285.05,90310.5,9002.15,50812
586782,340324,363844,2385870,1411520,209747,13728.8,1410.48,10624.8,63614.4,8816.62,44016.8
597757,364371,252880,1710590,1199730,175542,16237.8,2448.59,7943.42,101306,13409,61413.2
418993,283042,357301,2031870,1457750,260063,7045.86,1603,165982,210861,11468,64488.4
651242,354868,340655,2008600,1264380,209350,8080.9,4703.17,5334.19,149444,7259.06,61365.7
739514,323738,494609,3085630,1794440,295317,10227,3769.81,70252.9,69280.3,7297.78,84595.3
670787,359771,193249,1093630,570390,100658,7866.45,1356,19505.2,11092.2,8509.93,48414.2
649391,392799,375153,2243810,1312470,224532,6776.71,2211.36,34475.5,57797.9,6834.37,48116.8
769770,272382,303551,2521190,980574,123979,17562.3,2664.83,13258,55074.7,14128.7,44648.4
672884,376322,252140,1586670,944258,148611,21116.1,3819.2,115329,70097.5,10145.3,82570.9
848106,386484,358459,2581160,1248920,184939,16819.2,5650.12,205361,336632,10988.2,83496.5
765162,429330,298294,2084250,1084140,161051,10143.1,1880.18,55609.1,108090,7616.64,49339.2
651342,313893,339043,2122570,1144150,187550,19928.7,957.781,23432.7,33235.8,8045.2,70925.5
423967,252401,237149,1477300,923936,151433,11456.1,1403.72,109765,45472.4,7251.97,38796
842024,505422,325258,2070840,1501820,238967,7864.28,3444.61,35682.7,54895.4,26365.5,52146.1
879105,579976,436064,2930230,1906000,295118,8018.34,3540.52,238591,53588.1,13775.4,57373.1
868778,353359,564059,3735050,1696060,249537,24339,6209.89,255743,229167,11002.1,73485.2
595558,227691,431097,3016700,986471,153689,10696.8,3214.54,80382.2,45803.1,20086.3,28698.5
805058,414446,266955,1704790,972766,152552,13478.7,3988.38,23539.8,173158,9415.67,64154.2
768739,313717,355174,2428560,992459,143099,21715.6,2443.41,316989,104289,8833.71,63343.9
643114,311858,203853,1242030,648617,106389,12682.8,2886.84,108927,33836.7,15951.1,19293.7
993968,560109,431841,2409130,1623850,286137,13317.4,3192.5,21970.3,42526,10376.9,43656.8
705159,338666,305216,2325300,1331060,181675,5914,2527.62,9588.8,32099.7,6401.36,44839.5
737764,341382,510286,3354810,1650340,249979,11653.8,2105.29,32410.7,154386,7360.97,88405.8
814760,499872,247722,1602630,1092050,166310,10578.8,2704.51,382640,217151,8871.53,39946.3
912756,480758,393349,2486890,1684590,259666,12089.5,4833.71,167536,456934,7701.33,65933.1
894484,459082,380807,2146040,1128150,199675,17191.8,7110.46,5152.6,90398.5,14726.9,26575.6
1033960,450836,508508,3164900,1471840,242673,16166.5,2204.17,20423,169850,16420.1,67795.9
712236,299492,321990,2631030,1206800,142966,19524.7,3662.31,24997.6,35698.8,9810.69,19220.7
925143,577058,393716,2347870,1674540,277999,11423.9,3711.59,12096.7,86763.1,14907.7,55602.5
1115630,618099,571544,4068010,2099540,291030,17259.1,7748.85,5237.07,114038,10498.6,55679
701052,366890,493895,2723890,1733820,317855,11090.2,3238.98,46538.1,318308,11019.2,93136.8
772944,511618,305624,1740080,1229300,211099,9446.49,3691.8,6067.36,93749.6,7717.85,57548.9
1175910,486425,432549,3016440,1168190,178020,19419.1,7850.12,6638.33,131086,12872.9,80632.4
