FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1036080,458428,468098,3324700,1478540,210541,19518,2005.06,13717.4,86101.1,6579.76,35117.6
775069,474435,423477,2751270,1868440,287579,9642.34,3326.39,13770,121212,7708.1,35600.4
418056,271440,155766,910912,595406,103243,5514.2,2882.88,5430.68,23927.1,9828.52,9854.61
747933,449742,356162,2580830,1584210,223526,21468.3,918.366,7091.16,359821,7490.69,66169.9
958102,530943,551835,3804550,2375280,348559,17541.4,7335.27,18216.4,61043.5,10958.8,41579.8
1199300,699322,600094,3797520,2560820,417709,8521.58,2137.57,45301.6,264498,8479.33,26245.6
819968,362448,605196,3849370,1559230,245044,12812.9,6238.71,14582.5,44615.9,8616.34,22492.9
1068760,394442,676188,3863760,1727060,300679,18475.2,3332.19,5233.08,439351,12466.1,79848.6
578545,291478,274029,1569650,959661,165701,9605.62,2266.84,31683.7,113358,14029.2,29423.8
669648,392069,309963,2107880,1439100,209823,28772.7,1793.28,48383.3,201892,9269.83,39777.9
959850,412655,658327,4194300,1818020,286965,14880.1,5774.61,15706.4,104309,8068,59371.5
758114,495539,285219,1722690,1155540,189608,11604.9,2085.31,18668.2,117549,10138.5,39951.8
481366,290211,184730,1433260,969329,125015,10378.6,3261.61,19912.6,39131.3,16321.2,23608
644349,302294,320249,1954740,1066730,166375,26074.5,1191.93,6983.69,26886,11707.4,65504.9
528421,281835,300946,1715380,962651,176060,8709.58,3292.92,23361.4,44152.9,8142.36,34861.9
745185,263044,381462,2894620,1231740,159282,16415.7,5039.39,14690.4,43530.3,9292.84,52962.8
466626,313512,345847,2101280,1540020,261331,11151.3,2963.41,18728.2,129343,12131.9,39957.9
495973,284039,207693,2254900,1230710,110669,18530.3,2680.7,21022.8,155774,6999.56,23743.6
468843,261760,312088,1845500,1173920,195653,10629.9,2106.01,14403.3,38344.9,10732.9,31472.6
856924,353128,332507,3193300,1129590,134167,12432.6,8513.5,22467.2,113574,11353,44786.4
680574,338516,270968,1925680,903398,134646,12716.8,3360.01,7195.88,50865.5,11017.6,50236.8
806201,466657,349861,2115030,1306580,221958,15888.9,979.166,9877.01,39764.1,11604.4,42210
620240,301894,314305,2544330,1330700,165844,28690.9,2985.38,5811.76,62006.7,13334.6,73081.8
481652,291394,237706,1721670,1186420,162434,14532.7,1180.21,5653.15,26125.2,19952.4,18292.6
1355940,690384,750712,4194300,2563610,403151,23374.7,6934.46,5358.91,396547,11417.9,83480
375266,245299,305062,1750960,1223550,213478,7965.88,2815.55,5845.91,242381,9240.93,32774
637947,317735,322450,1848800,1320740,232380,4224.43,4533.01,51806.5,240581,7714.03,44347.4
758775,479303,346026,1913830,1372090,243019,8710.19,853.153,9962.79,35166.9,6693.92,30389.2
437066,267486,236210,1460590,1014170,166293,8220.74,3014.88,14557,32739.5,6481.93,18397.7
543998,311577,355594,2013240,1315070,241708,11171.2,5070.95,28500,128021,9748.02,22739.1
411611,208305,373293,2310780,1080120,173689,14415.7,2132.58,8234.34,361969,16503.8,75354.4
647632,413313,442523,2687420,1470610,233607,10131.2,3218.32,11387.8,59710.7,10143.2,41235.9
532329,298413,287383,1732320,1070750,181467,9824.58,2792.9,9129.33,43946.7,10370.2,45796.7
645911,391738,360672,1982000,1342060,245211,6662.72,6088.66,17855.9,58618,9837.21,43106.6
1054650,527741,550432,3275700,1714800,289287,10617.9,3778.07,22402.2,301097,6627.41,49767.3
499735,203184,361063,2237470,1068600,165264,7189.73,3080.36,13757.1,23941.3,8415.39,16200.3
363171,212918,135764,973503,636553,86875,11743.8,1212.34,18899.9,26345.7,9141.24,8141.92
1395260,594375,797031,4194300,2300530,385038,24027.8,1897.61,77152.3,266277,6505.69,68117
431532,287751,177986,1007460,691161,120438,9574.42,1627.78,26738,25920.9,7130.86,40237.5
337660,235986,201676,1097060,742755,138104,11080.9,1828.13,15836.2,89408,6722.33,12110.2
755874,466279,352700,1934760,1246490,223556,12846.2,2158.86,6692.86,310498,7512.86,34566
429937,246267,267581,1896020,1145310,160594,15430.5,2221,10289.2,85298.1,7076.05,46460.3
659446,302451,401859,2422980,1488420,244749,13121.1,4178.14,7573.33,140052,15925.2,31994.5
518131,318875,313688,1839910,1204500,203873,7241.54,1920.81,22482.2,145209,6776.26,45705.3
899949,524046,571802,3617170,2693250,422462,10925.8,2647.98,34151.6,160609,9234.09,34002.5
1128950,451858,576926,3317310,1124430,185909,14491.2,4412.34,5728.82,50901.5,7370.02,61572.6
709464,448392,318896,1660390,1272560,242469,8315.21,868.675,58657.7,242201,6583.77,32442
1368520,592939,650135,3883870,1761190,295341,19780.4,7697.4,10390,60677.6,17220,24862.1
814066,337215,597916,3287940,1234960,225787,16554.3,4635.09,40893.3,269324,18380.9,76396.4
443381,310128,173751,962085,741298,132025,3667.64,3469.1,29066.7,19381.1,7138.19,9967.78
995737,473879,464186,2729650,1113980,191794,17629.5,4685.19,27867.4,106379,6790.85,86138.2
473335,272110,247583,1762180,1107790,158732,10377.7,2664.79,17665.5,35355.8,10484.8,31796.9
743335,469168,329024,1871260,1267090,217805,8784.14,1995.62,5248.1,101207,6895.89,44202.3
996443,414662,684024,3998010,1845340,315076,15290.3,8649.56,6306.65,88146.5,13781.4,69702.1
753670,508867,520831,2907180,1878820,337536,10523.5,4031.69,13381.2,292410,12329,46397.6
535418,359197,488126,2744650,1736600,318073,14118.4,874.338,33849.1,41949.2,6466.44,32314.7
605411,281419,476262,2688840,1234060,229493,15116.5,4393.99,21655.7,50251.3,12101.5,22146.3
972620,566995,274376,2178010,1249970,156085,14545.6,1455.8,6458.19,9109.71,6938.46,8271.92
743840,427284,374632,1829010,1255200,262281,12329,1964.83,7561.96,246547,7134.01,33869.8
516242,317613,246064,1414060,979394,170173,8794.18,1898.93,7509.49,23421.3,10236.6,17821.3
814070,424854,555178,3182080,1882990,328366,15796.1,2729.09,6490.03,438659,11820.4,45853.2
1023020,404700,343432,2377180,962887,143612,13598.2,3014.65,6310.3,43857.7,6883.76,35001.4
721909,379330,293674,2339820,1295600,157571,12449.5,2734.39,50685.5,386277,9753.84,30971.2
845896,418506,446011,2720860,1130810,186010,10432.6,1513.83,13832.5,59116.6,9203.37,42512.1
680117,294284,301247,1849000,1107150,175762,12109.4,3457.54,26369.8,323002,6369.65,16042.8
1248910,527619,647120,4194300,2172130,328173,22358.4,2519.67,5814.2,254552,10108.2,47651.8
670792,427864,230881,1491780,1063630,165661,14099,4203.04,46034.2,54895.7,13474.6,20129.1
718710,412935,315522,1957080,1258530,197365,13915.2,2052.4,43119.7,28552.7,12689.7,19957.9
488660,295015,262232,1512420,1097040,185170,19921.1,1970.48,24137.3,111785,11559.9,65883.6
882251,409336,501927,2907890,1486030,264372,17490.1,4902.54,20243.1,68107.7,14311.6,35172.9
1126740,554429,474573,3142010,2152130,331700,15632.3,3102.15,12235.3,268796,14137.2,47611.1
1086570,625205,526409,3303660,1811100,279951,15750,3028.85,9731.85,27685.9,8610.78,16981.9
1154420,468815,476336,3346280,1334830,182258,19241.1,3082.98,16257.1,58092.2,7070.36,62634.5
594779,331599,355990,2443440,1578690,229503,13417.3,2689.28,12074.2,247795,9184.46,44155.5
658446,227105,504723,3012940,1281460,210995,16372.6,3018.82,13851.6,160060,13088.5,47786
624788,252294,269237,1647280,567129,99939,13007.3,1687.85,11150.1,214304,7376.8,36351.3
459027,297980,214956,1416900,1058640,163010,11010.8,1695.55,14370.9,143474,6380.17,25169.1
624114,347286,251388,1848160,1196100,159251,11649,1630.02,8028.97,32130.5,8186.91,32933.8
901775,392871,583188,3318300,1830640,327521,12283.7,2633.47,13347.2,209429,6579.58,51615.5
976802,410040,522841,2988060,945769,173590,14478.4,2168.71,6942.31,137462,22870.3,50828.6
539667,354572,201138,1185460,797704,136943,9042.91,1257.93,11282.5,25383.1,15175.7,12320.9
660880,220901,289508,1791160,572536,96317,14268.3,923.934,6808.43,153950,14413,19045.7
390073,244098,169188,1299570,826583,111036,7433.46,2131.23,5187.54,17324.3,8692.47,29445.9
