FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
694310,273601,390620,2996830,1152900,157824,6138.71,-539.217,98.8149,-229.583,147054,-571.795,-203.12
1138760,454199,521794,3721200,1769260,260773,11662.7,611.913,302.431,-356.247,77729.5,140.626,-179.743
718730,422350,142081,892617,582766,92692,6458.97,6.40336,62.892,-3.83874,17998.2,-80.3126,-903.245
817625,366716,630001,3970580,2266260,367499,11766.8,-330.996,88.5035,-260.924,56791.5,912.414,154.15
940497,516247,345308,2842370,1304920,186839,9700.12,-568.391,500.48,-428.908,98983.1,-760.309,211.463
471158,289153,205022,1304260,855609,135295,3992.26,129.061,66.7576,103.374,62608.9,-36.0295,-19.5138
713589,464940,274378,1702120,1100380,178742,36620.8,5505.91,169.618,-1185.16,1589.63,4933.21,-6361.85
785524,409693,543830,3586390,2152040,328174,8099.24,-277.377,357.01,-222.815,137448,-438.998,221.08
1017830,570452,699073,4194300,3541900,479604,17969.4,-86.9331,-238.772,39.46,23128,-462.837,-636.805
554358,379541,158269,975225,736826,118636,5714.8,152.877,184.995,-63.8216,21211.7,-554.021,-485.098
588729,315328,409529,2277130,1324400,242694,9945.07,-465.695,-177.148,-37.4235,50792.4,-204.093,-43.7364
843594,441421,414838,2856700,1440130,223205,9738.17,-283.908,-72.8475,58.381,52699.8,-392.014,130.321
429235,239572,248950,1479590,780183,140242,5115.13,-697.118,-381.787,535.968,35406.2,107.655,-109.299
818944,323223,232624,1825420,664204,89517,4546.2,149.452,414.721,-354.056,37469.7,-252.004,-686.435
1180830,462043,496433,3205510,1160880,185703,10018.9,-260.1,172.998,40.0548,59062.7,24.6853,127.558
870433,428804,395844,2560020,1164030,183958,7922.68,240.933,-179.009,-164.053,75894.3,-317.923,-683.69
502442,341199,158174,986482,779578,127075,3985.37,-18.0056,133.74,-65.3417,381.323,434.507,185.848
766669,290519,425052,2414130,986163,177029,18433.2,-259.957,-179.61,123.898,106910,689.521,-232.351
715946,353989,291883,1740120,819999,144883,5065.1,44.2399,-580.546,491.97,64308.1,-161.486,-41.96
682870,374378,260358,1529600,813250,142289,5705.7,-349.165,-2.05029,19.1325,35505.4,38.2577,-203.078
816025,410307,238296,1516460,785817,124204,5095.74,-449.732,372.582,-112.814,75270.9,-122.113,61.1183
672846,380620,284939,2055510,1382820,190520,5972.15,109.067,-20.7744,273.074,58744.5,-820.716,299.389
388521,219684,270604,1444600,812208,152571,4021.66,-310.897,-63.1996,-60.7791,94469.2,-161.052,-479.564
858983,431981,411774,2650530,1241280,190060,10691.7,-7.39059,-62.7046,129.013,46518.9,-387.737,-285.944
649662,382079,210296,1381720,928599,140859,5367.04,-423.066,70.9108,-136.006,37503.8,81.7296,-469.364
663498,344546,330667,1869710,1086810,191681,5850.18,-206.657,228.528,-1.05603,90251,-106.941,-462.518
1324210,671178,700090,4194300,3425180,412875,15513.6,664.559,78.0974,29.3255,102701,75.1949,-3.37392
1091160,557395,394732,2565320,1455810,221615,8309.32,-553.8,4.34254,33.8353,60805.3,-568.687,-343.919
770019,295373,464509,3494270,1573360,197662,11417.5,-20.864,250.727,-382.986,88685.1,-533.795,-10.623
529495,311988,243596,1394460,779783,141756,18089.4,559.719,134.579,-330.257,82685,1264.73,-1022.15
746005,446776,248947,1393310,901265,157906,6664.46,-221.423,-604.796,559.262,68433,272.97,95.2833
805970,333748,261764,1964310,836474,109439,4988.43,-329.661,-93.8069,335.447,60702,-395.681,395.231
772514,388567,331651,1966450,1024430,178397,6286.29,0.230814,-613.506,20.5578,57600.9,-218.421,225.841
1184350,576522,495018,3166270,1760070,281869,9774.35,180.847,9.77462,276.866,101984,-645.127,341.388
411324,253393,261687,1663720,1176300,189301,7908.97,172.11,-471.453,155.609,54365.8,-672.654,-660.763
321733,193378,183661,999177,596116,118352,3251.87,-348.217,-225.087,-36.7423,56558.8,844.365,211.889
355653,275693,127269,729109,599465,106854,9784.94,-156.916,-270.845,-297.089,10059.6,230.497,74.7533
556072,315884,294242,1756960,1014430,177259,5153.24,157.504,408.523,-211.816,75729.1,-900.501,-254.059
568095,189885,318813,2080980,1134710,176524,7470.88,425.676,-172.151,-14.2009,4188.08,199.467,165.523
598963,264704,334141,2232860,1038350,159788,14474.8,479.397,-265.057,-9.95618,43702.5,-231.361,1090.09
453196,236062,269198,2042850,1187260,155250,5353.27,548.556,-304.047,70.8056,57829.4,-472.276,-144.207
