FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
862734,406418,483571,2971810,1511010,245418,10203.7,-220.838,8910.54,-48.8125,-335.779,-194.408,198.472
867134,438772,516350,3302800,1617300,253114,6473.66,432.85,15045.6,39.6015,57.1735,0.622601,-33.4199
1013110,369377,554596,3222840,1188190,214243,4692.12,-34.7217,30699,-35.7355,16.4044,66.06,171.277
891483,330407,409883,2380670,945402,164132,6116.28,377.687,15576.2,-176.457,-270.553,289.935,-93.5857
562330,332215,174761,1031220,708321,114148,3649.91,-161.259,2340.02,-73.806,-472.847,-115.108,146.563
1051450,413360,468576,2699070,1745970,304457,6946.35,-762.857,15302.5,-44.5613,-244.058,-90.6411,709.7
770822,285288,307043,1910100,742930,127779,6120.19,-377.813,6070.6,-350.402,-925.182,71.0286,21.1942
830952,398916,348263,2117920,1160380,185047,6066.12,-167.305,10391,-280.716,203.48,-126.969,353.454
443524,256821,198706,1434310,1008650,135893,3474.32,305.964,4172.37,-45.2819,-24.3441,269.567,196.074
828717,358756,301868,1857570,897984,146767,6857,-507.394,3483.98,448.771,-315.154,-138.247,193.268
1238140,624614,532308,2995020,1751150,315612,12724,-1143.24,8712.94,532.673,164.238,-967.604,30.0718
753052,323269,231400,1433040,565407,95938,3776.8,98.2833,11021.1,627.045,163.514,-532.972,251.349
1046940,441629,435961,2366010,1023630,193688,6332.21,-561.237,13272.8,-233.765,381.836,-324.812,201.567
909811,482749,253068,1804170,1170730,164924,7496.24,607.128,7685.38,48.3487,490.697,252.607,-353.282
650188,306998,266668,1753040,978407,150567,5630.3,-140.538,2136.8,200.688,410.565,-132.503,-150.852
922644,344078,580104,3852820,1310360,194654,9850.27,-166.06,15825.5,-733.258,116.747,232.281,-41.3217
508607,212808,251560,2050850,827625,102287,8472.09,-284.7,3743.88,-318.82,326.332,83.2761,-252.031
864592,340009,244334,1591860,676723,108819,4780.2,-318.341,5187.95,215.701,149.785,-398.649,252.052
362162,215970,168562,1280450,881175,118036,4658.77,-55.4847,1322.77,163.698,-175.94,-39.9296,126.94
1140030,647781,661580,4194300,2730030,412143,17574.2,-307.21,10370.5,266.232,191.875,-851.781,444.426
1117860,457936,609379,4194300,1760180,252387,9042.19,459.661,20079,-15.7823,203.95,230.19,-977.645
844385,507612,334762,2151510,1189500,188121,6022.75,503.716,9237.88,-68.6392,61.0687,530.748,-455.547
841918,349957,328079,2336460,985100,140972,4428.34,381.149,8188.08,-9.10099,-554.318,-201.458,-60.5795
902350,426480,538392,3503530,1829240,296679,15675,667.063,2743.2,-151.633,327.13,-113.736,-426.423
846984,329215,346428,2517920,1059020,144402,7028.59,89.371,11988.6,-687.625,-634.276,574.277,-691.924
1167040,600782,683860,4194300,2547220,329411,11914.2,316.74,15873.6,-131.841,-381.403,83.2194,-510.301
683189,430886,164606,1196730,950459,130583,5386.25,270.536,725.737,-97.6619,234.191,-246.054,-195.375
865576,471297,447794,3803240,2112840,238797,7601.97,39.7789,13394.4,-32.9484,276.183,89.4021,-1452.03
562498,324205,520099,3770360,2564700,348712,26844.9,1059.84,-306.402,121.081,75.8086,706.255,-1201.62
931666,399806,490065,3290240,1491830,254007,9611.25,-935.066,10119.1,-77.5286,-578.777,140.609,-1112.88
1137160,459006,373536,2335170,1123410,192729,9567.89,2.12873,18061.7,371.141,595.621,-62.0084,1278.52
740207,435787,537563,3296790,2102420,342393,7098.06,383.543,14663,-161.055,-21.5687,71.1453,482.639
811930,324279,232486,1653780,581707,83296,5520.58,77.581,4261.4,77.5786,417.998,-230.298,-284.613
506612,267005,397937,2744630,1638240,231275,24850.4,801.606,2354.41,-182.469,-182.485,144.892,-31.7794
1131800,503334,428896,3567620,1763980,215811,8339.94,1032.35,7284.28,-639.743,-445.278,407.23,-288.458
399791,215466,280600,2121330,1311890,173556,6387.4,182.775,3653.6,100.996,145.507,-207.975,-236.699
972110,511956,408942,2506690,1284840,213418,6379.03,-220.427,11386.1,-142.104,-587.989,84.2238,-498.323
566874,384877,323908,2832880,2013550,227460,10628.3,364.303,-104.524,263.624,415.153,-187.845,-693.374
882340,422720,408412,2702440,1563460,236103,11324.5,265.41,7310.56,-3.0255,-187.806,-330.227,581.061
1514980,755759,781506,4194300,2441850,360015,58481.1,-288.716,19810.7,-104.026,-372.343,45.5275,7073.45
1049840,531570,334836,4194300,2347160,197278,7288.29,1958.94,6809.59,-287.227,366.323,1261.31,-844.307
1069140,525315,663975,4194300,1769770,286308,17094.1,719.374,8687.74,-161.225,-227.152,-92.5885,-773.829
786486,449986,343164,2644300,1802330,236839,7856.19,430.379,6176.14,75.3202,124.53,175.255,-422.189
848154,322562,446062,3745380,1622690,199596,8614.67,293.569,11027.7,-306.163,96.1814,35.085,-648.133
585056,389830,459076,3575440,2406090,320123,8413.42,702.1,10355.6,-91.0855,-127.914,-21.6671,62.9586
998896,442181,388841,2726460,1311220,196083,4916.29,68.3764,20263.9,221.407,-388.696,-253.557,-223
329166,282540,243894,1463940,1331320,221717,11014,291.586,-129.673,-21.6134,-235.158,164.893,71.4473
1567930,746963,625642,3829080,2062240,341857,29675.7,-1285.21,13843.9,-174.271,-179.682,-408.032,425.448
538698,286175,182021,1294960,749117,106876,3910.17,1021.48,13760.7,-209.872,14.4828,847.786,360.837
637276,374921,283089,1687290,1115860,199003,4486.84,158.942,4975.86,-239.301,-410.608,173.491,-140.872
653299,407938,351801,2199120,1333220,216956,8998.45,817.476,6356.67,115.737,-116.398,286.921,-317.66
431113,317587,154652,910118,698382,119241,4040.81,266.689,1897.91,-300.936,58.5409,-49.1705,-68.6364
741218,445811,383739,2705820,1929060,275772,7591.19,475.137,6694.25,433.342,-82.107,-214.375,-446.456
622247,352936,158119,1150010,688972,96068,1429.53,52.2288,9479.72,6.23917,-57.7887,-65.2321,-390.294
1000020,448143,371945,2758670,1191620,167603,7181.35,137.691,11260.4,-178.343,454.673,121.601,-36.916
448160,306218,287113,1822870,1350470,208163,9670.87,364.624,7520.47,-98.0837,254.535,478.379,-837.287
946623,573175,707608,4194300,3188690,466494,21598.1,915.708,20170.6,-476.277,-324.272,930.823,-1411.2
1050550,567566,546560,3143720,2008760,356197,12841.6,-749.743,12478.5,702.54,-33.2758,-352.09,460.708
569348,352118,479905,2832910,1953930,337097,6598.08,-348.774,11311.8,184.317,-229.409,-82.7815,436.047
912268,539187,475600,3999010,2422030,292056,10813,446.727,3217.83,-230.604,62.2716,332.639,-642.142
1167890,560119,675641,4194300,2122460,318916,20729.3,-460.763,9402.18,286.454,-55.6672,-406.251,603.421
1121680,404233,595108,4194300,1834860,241867,10216,259.4,15051.2,71.6916,345.203,135.422,28.8261
