FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
384276,239393,238995,1334990,846451,151494,6493.66,2894.96,14060,181887,8846.57,17536.8
606064,348318,302977,1867260,1164420,185096,16848.7,4253.8,121344,41209.8,15959,19647.3
967143,373199,368893,2001840,747027,145823,20725.2,6052.97,101581,65276.5,13483.7,27938.2
1102410,445495,503715,4194300,2378370,244858,10049.7,1336.04,6448.96,53144.4,8299.19,32888.5
614575,334984,503808,2879450,1571360,293393,11790.9,5057.59,88343.5,117348,25506.7,29166.3
766509,453662,253659,1502210,984849,165376,7757.91,4420.48,53426.2,29111.3,9964.12,10437.5
771596,395751,360289,2455130,1489970,229819,31470.3,4274.41,62264.6,90489,25107.8,32870.5
502853,287319,405412,2838200,1935570,272712,11644.1,1146.02,48786.1,38957.5,7348.78,15061.2
1188310,465758,445012,3276480,1409080,210629,27521.1,7911.69,166384,95460.7,14386.7,54328.2
710176,398528,265600,1533660,1037480,177371,5782.72,3250.67,57632,26965.7,11440.8,13817.3
385680,187448,212927,1569280,889482,127962,17399.5,5546.45,454455,66216,10912.6,14403.2
699677,311571,438487,2661800,1474200,239631,12586.9,7093.84,132104,82294.9,11655.8,25158.7
1200610,595385,516083,3798880,1900770,250568,16792.1,10083.9,17266.7,72804.3,8828.02,37209.5
499706,303454,220729,1232840,837177,148996,15143.4,2751.26,22802.2,29550.9,9731.32,16770.4
1307620,706676,396125,3352360,1702690,194092,19225.5,8987.18,193226,95145,10147.4,20296.1
1030960,508364,405220,2723030,1302650,196036,11202.5,6790.73,10181.4,59332.4,12662.3,26780.7
1041310,451493,499320,2805900,1104090,207087,11733.3,2071.07,192561,62486.2,16119.3,24848.7
462664,261607,171746,938122,652569,116536,5152.63,8940.13,897978,30055.7,6977.98,8192.17
426255,216023,246738,1478420,737169,127069,18984.6,2707.32,9668.61,71708.1,15920.8,27090.7
518942,301388,232632,1306700,833681,145968,12444.5,4586.89,19931.3,61599.5,15236.9,33271.4
379493,219020,218735,1489460,880531,128632,15979.8,4412.66,22468.8,130577,11681.6,28874
700667,443019,285162,1676750,1071630,180300,13378.9,3589.99,8996.63,56497.3,7539.08,27052.1
662618,298190,255790,1880560,900043,130593,8388.19,7094.21,6257.29,65284.3,6869.55,28646.2
1073730,522304,621396,4194300,2351200,342432,16239,5574.27,37634.8,75075.5,11012.9,31160.7
835550,402634,419571,2705300,1329920,215608,15573.7,1727.63,36960.5,74960.5,7678.09,22234.5
665976,437919,553532,3288170,2515060,429655,11744,5900.77,1105650,44115.7,15423.2,16799.1
740586,313128,470949,2978910,1520930,242312,12653.4,4777.11,31195.4,104294,14365.7,27759.9
444887,290076,250531,1434640,1047360,184353,7033.9,2056.75,5667.42,30500.6,10202.9,21067.5
832775,451220,232103,1395850,761238,131430,7252.5,3538.28,9029.6,38219,12719.2,14024.6
664807,378080,184963,1067380,666334,115217,7951.02,4700.43,80744.9,41294.4,8946.8,13616.2
479598,195824,195153,1060860,413340,82930,23222.7,2751.6,18335.6,59023.7,14431.7,17244.1
1309370,675640,647164,4194300,2701390,424258,20290,1195.15,18019.2,362357,7373.75,54442.3
1441830,825782,843232,4194300,3982750,527033,26617.3,3212.83,13012.9,189991,13943.5,55142
443688,284541,204105,1249450,852039,135605,9481.68,1155.57,18806.5,28023.9,9415.77,18252.1
540750,327261,185608,1263660,844118,120891,12847.8,2947.4,17436.8,50210.2,16816.6,23461.2
736756,447639,551407,3582630,2485970,389637,6677.29,3240.45,636455,52625.2,6484.38,13319.1
620504,375664,288607,2171170,1241520,157550,7769.99,7083.26,13513.4,56079.2,16521.6,22666.7
606262,430885,285017,2532010,1983440,222483,10185.3,2117.28,11751.6,55769.8,7032.71,12517.9
787079,478015,387319,2447460,1661760,248533,13958.2,3035.8,8809.44,68005.5,11577.1,31238.7
391678,210787,360446,2192110,1387800,220993,13071.8,3326.26,22903.9,94388.1,10224.8,22805
1118670,425807,679617,3902960,1379050,246381,11860.9,5924.91,5584.28,39103,7039.48,42790
471778,321184,315552,1889080,1512680,251785,21252.8,3014.55,28238.7,107699,15597.1,15586.1
632621,361870,277896,1701280,1091940,181798,16768.3,1727.35,11457.8,71800.1,7155.5,25246.1
639892,395418,160755,1141720,677549,96610,9481.9,1456.59,528174,36555.3,8448.05,11155.2
603750,334675,210225,1284580,752812,121478,14644.4,6101.3,518280,85126.6,6874.69,17867
668270,397111,255968,1425570,850750,149087,5103.52,3287.15,35403.7,44537.8,7459.66,16846.3
566931,290968,218753,1229120,768811,136125,16547.9,3915.96,8602.92,38397,6761.47,27627.5
567869,351830,243530,1600450,1020840,151606,9031.44,2684.86,10362.4,51206,9612.79,17897.3
624401,375442,290092,1778250,1159190,185703,5923.04,2367.33,18226.4,24903.6,13844.5,19391.9
814110,453147,387893,2247610,1416190,247453,13171.5,1243.43,5902.13,122023,7754.11,40492.1
510852,333653,161534,1008210,737685,118349,11824.6,3758.96,109357,41184,8596.15,12628.5
552772,240600,514831,3069790,1636860,266309,12862.2,2922.04,251732,64438.3,9903.86,16526.8
638874,380370,343425,2157140,1169780,186815,19098.2,2419.55,9010.77,221911,11557.6,33484.8
1159340,497591,446348,2744110,1280530,207506,9253.41,7871.14,6587.25,82620.9,14086,50580.2
735751,423005,527816,2890970,1689940,311932,13856,8864.47,7586.56,268849,15810.4,54923.2
626765,382122,335682,1853610,1058300,194467,6745.41,3457.36,6640.12,45328.5,6874.62,47288.4
775862,330122,180653,1206210,516558,75985,14588.2,960.106,10035,56910.4,10648,16394.8
800621,501622,352736,1953400,1333960,248014,14111.3,4324.28,29432.7,90611.2,11712.6,26928.6
558053,301512,267879,1831370,1036260,147646,24230,2156.27,79332.6,64949.6,12927.6,20247.3
584166,383867,193017,1120470,822968,141797,5138.81,1008.94,11427.1,17796.7,9241.38,10850.7
1310960,711562,628741,3786250,2221100,367701,8837.91,5005.65,5880.77,56529.5,6481.68,63102.9
583584,314794,345541,2100020,1197460,197369,6424.14,1429.47,72777.2,52180.5,6527.73,15711.2
1162910,625483,549501,3385380,1829400,309498,11908.5,8385.19,38955.1,59429.8,17946.6,30180
833724,392018,404294,2519980,1176120,192183,15597.6,4969.22,13588.1,72066.8,18723.5,53195.8
1173630,460691,494363,3384770,1761340,253961,28818.3,3227.21,44522.7,67201.4,16018.3,37254.7
586518,299521,176863,1013100,531216,91527,14250.3,4414.43,154681,32438.3,7189.94,16477.3
979970,611915,439428,3517550,2028490,247993,13047.8,3367.23,5378.29,163673,7614.09,30531.2
946517,470535,457355,2739490,1468120,239360,11977.3,6951.88,44390.9,92745.9,13356.2,30782.7
685153,435475,278803,1499950,1042100,190027,5987.88,2535.99,11809.8,32756.1,14325.6,14582.2
647732,399014,176804,981863,637348,118840,13639.8,3814.17,94575.6,25488.1,6690.28,12711.2
925126,428753,294155,1948100,1150360,174408,13171.9,2299.88,26647.8,195868,6668.25,17528.9
627774,323238,497561,2857550,1618230,292543,4168.27,1369.02,31561.1,208236,9847.35,19413.7
704532,443628,312969,1749640,1054310,188311,12360,2618.56,115308,25157.2,8867.33,15965.9
1087180,529723,507288,2870430,1525940,284559,7129.08,6899.09,5970.38,70993,10164.9,55668.8
637500,338676,202759,1664480,974907,126142,9929.57,2440.3,8027.28,54856.7,9695.48,26283.2
621855,387253,212052,1190880,731518,128533,12627.9,3468.93,67824.2,35522.4,7231.96,17802.8
738088,397557,405230,2409620,1529350,260262,14203.5,3181.48,66493,51206,10169.2,20040.1
577881,272637,241746,1369460,753042,137944,7648.51,1554.01,5397.28,120406,10641.5,24247
659888,428870,364994,2716600,1858040,259146,11585.2,3088.12,7933.37,64362.6,10281.8,24455.7
379696,209989,362115,2057780,1348740,229516,6026.66,7428.46,57049.5,265997,8616.39,17787
1112320,465472,508091,3101020,1216740,207030,12124.4,834.797,671530,61669.7,27115.9,18688.9
939989,372609,512458,2921290,1387150,244661,12519,1479.84,620116,40814.5,8061.51,14857.1
1072290,453074,643568,3977190,1529080,246477,8421.55,2533.48,25038.1,313412,25747.2,47254.9
616775,374610,214092,1260710,810240,143565,13325.3,4879.42,146711,48700.2,12306.4,12766.7
687775,467416,265599,1542570,1116000,192021,9972.84,796.248,9203.23,24432,7100.69,14490.7
710422,419247,388492,2600060,1458120,214507,15709.9,2137.63,49045.5,199437,9766.1,23415.7
767702,444372,256180,1800380,1243120,176097,8992.5,3051.87,16965.2,28108.1,13369.2,16008
681126,440637,354979,2150090,1581120,254124,7790.65,1682.54,417916,24796.5,6630.03,12676.4
1779550,897877,832245,4194300,2942040,382597,29484.8,10533.4,6137.95,153760,14972.3,49802.6
968747,340088,597641,3671590,1437540,228672,15387.4,2099.5,25759,274535,12329.3,30908
