FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
429282,291777,196278,1353460,990517,144036,13851,3258.92,204237,58700,6719.66,11671.3
1047230,455105,486201,3438210,2109240,290816,12023.6,5746.75,10427,71526.5,8186.66,54737.8
798876,321818,655451,3834180,1438450,252031,11841,6450.48,5489.56,74604.4,12202,66907.3
1073020,581641,716069,4194300,2725210,405669,16166.8,3715.53,31272.3,81610.4,7883.25,31644
456757,289325,219590,1541500,1017420,142249,23526.7,1853.75,23055.2,45655.6,10591.9,16137.3
773810,256474,363928,2157320,846209,142198,16550.2,4209.66,508262,61070.2,8066.49,19380.1
1001250,482539,715307,4194300,2623750,381427,18509.3,4645.96,73697.3,73611.9,7161.33,24978.3
1054800,379814,512810,2862440,1397290,254878,8609.6,7828.89,5191.34,113922,6642.22,63423.6
732724,276161,379944,2443670,1065720,171915,8039.95,3242.34,42970.3,49627.1,7258.82,14872.6
971977,426578,657280,3739070,1246420,222992,20578.9,6927.17,5239.1,48958.8,19299.6,30736.5
664045,264038,576484,3298170,1387640,237783,12900.9,3465.85,13272,47353.8,12168.7,20460.3
1103940,422063,467080,3286130,1189630,183445,27059.5,10595.5,33744.3,78379,20468.7,30016.2
493971,324461,149129,1043870,759720,106699,12673.7,2829.77,69715,27787.5,14087.9,9389.28
619737,343037,480985,2767260,1446880,255498,11066.2,2786.69,13314.4,90018.2,10579.8,27034.5
525009,350644,363838,1996720,1406620,259999,10878.6,6081.28,35060.7,73124.7,12014.5,20735.1
752568,260333,542373,3000070,1165320,208611,23609.3,8626.86,84601.3,104161,14118.1,61730.1
668949,360333,329821,1833420,1109310,198538,14144,4491.65,13779.9,92743,13420.1,25409
647821,329606,192330,1272850,724538,107583,8810.54,1839.72,22671.3,36352.1,9117.49,12974
819640,481933,558747,3793760,2334440,335455,11332.9,4778.97,213969,46066.2,11999.7,20897.8
1061600,399709,548956,3709430,1690930,240809,18326.9,3483.65,48890.3,87277.6,11765.3,44928
951346,342442,415726,3574240,1542340,186934,18769.4,3366.35,24657.3,86299.3,24070.8,35449.9
417432,260070,163603,1243970,829625,112309,16853.3,3392.95,71437.6,40917.8,14251.5,16456.2
461614,225126,380425,2225400,1038610,183441,14663.5,1433.56,23619.6,121442,12109.3,17192.5
