FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1003360,497435,357652,2389090,1449060,218012,21001.1,4078.85,332107,366493,7390.42,69129.1
490157,287389,262050,1329070,888516,177175,9933.22,3267.3,58421.3,337137,9792.98,54874.8
674900,462503,323144,2096050,1343080,210862,21693.1,4394.7,517608,74974.1,7300.83,32766.8
639798,412448,300036,1652610,977644,176173,6959.98,1363.65,246295,203900,6587.98,56856.5
499804,323784,410892,2485660,1461810,246776,11282.9,3313.61,15386.3,378346,10313.6,76989.4
1390180,597687,799520,4194300,2182730,360126,35013.5,2956.01,13725.9,58337.5,21461.7,67572.3
682170,369619,448251,3338580,1861400,249264,8286.7,5606.54,8358.53,39243.3,6871.63,33154.6
1014300,607256,523963,3265150,2400290,382159,16063.2,2651.6,92744.7,173317,8267.96,23034.9
446622,276094,279328,1729590,1047570,176359,10373.2,5591.17,490004,43167.9,8667.13,35044.7
662163,362344,302514,1891550,1031560,169404,12454.6,3336.54,101581,126182,9100.19,55863.2
509174,324925,250666,1452920,1062360,182493,14474.7,2559.88,7733.31,221815,7903.22,36649.5
782524,423978,311838,1936960,1247330,199287,19065.2,3783.05,15598.1,420382,9752.99,50463.2
653679,391918,230742,1634460,1079360,149952,15697.7,3126.84,31273.8,259781,6533.29,39422.8
559589,325768,248207,1560960,1010650,166734,8263.54,2373.7,11013.3,26459.3,17319.4,27010.2
722438,422856,307118,1929070,1126420,180107,9825.72,4129.09,21746.4,61874.1,7030.24,44068.7
691738,454593,293745,1688020,1217560,218256,9493.67,2650.46,520149,36981.4,8383.47,51985.6
633761,352587,377915,2137230,1259940,217715,6607.02,2484.68,631881,313924,7140.27,49456.5
1353970,746193,489210,3126240,2149570,343971,22990.4,4664.61,13969.9,339321,7903.98,34115.9
723470,321875,449911,3182010,1700240,238672,24248.8,6036.97,30071.2,103346,24206.7,65312.6
472529,280394,199201,1143410,758152,130893,16687.7,3073.23,11228.1,140780,24359.7,32095.1
574667,326785,351852,2591560,1850010,243281,9140.34,4000.69,17608.7,64933.7,13239.4,19474.8
460073,289402,293876,1777760,1235230,199043,10658.9,7434.7,455824,145967,13617,48254.8
527387,346508,269196,1677590,1221930,193250,8397.17,1451.56,208592,24107.3,12284.1,26140.3
668191,398052,337688,2109780,1456550,232271,12614.9,4261.64,26182.1,388303,8977.2,43197.3
691511,377793,252019,1500060,939207,159883,9828.53,2047.65,16038.7,44410.4,9507.99,42456.8
705066,418987,592203,3512870,2215210,376279,10994.3,2953.11,34656.9,380949,15016.2,65514.3
