"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
6.30169e+06,11697.6,12405.5,551.785,-6212.68,-2253.07,1462.8,-6783.52,-6727.96,0.126492
1.79318e+07,30281,858991,255.803,3040.18,-415.042,1610.55,1098.9,-11.1873,0.226087
1.10667e+07,18729.9,980012,-49.7462,11466.4,4144.46,-5316.98,12075.6,5533.74,0.267333
7.65705e+06,13075.7,1.1121e+07,-7613.09,38042.8,26492.5,-33907.4,72444.2,48763.8,0.268932
9.40648e+06,16043.9,5.353e+07,6891.37,101094,53375.6,-67289,112124,57502.4,0.269721
5.86955e+06,10248,4.08462e+07,-13552.7,872.977,76788.6,-99961.3,135524,313824,0.33153
4.64358e+06,8538.45,4.32624e+07,74052.2,-41649.2,79658.2,-104562,138596,385181,0.341386
3.86506e+06,7468.26,3.50849e+07,3641.19,-20789,60206.6,-79138.9,110857,283154,0.365612
2.87291e+06,5877.14,2.8961e+07,38877.3,46330,52257.4,-66343.6,79868.6,143740,0.37727
1.36178e+07,23015.1,1.31491e+06,228.469,2774.66,1259.56,-1083.27,797.887,4787.88,0.381641
1.08676e+06,2725.37,2.18291e+06,-6585.32,686719,-2699.16,-6883.98,-4945.5,-3946.12,0.393724
1.06273e+06,3119.87,441001,1702.34,7441.2,1131.3,1325.58,4205.75,5400.39,0.395586
2.69156e+06,4873.6,2.98184e+06,1141.35,37583,5476.33,-7853.71,9903.37,8563.22,0.395667
400242,1597.17,108729,748.885,1044.2,270.445,402.459,822.253,1177.59,0.408235
2.80801e+06,5004.03,3.7632e+06,2859.01,66778.9,14985.2,-20135.6,24583.4,23183,0.409004
3.93911e+06,6835.77,1.93931e+07,18146.4,178663,36374.8,-51373.2,53096.6,106277,0.413618
496686,1756.96,219029,840.233,2983.4,389.859,832.102,1671.29,2904.11,0.41372
7.6104e+06,13004.7,399798,73.6367,21052.7,-27.7162,-1411.64,-921.605,6533.95,0.416877
4.74443e+06,9084.19,506581,-1224.75,703.878,94.1315,-179.803,133.005,6805.42,0.417261
8.02093e+06,13644.8,965175,-1143.79,33990.4,-107.341,-1452.59,267.296,7558.6,0.417707
1.50838e+06,3201.27,1.53861e+06,967.729,30183.8,6547.05,-8831.25,10129,7887.3,0.419791
7.01586e+06,12030.5,2.81213e+07,-6099.48,143110,58397,-78183.8,116886,167471,0.420702
935100,2940.2,332654,1173.02,1967.78,1208.57,1173.16,3552.3,3324.07,0.421188
1.44231e+06,2936.66,3.51237e+06,3296.08,31444.5,6434.83,-9074.03,10179.4,14737.3,0.42226
595845,2260.07,271695,1267.46,4286.38,889.084,1607.27,3340.7,3668.51,0.429809
455289,1750.16,85340.9,294.772,1189.25,508.471,336.443,1877.75,3328.91,0.430133
772781,2230.9,429941,1993.02,8541.14,1107.82,2781.4,5008.66,5999.2,0.441123
1.99811e+06,4886.67,530737,2557.58,24978.3,1609.7,1989.3,5971.94,6097.93,0.441467
535589,2101.06,185125,229.505,4975.11,505.214,835.021,2327.57,2265.44,0.44171
941414,2859.13,406446,1321.32,7169.47,1508.91,1870.86,4076.77,9240.13,0.442033
6.87636e+06,11804,4.16114e+07,34635.9,128515,89685.7,-125168,164269,461023,0.442195
616940,1846.61,464436,1546,6989.16,1131.68,2421.41,3132.77,5938.39,0.453914
2.99392e+06,5414.72,1.00633e+07,13831.2,85614.5,17898,-21278,28364.9,57604.9,0.45612
461953,1622.49,224282,1134.66,3040.87,435.373,977.879,2340.44,1918.46,0.493824
763226,2228.45,298422,3288.26,10223.3,2219,3964.98,7630.53,7373.38,0.493966
4.75228e+06,8426.61,3.91336e+07,80517.4,106990,86109.1,-113437,140295,292174,0.495342
1.14192e+06,3842.74,436657,2742.09,10475.7,1792.31,3149.11,5531.31,7481.89,0.508437
2.43396e+06,4948.01,4.91705e+06,5904.22,39598.1,7923.84,-5379.4,15764.9,29291.2,0.50959
1.52249e+06,4031.16,568181,4331.78,15720,2828.67,6944.99,12511.6,11750.1,0.510299
1.26219e+06,3814.89,505491,2727.16,12650.8,956.319,4157,6264.56,14159.9,0.510339
796493,1969.57,2.22846e+06,1644.91,15694,3318.8,-4873.81,4195.32,12632,0.529687
347842,1287.41,124251,689.686,1560.7,494.624,1028.11,1423.32,1730.55,0.532602
597943,2119.77,392770,3632.73,24289.2,4071.55,6039.68,9626.38,8610.95,0.546587
472711,1662.55,581084,2734.18,40084.5,360.703,5032.38,5237.98,10952.8,0.552112
758245,2867.3,261399,950.615,2284.7,424.894,571.929,2156.79,2465.24,0.567088
776745,2155.52,612193,2269.68,4227.54,933.437,2397.75,4666.99,4637.6,0.582328
508125,1588.82,149774,1109.16,3046.51,416.702,1291.13,3027.99,2443.87,0.601838
368579,1368.99,136920,538.453,1575.05,457.197,609.724,1371.95,1966.83,0.622461
3.22866e+06,5653.31,1.15806e+07,13943.4,110049,25245.5,-34119.4,40315.3,77299.9,0.631023
1.14982e+06,2484.12,3.89122e+06,3001.95,25858.3,5055.12,-6994.69,6917,15730.2,0.645513
868210,3155.42,234748,1481.1,6166.85,689.322,3130.76,5830.57,6305.57,0.656766
1.0286e+06,3175.06,441833,3310.69,10052.9,1673.91,3733.39,7746.09,7839.17,0.665044
3.13092e+06,5663.94,2.16106e+07,19189.7,144294,39718,-58703,65867.3,228681,0.67917
1.05449e+06,2891.98,753452,4132.2,22280.8,7431.73,5298.33,8017.65,12944.8,0.68591
2.22901e+06,4195.59,1.23414e+07,12735.4,83892.9,21068.7,-29082.5,30070.4,68375,0.68678
2.47414e+06,4495.69,1.21366e+07,10490.5,92031.3,20071.9,-28268.8,27414,63718.4,0.689108
2.70323e+06,5193.21,2.26792e+07,25762.7,132436,38676.3,-52749.9,60717.8,121911,0.692973
575152,1798.45,256171,2393.57,6840.25,1328.86,2981.59,4396.35,5963.53,0.693256
3.75825e+06,6524.92,1.64029e+07,8302.01,113942,28963.1,-41954.6,49317.7,158508,0.709164
358129,1346.55,161231,503.709,1962.83,252.042,594.808,1341.31,1207.74,0.713434
