"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
5.38426e+06,12384.1,-159201,-807.604,-1940.08,-431.231,279.664,-4032.23,-10008.4,1.62961
9.55271e+06,16173.1,6.89141e+06,1057.95,57348.1,17720.5,-22680.7,37357.5,14869.1,1.69592
3.50405e+06,6344.76,2.72408e+07,49710.1,198659,57272.8,-79721.7,87922.1,219033,1.71662
1.18544e+07,20027.5,1.4447e+06,584.986,8725.06,2337.07,-2300.65,2378.16,7300.79,1.7655
8.21266e+06,13951.7,3.68834e+06,-1109.29,25589,12433.1,-16267,30650.3,19249.7,1.76931
4.91777e+06,8682.29,8.28297e+06,-11037.1,34674.6,23161.7,-29270.1,56066.9,58538,1.77749
5.5587e+06,9490.64,1.16628e+07,8306.69,105089,20989.2,-29188.2,38853.8,64630.8,1.77767
9.27465e+06,15734.7,5.69699e+06,-899.499,32653.2,15805.7,-20281.9,44499,16721.4,1.77846
1.00452e+07,17005.1,2.00822e+06,119.748,20233.4,6887.17,-8256.99,21027.8,6357.93,1.80612
5.607e+06,9548.27,9.99163e+06,9778.84,116109,21639.2,-29962,36776.5,72296.8,1.80695
6.24202e+06,10663.6,2.29376e+07,1627,139044,39150.1,-52729.1,77375.4,119190,1.86433
2.81524e+06,5100.15,1.72647e+07,12627.7,106633,30391.7,-44579.3,54236.5,177107,1.8645
630145,1788.2,1.27289e+06,706.07,14610.5,2831.61,-1974.11,3560.11,4150.1,1.86454
4.29965e+06,8365.96,7.52435e+06,24520.5,236490,130657,452656,34488.2,140869,1.86478
5.11594e+06,8744.38,4.70298e+06,2150.37,144190,21723.7,-29154,40623.6,24387.7,1.91313
2.33983e+06,4524.35,1.62347e+06,2537.59,56614.3,22719.6,42475,18910.5,19640.7,1.91372
3.0183e+06,5438.06,1.99318e+07,24988.3,141840,35224.8,-48082,51614.2,114000,1.91696
2.38117e+06,4298.74,7.96477e+06,9655.05,74670.8,17520,-23865.9,27743.9,50199.4,1.93777
3.02129e+06,5294.27,8.77746e+06,7181.71,94101.6,20359.1,-26538.7,32912.8,46231.2,1.95411
1.98135e+06,3977.37,1.34737e+07,10052.9,79748.1,19434.5,-26163,32498.9,64146.2,1.98264
1.79639e+06,3611.46,1.06035e+07,10261.8,64848.3,16412.2,-21490.4,23432.4,47431.9,1.99108
2.0097e+06,3760.35,1.03682e+07,6617.46,61306.4,13046.7,-16893.9,17223.5,38120.3,2.00249
2.14102e+06,4037.94,1.34675e+07,7737.85,68726,20130,-6596.63,19773.1,45276.4,2.0205
1.93569e+06,3640.28,5.71764e+06,6983.6,54569,12873.2,-17079.5,21786.5,33959.2,2.03263
484724,1909.42,173003,3013.54,13369.1,48846.2,25783.3,2332.57,5508.78,2.05724
366552,1344.95,142882,1895.04,4950.98,14244.8,17527,3772.75,1006.45,2.06174
1.56998e+06,3105.08,4.91563e+06,3285.85,36530.5,8126.58,-9704.86,12027.5,18412.9,2.09063
1.48337e+06,3072.75,2.18875e+06,3006.51,32256.5,7072.04,-9128.61,11728.5,11175.1,2.11832
1.58366e+06,3335.66,9.94622e+06,6159.07,56323.8,12187.2,-15367,16399.2,40967.7,2.15389
1.05531e+06,2362.1,2.64263e+06,3391.44,29240.3,6139.33,-6287.88,7753.4,15560.1,2.16635
461677,1398.22,611756,981.045,81858.4,1438.86,469.583,1091.08,8421.24,2.18444
312709,1220.66,95782,3056.23,3458.7,7706.42,6981.79,3571.91,7567.54,2.20822
618952,1756.36,1.3797e+06,1838.84,7800.82,2327.62,-2824.98,2747.79,5897.78,2.3071
1.12203e+06,2486.4,5.95128e+06,2480.43,27580.9,5446.78,-7310.85,8589.34,19706.3,2.34054
317827,1289.85,74584,2170.99,20094.4,23728.3,19758.3,2840.79,1822.24,2.3796
3.45978e+06,8446.86,1.56626e+06,35362.3,235613,440837,514644,59436.1,129759,2.39433
468917,1846.07,184458,3902.67,32800.5,42473.1,84250.9,278.397,46050.9,2.39477
512870,1600.96,2.45282e+06,1342.36,13425.1,2398.53,-2394.77,1960.64,6203.56,2.39501
705902,1834.59,2.30276e+06,3362,15311.6,4338.76,-5232.6,6384.57,12199.4,2.42305
861945,2386.21,389585,8528.34,39155.9,45112.4,49249.6,12019.1,13467.2,2.47884
666872,1784.64,2.84487e+06,803.304,13866.4,2887.74,-3005.94,3599.67,9308.99,2.48058
1.52149e+06,2999.53,5.32271e+06,4095.8,41762.2,8266.47,-10752.2,12041.3,25163.1,2.77861
893630,3229.38,500174,13892.6,52356.3,61335.7,185893,9553.09,10936,2.96021
460419,1692.71,176673,3714.66,6767.38,29712.8,12958.2,2735.18,11445,2.99749
496278,1598.16,151578,2746.96,4143.38,17648.9,8505.76,1838.52,4652.76,3.0917
280338,1119.7,916616,531.217,2003.81,855.857,-954.583,1436.94,2446.8,3.12472
504171,1963.66,273244,2454.42,22070.6,35019.5,58913.4,7646.48,7267.61,3.30434
1.24265e+06,3884.22,450282,10998.4,39780.4,93956.7,103897,11762.1,35286.6,3.33676
365489,1501.22,221665,3259.47,15915.8,23481.6,58843.2,11342,16338.7,3.39364
415883,1558.52,116721,2330.56,22912.7,67500.2,57440,-1749.08,6987.56,3.42218
471632,1670.69,818391,-78.2933,53393.6,557.208,406.722,232.012,1433.34,3.75132
514185,1563.54,275006,2024.35,3671.64,9372.93,17287.1,5295.24,13265.5,3.78071
543047,1681.79,292538,13682.8,34193.3,34134,57619.5,5319.76,42669.9,3.81061
2.22933e+06,5136.79,915465,21597.2,88677.5,171391,227956,37431,52627.1,3.84696
2.05819e+06,6164.27,902091,22458.7,112786,421763,290100,10641.9,77151.2,3.85779
534719,1908.22,135512,5009.27,9812.26,28190.6,44924.8,6345.72,28669.2,4.04552
485235,1870.56,195166,4390.86,20807.6,42430.6,88227.7,7925.91,40146.6,4.13728
656478,2087.99,703639,11857.3,75131.6,79558.9,141124,4316.2,23564.6,4.16281
443971,1545.3,175428,5498.04,16967.6,38523.4,65249.6,2274.96,10642.8,4.19988
948674,2699.29,410073,9699.05,43653.8,68572.6,122791,7307.09,39924.2,4.32025
623722,1845.67,540610,15538,8201.68,4512,4854.39,5027.04,2835.13,4.38596
513053,1814.41,230229,2776.23,9704.57,27056.8,16118,4709.8,2424.62,4.41931
517192,2042.98,154146,2633.31,14616.6,34216.1,16987,2046.91,1541.19,4.47564
694154,2489.19,135667,7358.51,31899.7,77123,38652.2,-4322.94,13755.9,4.51842
428666,1637.4,170647,8617.45,7434.61,28632.8,48561.4,83075.1,30601.7,4.52361
292765,1196.1,65063.4,3346.5,3616.77,8884.17,21538.5,-353.832,9385.82,4.5417
455996,1706.3,201216,5815.97,20612.7,46243.1,53259.8,9414.92,11244.2,4.54186
564513,1707.29,157964,6051.99,28425.8,48150.7,74445.9,14479.5,17442,4.54186
426486,1586.46,169476,3395,12174.2,25711.6,37904.4,643.784,5284.64,4.56645
420105,1595.22,138340,5001.01,9120.34,18181.5,25312.7,6096.15,14580.3,4.58999
906545,3029.23,672948,13014.1,41031.6,53750.8,100737,10927.5,25143.8,4.61396
334437,1310.55,92728.9,1664.62,2210.95,11070.9,5107.1,1918.51,6429.5,4.66549
311946,1236.65,74300.3,969.657,2447.66,11575.7,13308.9,2298.85,3206.22,4.70526
372875,1496.41,130989,2076.61,7110.45,12276.5,16252,-165.773,2664.35,4.71607
