"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
8.68786e+06,14772.9,700966,1118.14,11503,4291.27,-6426.67,15415.6,4913.17,0.966672
1.08419e+07,18352.5,462217,-472.446,15666.4,1390.7,-2142,5881.77,4946.37,1.0156
6.46851e+06,12205.3,-13968.5,1030.02,-638.851,-641.721,607.864,-903.284,-6898.95,1.39092
1.0794e+07,18331.1,416854,-366.34,22140.6,468.351,-1153.89,0.451904,4247.87,1.39147
1.84434e+06,3861.53,1.39689e+07,19152.4,94137.7,25942,-13062.9,34811.5,89577.2,1.6118
3.31965e+06,5623.39,592,342.972,1036.27,382.089,-8.28373,540.546,-1442.73,1.62373
1.27092e+07,21472.5,202255,316.862,401.392,608.868,38.1388,3184.31,-6079.84,1.66769
8.60038e+06,14610.6,455612,-68.2214,12612.3,3774.68,-5022.26,12043,579.5,1.67565
3.20376e+06,6571.08,3.4258e+06,-5483.1,-2131.1,13032.1,-16218.6,37646.3,23631.7,1.68374
4.63973e+06,8321.45,1.04318e+07,-12908.6,33159.2,26185.8,-33713.8,67087.8,70301.8,1.72382
314887,1267.59,349984,3879.41,23535.1,12011.6,43902.3,3523.88,10218.2,1.73318
1.76792e+06,5864.51,1.39454e+07,18190,109649,70671.4,220422,20770.1,49211.7,1.73333
1.09146e+07,18460.4,376227,-368.32,17737.5,1789.53,-2521.63,716.24,5727.36,1.73372
3.51509e+06,6485.59,8.7786e+06,-10459.4,57613.7,22255,-29430.6,55092.1,66818.9,1.73603
2.9197e+06,5382,9.39208e+06,-7001.23,60210.3,22413,-29548.3,44062.6,69903.6,1.74521
9.84728e+06,16687.9,624306,734.308,13958.1,4838.44,-5084.18,12980.8,5163.56,1.77479
5.57151e+06,9813.05,2.2084e+07,-24471.2,29725.6,50040.8,-65285.7,103526,199353,1.77559
4.46755e+06,7925.14,1.78661e+07,-20313.2,91059.9,38504.5,-52682,79089.3,169432,1.78304
906731,3232.46,381861,7349.21,31753.3,48690.9,58996.6,1826.12,9701.88,1.79552
302651,1216.42,189867,3770.52,30212.6,22549.3,56537.9,1853.23,9929.43,1.79971
520227,1842.78,193284,2032.03,16924.7,18065.6,31321.7,611.091,7063,1.85192
898635,2832.71,334275,8975.93,32700.9,15869,76171.7,3018.87,10067.5,1.8551
5.09018e+06,8822.88,2.00128e+07,-12254.8,113744,41385.3,-55847.6,84088.2,172414,1.85687
498261,1776.38,198068,5897.64,15188.5,23304.7,29247.7,1180.53,9973.03,1.87849
698355,2439.07,157700,5640.46,24746.7,23010.3,47211.1,-955.324,16049.2,1.88647
494503,1776.39,242490,9389.48,52632.7,27089.4,61336.8,5626.5,15890.1,1.88725
550110,2240.35,254610,5676.67,20285,26739.7,49440.6,1963.41,13068.9,1.89629
481351,1776.51,237593,4607.48,21690.3,28935,71145.6,1844.35,15131,1.89631
3.86541e+06,6675.29,3.4645e+06,1808.15,62118.1,8023.06,-10016.3,12950,12366.2,1.89745
381552,1533.44,4.04934e+06,637.085,18652.8,3350.73,-3469.94,3468.22,6493.03,1.89759
1.21831e+06,3973.91,792303,16519.8,44703.5,80529.4,243446,6552.37,33512,1.89788
658695,2553.08,461862,21127,80219,71920.2,118094,4794.66,22247.2,1.898
