"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
990615,2313,1.89005e+06,2322.57,20041.1,4376.27,-5885.85,6967.38,11672.1,0
3.54062e+06,6586.35,3.1764e+07,31397.5,128967,55754.2,-72324.9,87920.3,158952,0.0386822
403274,1438.54,131742,10974.2,10891.4,16405,39790.7,1672.25,17587.4,0.0854814
437876,1611.04,123051,3975.35,7594.25,7198.17,20805.9,-440.748,11559.6,0.113071
507316,1748.66,171244,5479.89,12207.1,10871.1,41935.4,4014.4,12456.6,0.119629
4.7807e+06,8486.76,3.92993e+07,65095.6,93264.9,85221.5,-108704,140232,259700,0.173169
715199,2012.61,234246,4066.79,22664,37130.6,31147.2,1300.02,10598.5,0.211932
558098,1920.7,159626,5096.43,18514.2,26025.5,41262.8,107.269,6985.68,0.233065
529057,1617.44,2.20664e+06,1273.33,10754.3,2554.86,-3300.82,2582.48,9351.4,0.238206
561096,2067.96,287522,107151,21218.2,23551.4,77323.1,6554.52,12797.5,0.265168
388176,1332.4,1.14473e+06,1793.95,6046.24,1757.12,-1963.54,2374.41,4490.69,0.295005
889469,2105.06,2.85018e+06,2837.27,16282.2,3658.79,-4473.01,5098.79,10317.2,0.352795
1.48914e+06,2981.44,5.93798e+06,3663.08,34424.9,7470.67,-9907.09,11328.7,20367.7,0.40087
1.34008e+06,2797.4,3.20256e+06,8889.46,25893.6,6425.4,-7730.22,8452.29,12021.6,0.408056
2.96057e+06,5202.25,9.46294e+06,6537.97,90119.8,19504.3,-24997.5,30750.9,45640.7,0.408865
3.86538e+06,6773.01,2.55053e+07,20089.9,193563,40160,-54710.4,58811.4,128429,0.411355
494980,1567.4,2.02114e+06,1948.89,9693.35,2380.83,-2949.54,3830.55,8790.94,0.501249
482598,1513.81,807340,1860.93,7239.59,1813.55,-2293.76,2737.54,6049.22,0.556408
1.36736e+06,2845.56,2.73324e+06,3565.69,30474.9,6854.64,-8583.06,10183.4,13480.9,0.56406
951799,2224.03,2.51383e+06,3085.71,17499.6,4202.73,-5217.23,6113.2,9724.42,0.56744
2.61068e+06,4650.83,9.82695e+06,7780,77811.9,16241.1,-21204.5,25388.2,41468.3,0.572561
6.68818e+06,11530.4,4.60678e+07,73219.8,115276,110790,-141504,192597,278616,0.573553
1.25957e+06,2848.45,1.47177e+06,1501.33,23023.4,5773.71,-6701.89,9110.49,7049.37,0.574363
2.21194e+06,4189.34,2.39739e+06,2341.13,46152.7,10162.8,-12836.7,17923.5,11592.5,0.574606
