"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
2.24793e+06,4210.29,-26917.6,245.212,-2037.46,-883.945,409.455,-3429.05,-2454.07,0.236638
2.95193e+06,6278.1,-98409.3,748.576,-8300.06,-1653.54,1657.94,-6172.14,-5593.91,0.891916
1.88235e+06,5293.65,8.57033e+06,-7484.54,-16349.5,17978,-21255.7,38972.7,89522.3,0.892037
1.03852e+07,18362.2,548041,4051.37,9607.22,-1466.08,-1103.42,-6284.91,-9028.65,0.892259
1.39364e+06,3979.79,4.40303e+06,-5624.54,19901.3,13875,-18194.8,32617.7,36603.7,0.892663
8.12949e+06,13823.6,98914.5,302.902,12804.5,-467.228,938.829,-387.836,3160.85,1.00274
8.88354e+06,15106.7,2.40988e+06,-991.656,22894.1,11524.2,-13846.8,27422.9,7512.12,1.0029
8.68112e+06,14764.6,577166,-227.626,12138.7,4880.81,-5729.98,14555.2,2143.41,1.00327
9.0356e+06,15351.4,4.11668e+06,-1384.9,22036.3,14520.1,-17070.1,38631.6,14697.8,1.00363
9.78583e+06,16568.2,6.9693e+06,-1769.68,118954,17113.5,-23895.7,46306.5,4793.45,1.0043
4.20711e+06,7793.42,9.36615e+06,-13952.3,28885.7,23538,-24634.9,56645.1,73896.6,1.00448
3.69108e+06,7099.83,3.50234e+07,56891.4,-14063.6,64687.3,-85417.5,111325,318810,1.00531
5.53631e+06,9755.21,9.46905e+06,-12528.9,-3649.45,26794.1,-33447.9,73166,65846.9,1.00775
1.04607e+07,17708.2,1.11825e+06,-509.502,14136.1,6045.83,-7547.81,15048,6586.76,1.02773
1.9402e+06,4159.07,6.4441e+06,-4875.65,45053.8,18124.7,-21861.7,36748.5,43387.7,1.02989
823115,2438.29,5.79944e+06,6396.85,29940.2,12570.3,-2565.99,14932.9,33217.1,1.02997
4.68274e+06,8291.83,4.36483e+06,-5182.97,21690.7,13277.7,-16595.7,37701.9,26352.1,1.03003
9.91718e+06,16804.1,1.87772e+06,857.423,13442.1,7717.49,-9310.27,23113.8,6171.48,1.05001
6.67561e+06,11506.3,1.51716e+07,-17982.1,64082.2,47465.7,23613.5,86782.3,89914.6,1.11083
4.2356e+06,7481.21,3.13538e+07,59130.1,185597,69495.7,-93196.8,114307,228167,1.13967
1.9862e+06,3787.86,1.0038e+07,14138.1,70498.9,19062.9,-26127.6,30498.1,74177.2,1.14247
2.32595e+06,4434.01,1.73036e+07,26714,106973,40040.2,-29237,50148.7,119647,1.15577
2.97158e+06,5229.5,7.94506e+06,4826.44,84089.6,18121.3,-17818.4,26593.4,55507.5,1.17507
827388,2115.62,942742,10237.1,41243.5,14383.7,135752,-934.523,9416.64,1.1782
2.89217e+06,5258.49,1.87744e+07,18589.2,134091,31759.1,-42439.3,48619.8,100962,1.17844
354060,1392.43,198272,3722.27,11690.2,4196.61,33687.3,1273.12,2592.98,1.19217
821425,2529.1,523071,10522.7,43313.5,25710.8,96069.5,2576.75,23302,1.20543
2.65824e+06,5201.63,2.23632e+07,35106.1,122387,44435.9,-60556.6,67125.1,201790,1.21174
3.09398e+06,5446.78,5.71209e+06,3000.68,81447.9,14337.4,-18922.2,25251.7,29758.9,1.21384
763086,2944.5,422761,12852.2,44805.2,47008.3,135828,12545,42827.9,1.22555
795573,2699.65,9.84288e+06,1420.7,31610.2,12284.3,9789.48,10352.1,15362.9,1.22617
782366,2194.19,767915,1661.28,19648.6,3879.91,-3121.15,6046.64,3404.08,1.22624
1.92458e+06,4148.85,1.70791e+07,21443.7,88423.2,29266.6,-37946.5,47604.6,91909.1,1.22632
3.08722e+06,5462.45,1.53412e+07,11205.9,126741,25663.8,-33597.2,37616.3,79361.5,1.2265
