"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.60414e+07,27170.4,952702,-426.405,576.561,421.216,287.76,1082.59,3011.89,0.946266
1.15352e+07,19553.5,615677,343.516,12774.5,1810.34,-2110.54,3771.4,5492.14,0.955275
8.68258e+06,14786.1,1.10615e+07,-2595.71,67904.6,23719.4,-30647.3,62079.3,22895.9,0.956338
6.87288e+06,11958.5,2.95044e+06,791.85,12112.8,1268.61,-2174.03,2075.56,7333.59,0.979372
9.8584e+06,16741.1,1.15326e+06,-169.618,16576.3,4484.74,-6169.16,14893.6,6731.27,0.979627
8.53491e+06,14504.5,5.6627e+06,-728.595,36752.1,2306.52,2064.31,2686.85,22330,1.01137
6.20634e+06,10771,2.62263e+07,-25785.9,46564.1,57123.7,-75244.7,117392,225964,1.06426
5.16803e+06,8884.55,2.68379e+06,-828.038,55744.2,1841.74,-2345.69,1110.44,2923.29,1.06858
3.70819e+06,7429.62,3.96589e+07,59851,-33184.3,63905.3,-81787.6,113456,259215,1.06932
3.88818e+06,6958.62,2.93944e+07,50369.1,181588,63009.4,-87517.5,102586,285621,1.07257
2.9737e+06,5630.33,2.50185e+07,36024.3,145927,49349.4,-65899.6,76109.5,152305,1.1077
594655,2321.95,314520,9443.35,20540,9685.48,44589.4,5313.05,24242.4,1.10802
787851,2580.14,248848,8424.67,12823.8,45770.8,60466.6,1879.2,42600.1,1.11312
4.91993e+06,8622.36,2.19451e+07,-16325.1,110961,46939.6,-61248.6,86842.8,194873,1.11354
742880,2510.59,359352,10664.9,45888.1,32438.8,109132,11840.4,54323,1.11401
2.7842e+06,4942.41,7.18183e+06,8698.5,87495.6,19330.4,-23274.9,32033.9,40323.2,1.11926
467989,1813.41,159252,6196.79,28411.7,20960.6,62747.3,3843.75,22794.5,1.13526
4.17074e+06,7171.71,3.87696e+06,-528.366,106799,18348.4,-23937.3,29979.4,18065.6,1.1394
912815,2990.31,658423,11500.6,32071.2,24923.6,67431.1,17366,17336.3,1.14803
2.83573e+06,5583.77,2.50004e+07,38818.1,138072,53829,-40544.4,82363.5,239369,1.15646
753303,2187.35,305480,6294.75,15785.6,28158.3,56114.9,3254.5,20208.7,1.15895
635195,1989.5,391399,11134.9,20297.6,15123.4,52891,12794.7,29881.1,1.1611
2.5633e+06,4674.55,1.36045e+07,4344.9,80989,23270.5,-32117.3,41715.8,134268,1.16167
2.49672e+06,4541.1,4.01847e+06,4696.77,61792.4,14225.6,-17299.2,21701.7,22380.2,1.16193
713950,2336.63,256887,37912.1,30516.6,38719.1,71757.9,7616.75,57989,1.16214
2.54951e+06,4882.87,1.95334e+07,20681.2,122870,31570.9,-41736.4,47477.4,101112,1.1683
893166,2652.31,337004,16354.9,34648.7,27387.2,88786.7,7957.52,32295,1.17661
2.583e+06,4996.44,2.16125e+07,30273,132796,40193.1,-54286.6,64026,138699,1.17852
450149,1759.25,100953,2885.59,17367.2,25512,23636.6,832.954,14654,1.17924
2.62597e+06,4710.32,6.65561e+06,6182.55,77468.8,16359.8,-21341.4,28041.3,38021,1.18362
878216,2975.27,574371,16081.7,28136.9,42963.9,78300,15092.9,41676.3,1.19165
3.57881e+06,6294.67,2.18639e+07,19774,173695,36550.1,-49638,53101.9,115744,1.20283
398841,1465.44,270123,36114.8,3705.1,11495.7,14740.8,-162.372,13228.4,1.20472
2.33764e+06,4313.87,3.68124e+06,4100.8,58832.5,13149.5,-16121.1,18719.4,20895.7,1.20672
1.50142e+06,3096,2.38751e+06,2256.04,35095.5,7500.8,-9305.21,10358.9,13056.5,1.23324
446488,1593.66,100558,3774.98,6835.85,13102.5,31396.1,2499.44,30696.7,1.24724
2.38043e+06,4317.75,6.91874e+06,5154.05,65204,14234.4,-18487.8,21805.7,34208.8,1.26399
432550,1689.65,261094,20860.5,15490.3,24116.7,71786.8,1629.01,23863.3,1.27198
2.04402e+06,3848.41,4.56046e+06,2616.18,49582.8,11139.1,-13375.2,15796.9,22831.8,1.27463
382228,1502.34,85378.5,4219.18,8045.33,11628.3,10254,5852.38,22614.4,1.29327
1.343e+06,2803.84,3.563e+06,3023.59,31833.8,7848.85,-9790.36,12086.3,19972.7,1.29403
2.33722e+06,4236.02,8.93488e+06,5765.89,67697,13775.4,-17477.1,22674.2,37182.1,1.29412
1.74305e+06,3455.11,2.69008e+06,2277.52,41032.5,9410.33,-11549.2,13906.7,13761.3,1.29699
514384,1684.09,186170,3264.92,10445.1,15235.7,19875.3,3902.56,14992.8,1.31564
1.2472e+06,2630.35,4.27344e+06,2975.52,27282.4,5973.3,-7231.55,8653.84,16276.2,1.34197
702874,2106.78,492413,13979.1,19012.3,25588.1,75980.5,9760.53,26569.8,1.34888
315413,1275.8,201983,3607.73,10367.8,6378.68,10945,3288.09,3434.88,1.39524
1.05609e+06,2305.99,5.2197e+06,1633.64,24059,6039.6,-7201.02,8868.26,13487.5,1.41131
1.97395e+06,3700.17,8.39903e+06,6186.21,54870,11417.1,-14769.7,17250.3,33151.9,1.41639
2.00605e+06,3920.65,1.40399e+07,11595.7,81279.2,32575.5,22537.2,21482.4,55934.2,1.439
754006,1914.21,1.33937e+06,2527.98,16578.1,4198.07,-5235.47,5466.55,12834,1.51403
970481,2203.45,3.67931e+06,1955.58,24386,4913.39,-6233.87,7641.81,11505.6,1.59832
996768,2344.26,2.01669e+06,3131.88,19498.8,4868.65,-5871.33,8414.94,11236.3,1.60593
518936,1755.39,2.54745e+06,1763.59,13289.8,3219.37,-4344.96,4391.71,10070.2,1.64125
1.20635e+06,2620.44,4.5558e+06,2737.12,26537.7,6633.34,-5651.93,9635.61,16269.6,1.69065
474659,1642.55,168314,3738.87,3957.59,10664.7,2123.41,3462.88,4659.93,1.71396
446894,1443.59,1.2236e+06,1091.08,10910.9,2922.26,-3614.71,4466.98,6560.23,1.84843
492988,1636.3,226428,8251.68,6849.26,20449.7,20702.5,37221,18832,1.96581
338624,1285.74,287010,505.967,3153.38,927.946,-1130,1444.23,1206.7,1.99378
9.81242e+06,16762.8,7.20026e+06,-104.421,123223,12748.2,-12964.5,26738.3,10347,2.00608
353726,1250.33,2.18906e+06,945.212,7228.54,1668.16,-2140.16,3280.57,3400.39,2.03018
1.08e+06,2456.99,3.74089e+06,1692.62,26188.4,5102.47,-6507.84,8859.24,13794.6,2.03882
