"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
5.38426e+06,12384.1,-159201,-4792,-3138.1,-873.8,-888.9,-5004.6,-10341.8,1.62961
9.55271e+06,16173.1,6.89141e+06,9921.5,61111.4,18700.2,2192.6,38594.4,19146.7,1.69592
3.50405e+06,6344.76,2.72408e+07,142771,225392,60649.3,5195.8,107247,235576,1.71662
1.18544e+07,20027.5,1.4447e+06,3793,9624.9,2489.7,1046.1,3285.9,7940.7,1.7655
8.21266e+06,13951.7,3.68834e+06,7894.3,29285.6,13277.8,1266.8,31191.2,21262.3,1.76931
4.91777e+06,8682.29,8.28297e+06,13766,43658.4,24946.7,3650.6,57945.4,60783.7,1.77749
5.5587e+06,9490.64,1.16628e+07,38087.3,113692,22940.8,2901.8,45822.2,72335.8,1.77767
9.27465e+06,15734.7,5.69699e+06,7761.7,36931.7,17172.1,2096.4,44733.1,19556.8,1.77846
1.00452e+07,17005.1,2.00822e+06,3870.7,22125.1,7749.9,1777.3,21604.9,8138.6,1.80612
5.607e+06,9548.27,9.99163e+06,42901.9,125354,23675,3384.6,44960,80744.5,1.80695
6.24202e+06,10663.6,2.29376e+07,54289.2,155210,42326.9,5370.8,86816.6,129016,1.86433
2.81524e+06,5100.15,1.72647e+07,85258.9,126863,33457.1,3124.4,67825.6,185010,1.8645
630145,1788.2,1.27289e+06,3037.8,15323,3149.4,2099.2,4767.8,5284.6,1.86454
4.29965e+06,8365.96,7.52435e+06,109173,280123,194546,615202,238108,202414,1.86478
5.11594e+06,8744.38,4.70298e+06,18484.5,149061,23762.7,3797.6,46292.9,34337.7,1.91313
2.33983e+06,4524.35,1.62347e+06,15157.8,62915.6,30462.3,71933.8,42908.2,28796.8,1.91372
3.0183e+06,5438.06,1.99318e+07,75221.2,156176,37221.1,3922.9,62863.6,125051,1.91696
2.38117e+06,4298.74,7.96477e+06,32410.7,81277.1,18613.4,2039.3,32881.4,55838.6,1.93777
3.02129e+06,5294.27,8.77746e+06,29420.9,100684,21732,3423.6,38442,53087,1.95411
1.98135e+06,3977.37,1.34737e+07,38419.2,87986.5,20892.9,2873.8,38767.1,70232.4,1.98264
1.79639e+06,3611.46,1.06035e+07,31472.4,70981,17292.1,2452.4,28357.6,52444.5,1.99108
