"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
8.68786e+06,14772.9,700966,3778.5,12850.8,4827.9,-27.3,15442,6008,0.966672
1.08419e+07,18352.5,462217,2215.5,16463.8,1874.4,520.7,6740,6062,1.0156
6.46851e+06,12205.3,-13968.5,-1635.4,-1360.5,-755.6,-435.6,-1380.8,-6877.7,1.39092
1.0794e+07,18331.1,416854,2209.2,22529.2,772.9,293.1,1265.7,5628.6,1.39147
1.84434e+06,3861.53,1.39689e+07,58520.1,105995,29841.4,24872.4,50281.2,98764.3,1.6118
3.31965e+06,5623.39,592,-133.3,956.7,410.9,442.6,591.2,-1310.4,1.62373
1.27092e+07,21472.5,202255,-1873.4,40,731.9,728.4,2895.2,-5882.7,1.66769
8.60038e+06,14610.6,455612,949.2,13378.2,4197.9,460.6,12039.7,1625.6,1.67565
3.20376e+06,6571.08,3.4258e+06,4133,2380.2,13956.2,1617.1,36900.4,23743.5,1.68374
4.63973e+06,8321.45,1.04318e+07,16494,43881.2,28345.6,3677.5,68982.3,72486.8,1.72382
314887,1267.59,349984,10794.4,27410,18173.6,58838.8,22968.4,16316,1.73318
1.76792e+06,5864.51,1.39454e+07,52124.8,129800,101636,306902,120135,79769.5,1.73333
1.09146e+07,18460.4,376227,2581.2,18343.1,1926.8,357.3,1728.4,6793.2,1.73372
3.51509e+06,6485.59,8.7786e+06,18453.6,67267.9,24483.3,3499.8,58660.1,70549.2,1.73603
2.9197e+06,5382,9.39208e+06,22929.2,69589.8,23984,3059.1,48240.6,73673.8,1.74521
9.84728e+06,16687.9,624306,3603.6,15290.5,5419.4,1867.4,13702.2,6440.3,1.77479
5.57151e+06,9813.05,2.2084e+07,54233.7,55052.7,52940.4,5706.6,110257,200345,1.77559
4.46755e+06,7925.14,1.78661e+07,49281,111938,41819.7,4843.6,88396.9,174420,1.78304
906731,3232.46,381861,16038.5,38746.2,56711.6,115380,35485.8,19529.8,1.79552
302651,1216.42,189867,11596.4,35245,30245.1,83447.8,28228.4,17927.5,1.79971
520227,1842.78,193284,7127.8,20235.3,22330.7,52536.8,16674.9,11755.5,1.85192
898635,2832.71,334275,17477.2,38185.1,26086.8,95745.3,34661.9,19924.7,1.8551
5.09018e+06,8822.88,2.00128e+07,59584.1,135300,45096.8,6160.3,95046.6,179592,1.85687
498261,1776.38,198068,12120.2,19117.8,27381.5,56449.1,18198.1,14949.3,1.87849
698355,2439.07,157700,15162.1,29867,29395.4,74490.4,22814.7,22996.8,1.88647
494503,1776.39,242490,20877.2,58996.2,36111.9,94606.6,36698.2,26551.6,1.88725
550110,2240.35,254610,14131.1,25637,33467.4,80844.4,26859.2,20184.3,1.89629
481351,1776.51,237593,14729.7,28287.2,38355.9,105131,34476.2,24104.1,1.89631
3.86541e+06,6675.29,3.4645e+06,9487.5,64164.2,8937.2,2451.6,16106.9,16697,1.89745
381552,1533.44,4.04934e+06,3999.5,19558.2,3588.1,1405,4718.3,7793.8,1.89759
1.21831e+06,3973.91,792303,42352.4,64236,111974,337284,110802,61421,1.89788
658695,2553.08,461862,39588.3,92771.3,88390.2,202982,67669.4,42331,1.898
2.19421e+06,4020.31,8.05221e+06,33014.7,76352.6,17531.3,2481.3,31503.9,57721.2,1.89982
688248,2742.96,300975,15948.1,36138.9,43051.3,110369,32568.1,20028.7,1.91756
2.03664e+06,3771.88,7.45981e+06,19571.2,59630.8,12179,3034.1,20739.1,34438.8,1.92668
558173,1956.3,200305,14099.3,27908.4,26288.9,82875.9,27484.7,17904.4,1.93757
2.54527e+06,4941.3,2.20507e+07,58246.6,134423,32620.1,6415.6,55636.3,106242,1.93901
367790,1379.1,150230,7755.7,17118.9,23411.4,50979.2,13498.1,6113.8,1.94642
1.5148e+06,3229.54,8.92317e+06,28119.4,59096,15510,2211.8,28072.6,51731.7,1.96049
2.45946e+06,4660.97,1.85961e+07,45556.6,118012,24001.1,4710.2,37559.6,81475.4,1.96306
751730,2693.69,222046,16203.9,40623.6,60226.5,136558,38387.1,19163.6,1.98815
779515,2135.11,460008,20839.1,33726.2,43080.2,134324,43231.2,27842.7,1.98875
1.41025e+06,2875.13,4.03906e+06,10191.6,32396.5,7686,3532.3,13001.7,18608.1,2.00422
263809,1071.37,53220.5,7795.1,12391.5,11413.4,28368.9,19530.7,8841.3,2.01845
1.03852e+06,4159.79,388366,25607.6,53984,53631.9,160530,53775.2,40830.8,2.05593
1.45266e+06,2924.29,4.88616e+06,10688.5,33267.2,7867.6,1493.8,12569.4,19535.8,2.15099
1.42876e+06,2900.25,6.95847e+06,13041.8,38710.4,7994.6,1486.7,14271.7,24733.1,2.16116
747260,2822.18,305012,21068,65862.2,46387.3,137926,41858.2,25005.9,2.24687
813276,2014.93,4.29691e+06,6391.5,17220.2,4201.1,840.8,6449.9,12675.8,2.29955
478674,1751.83,243778,17884.8,39084.9,31615.6,99329.2,32465.7,25846.6,2.3221
1.05529e+06,2361.49,2.71648e+06,10649,26341.2,6004.3,1137.3,10402.2,17042.4,2.3511
1.03455e+06,3032.77,583379,31820.5,68168.9,104292,250100,79194.6,44643.3,2.35589
1.15454e+06,3078.77,572212,25640.5,73510.9,71677.6,201267,61608.9,33973.3,2.35591
1.16139e+06,2834.81,4.27016e+06,14691.7,32368.4,5346.8,6066.7,10638.6,26728.9,2.36724
1.12665e+06,2790.42,424098,17149.9,42673.4,58191.5,117945,39833.5,17918.2,2.3674
1.10003e+06,2365.55,3.82023e+06,7660.5,22722.7,5749.6,1243.3,10088.9,12977.3,2.42665
