"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
3.33509e+06,5800.46,8.31644e+06,33648.4,116334,24533.8,3232.2,40376.3,58918.6,0.0771521
3.77965e+06,6519.19,4.98009e+06,21311.1,104819,23916.4,3120.9,40358.6,36596.8,0.0945898
1.50782e+06,3072.48,2.68533e+06,10202.4,36184.1,8184.3,1322.7,15205.3,18711.1,0.260954
7.05573e+06,12073.3,4.20849e+07,170636,264759,108602,9106.9,199377,284850,0.296879
323783,1284.33,54010,664.1,989.6,1503.3,2408.4,1417,535.4,0.403584
429653,1636.87,198566,14282.6,45455.1,59997.8,118921,32755,17253.4,0.654674
408344,1540.28,160130,9168.7,26698.3,35404.1,76563.4,23241.8,12337.3,0.654674
1.80444e+06,3443.69,8.97642e+06,18998,52689.3,10646.7,1805,17223.3,33575.2,1.77527
497616,2007.27,213645,18579.1,53076.8,39983.8,143678,44762.5,30034,5.13797
871443,2659.88,389042,37056.5,77456.4,89706.6,276064,84067.8,53727.7,5.13799
708331,2139.47,1.47714e+06,57515.6,27219.8,31565.8,81308.3,31584,26899.5,5.15505
737475,2040.04,616097,8790.5,7672.9,25980.6,31052.2,9282.8,4341.7,5.15594
510271,1833.55,413225,5979.1,12444.3,15108.3,56680.3,19155,7442,5.2466
574650,2359.8,224419,11779,61178.3,42055.4,159283,55683.8,19413.3,5.44204
1.35121e+06,3366.19,1.12298e+06,35313.3,81445.6,96982.6,273844,91521.4,40078.5,5.44217
396893,1407.11,235326,12761,24968,27083.4,75243.3,23529.1,14482.3,5.44217
597802,2298.89,243772,26626,36946.5,28601.7,98818.2,35753.1,21646.3,5.44229
350459,1365.19,107261,46425.8,23659.1,27146.6,90938.6,33723.3,17084.3,5.44267
2.55149e+06,4801.25,1.84803e+07,55864.8,128060,29078.4,5106.9,43693.4,94931.3,5.45411
1.25852e+06,4353.67,461948,70865.5,104697,91744.4,313738,111128,61000.8,5.47972
515122,1995.57,152332,20616.3,47272.6,32728.6,174036,58963.4,25052.5,5.48725
953248,2011.04,980063,32281,81809,60994.9,170095,55937.1,32978.3,5.48727
692420,1984.94,421034,33121,25182,36080.7,121943,42635.1,19428.8,5.48812
289045,1179.81,73931.6,5802.8,4880.1,7804.6,24863.6,9662.3,8070.8,5.49666
430456,1669.04,148794,745991,26447.7,25713.9,79275.9,80915.9,68784.3,5.49718
1.54761e+07,26148.9,275460,-2253.4,4568.5,3898.4,5744.1,12860,-7415.2,6.60252
1.79e+06,3715.31,1.22388e+07,41597.1,79093.5,21500.4,2496.1,38877.5,70263.3,6.74369
7.00467e+06,11835,-1239.5,-1599.4,1040,300.4,363.1,1965.5,-4414.2,6.78777
321759,1319.99,74558.5,6449.1,13472,10281.9,46562.6,14311.5,9074.3,6.95563
677068,2458.43,1.23693e+06,10781.4,346133,4945.9,7922.4,11309.9,16998,6.95634
8.98849e+06,15183.3,-3853.5,-2004.4,-133.5,318.4,1048.6,1762,-4186.2,6.98043
676330,1180.35,669,-44.9,99,32.4,41.1,274,-303.2,7.26271
1.30939e+07,22134.4,1.53994e+06,3366.9,13439.6,1312.4,557.4,2956.9,8968.5,7.26511
1.45476e+06,2929.8,6.33303e+06,12230.2,35311.5,8042.5,974.2,13110.2,22746.4,7.27766
8.68097e+06,14801.3,1.23969e+07,10739.6,97208,27105.9,3328.6,66360,27989.3,7.35793
741268,2873.22,246010,27987,50866.2,42172.4,161806,57195.5,40195.1,7.47376
366336,1355.86,76334,7847,9972.7,10560.9,48438.8,16013,10447.1,7.47959
681608,2232.43,370052,32341.6,30613.3,44621.1,114430,39245.6,31693.1,7.49271
435092,1677.06,216264,18938.9,21275.6,29547.6,82805.9,27285,28020.3,7.49477
