"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.45126e+06,2927.4,6.16521e+06,12948.3,41761.4,8142.9,2116.5,13005,22319.7,0.0318198
835009,2013.24,3.64092e+06,6475.3,24668.4,4621.4,1694.5,6766.5,11343.7,0.192768
1.29066e+07,24387.2,-64102.9,-13486.2,-3886.1,-330.6,1175,7854,-20744.8,0.490865
1.14545e+06,3624.67,351663,32332.2,37248.6,83419.9,123582,35684.2,19840,0.730464
9.82027e+06,18364.5,-266102,-8655.6,-16386.2,430.8,2302.3,-356,-18443.3,1.96185
1.30726e+06,3964.76,354011,26871.6,81114.6,71915.7,238771,84745,34708.2,1.96208
6.76243e+06,12015.6,1.51254e+07,21200.1,76824.1,34494.9,4247.3,74224.5,83846.2,1.96224
8.70735e+06,14775.4,5.52215e+06,5587.3,34117.2,18822.7,2055.3,41890.6,13935.6,1.96279
2.99587e+06,5902.29,2.70896e+07,146146,95615.8,55332,4440.7,107262,270102,1.99158
4.67755e+06,8450.26,3.63828e+07,97940.2,41719.1,64513.8,5811.3,123827,296103,2.00165
1.09035e+07,18458.6,1.88108e+06,3324.4,33237.8,5655.8,2039.8,13264,8928.2,2.08403
5.84598e+06,10199.9,4.93635e+07,142934,17808.6,83853.7,8059.3,136292,235566,2.08423
8.61382e+06,14643.3,6.32122e+06,12281.6,38148.1,20808.9,10423.8,48413,28588.2,2.08478
1.7256e+06,4854.76,2.64359e+07,39019.3,401.2,25268.2,2462.8,44465.6,57036.6,2.08533
3.92068e+06,7231.75,9.1004e+06,16094.5,55144.8,25269,3339.7,67304.4,69317.9,2.08543
2.3932e+06,5518.17,2.65251e+07,94465.7,12808.6,44552.8,4237.8,85442.6,195041,2.08674
2.95709e+06,6169.44,9.46169e+06,19546.4,30138.5,26661.4,3121.5,59765.6,81745.4,2.08727
9.52195e+06,16145.3,8.55313e+06,10126.9,89090.5,20376.3,2954.9,48304,20400.3,2.11561
6.15339e+06,10656.2,2.9939e+07,81313.2,84219,73584.4,6620.1,138694,239026,2.11844
3.25878e+06,5725.25,1.72074e+07,79232.5,152142,36489.4,5603.8,64592.3,145378,2.13277
4.99336e+06,8806.87,3.57488e+07,137867,90576.6,70986,6625,136283,363767,2.13327
2.49851e+06,5122.77,2.35372e+07,116154,132627,48715.8,4823.1,89809.6,205682,2.15487
4.31311e+06,7394.37,8.28818e+06,32033.4,107923,21485.8,7438.8,41428,63649.2,2.21219
1.00881e+06,3022.8,638638,23230.6,35707.6,41025.7,127287,47713.5,21727.2,2.22323
729461,2122.64,178849,13576.6,30761.1,32562.4,86087.8,30455.5,19641.7,2.22344
3.2152e+06,6086.96,2.44663e+07,61949.3,113140,46205.7,4325.8,86874.6,181260,2.22356
1.43551e+06,3836.65,718533,46831,77605.8,85747,240487,86555.4,56710.4,2.22374
1.64286e+06,4583.4,1.16932e+06,69716.2,141009,180517,429878,133718,100522,2.22926
1.1746e+06,2900.64,671087,41284.9,77333.5,83719.4,238385,80110.1,66571.4,2.22931
4.07553e+06,9313.99,2.52804e+06,211419,306874,155064,658082,323194,144694,2.22955
370147,1488.68,211461,10982.2,99677,19920.4,69437.6,25939,17046.6,2.22971
3.62796e+06,7316.62,1.75975e+06,86378.5,227911,226719,503243,178615,137996,2.22981
515321,2036.21,215449,15173.1,63017.6,65234.5,206616,68811.8,21108.1,2.23004
1.90727e+06,3871.16,2.64282e+06,23531.4,59355.5,37033.8,84910.6,50799.1,38012.6,2.24571
531519,2012.79,184865,16167.1,25927.1,27247,81371.1,26531.1,24670,2.24732
485581,1688.01,116754,10024.4,25967.4,28541.9,58490.4,19480.8,14716.8,2.26242
1.72697e+06,3484.09,9.45504e+06,31366.6,65870.3,17083.4,3349.9,25791.9,53738.9,2.26254
2.46259e+06,4561.07,1.52939e+07,63504.4,116307,30910.1,3926.4,52719.3,106677,2.26445
387113,1577.33,95590.2,9888.9,23760.2,23171.2,71342.9,30150.8,17352.8,2.2659
1.55998e+06,3227.06,9.49367e+06,19459.6,52920.3,11945.2,3388.2,17652,35884.7,2.27132
419295,1638.87,173448,13317.9,26241.7,25063.6,73500.3,22183.6,23336,2.27256
412639,1449.84,77800.1,12253.4,12785.3,18059,44357.4,13762,20143.6,2.27607
2.71317e+06,4840.83,6.76771e+06,27252.5,89405.4,22851.9,23266.3,38892.7,47221.9,2.27686
641888,2128.7,217810,12595.9,47962.7,41680.6,98037.9,32416.1,14846,2.27739
373976,1378.24,86930.7,3131.8,59222.4,3413.5,9351.8,6889.9,3705.9,2.28185
357092,1425.25,174177,7834.7,12004,21099.3,47298.7,18334.2,7964.9,2.282
512676,1719.89,179514,9615.2,20511.2,17361.3,46376.8,18529.6,13230.2,2.28253
2.04905e+06,4699.31,1.48164e+06,77353.2,161273,168300,529646,180700,110374,2.28279
354966,1443.08,174761,7726.7,16184.5,17826.1,55599.5,17644.5,9168.8,2.28752
1.02312e+06,3170.54,516224,25349.4,41392.2,43130.6,141319,49543,33118.3,2.28754
2.33225e+06,4807.06,2.19554e+07,64934.6,123380,38401.8,4252.5,63015.7,111700,2.28807
2.69138e+06,4849.55,6.02403e+06,35623.3,78488.6,27947.8,44119.5,40662.4,64021.1,2.28835
3.05869e+06,5358.79,7.46568e+06,29261.4,97717.8,22136.8,4158.3,35057,50977.7,2.29011
493822,1669.38,164272,16194.1,15718.6,17520.7,64261.8,23349,27432.2,2.29386
1.93598e+06,4370.31,1.50189e+06,175240,88690.6,130471,317760,119149,72832.2,2.29593
1.38776e+06,3643.3,629192,36883.8,65283.2,70267.7,202999,67447.1,55797.6,2.30323
354546,1424.06,161472,5987.9,8489.8,14022.8,32060.8,10251.5,6860.2,2.31107
2.68216e+06,4773.8,8.48639e+06,34135.6,90583.1,20984.2,3536.8,36682,64911.2,2.31134
1.16469e+06,2753.6,659248,25567.6,49475.1,47233.9,142187,49359.5,24155.7,2.31152
471229,1656.7,162010,8829.3,16454.2,23614.7,55127.8,15781.6,15294.6,2.31765
342691,1291.27,138115,11453,28631.3,39743,88736.2,30315.4,17387.9,2.31788
1.88714e+06,3602,3.98554e+06,16095.2,47632.1,12441.8,6331.3,18813.6,26202.6,2.31802
871661,2155.2,1.72107e+06,7005.9,25960.5,8930.4,16307,12181.1,11348.9,2.32992
2.98534e+06,5267.77,1.29148e+07,56382.9,121398,29997.3,9108.9,53931,104785,2.33122
468084,1789.78,195385,27155.7,29253.5,42881.4,115113,37145,26947.6,2.33186
347240,1391.13,116855,5424,5531.4,6729.4,19237.8,6090.8,7122.5,2.33214
2.85853e+06,5242.23,2.02544e+07,62920.6,145783,33705,5560.5,57225.8,111047,2.33332
340073,1385.71,177685,8038.4,18500,28241.3,50827.6,15676.1,11715.1,2.33471
2.28098e+06,4167,5.85805e+06,23226.1,70805.1,16091,2804.6,25569.6,40343,2.33559
323451,1311.84,113256,5703.4,14462.4,11596.9,31889.4,15754.3,7454.3,2.33948
2.10873e+06,5402.57,1.39449e+06,100608,184882,189090,524229,197247,145037,2.34231
835019,3006.96,404002,66136.4,79387.1,69647.6,208048,68730.3,52601.6,2.34616
