"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.60414e+07,27170.4,952702,791,962.1,589.8,956.8,1521.7,3100.1,0.946266
1.15352e+07,19553.5,615677,3071.4,13546,2117.2,809.5,4677,6423.9,0.955275
8.68258e+06,14786.1,1.10615e+07,10292.1,73844.6,25706.5,3209.7,63140.4,28133.7,0.956338
6.87288e+06,11958.5,2.95044e+06,4128.4,12930,1474.2,70.5,2972.5,8163.4,0.979372
9.8584e+06,16741.1,1.15326e+06,3409.4,18086,5132.2,651.5,15390.5,8078.4,0.979627
8.53491e+06,14504.5,5.6627e+06,9592.6,39275.6,3738.5,6899.7,7658.9,25102.2,1.01137
6.20634e+06,10771,2.62263e+07,63970.7,75263.4,60481.7,6134.6,125542,228017,1.06426
5.16803e+06,8884.55,2.68379e+06,2775.8,56111.5,2619.1,1840.1,4016.8,6523.3,1.06858
3.70819e+06,7429.62,3.96589e+07,158532,-783.8,65545.6,5616.5,124872,262111,1.06932
3.88818e+06,6958.62,2.93944e+07,168181,215560,67274.8,6561.4,125193,301248,1.07257
2.9737e+06,5630.33,2.50185e+07,101372,165576,51566.2,5106.5,88927,164592,1.1077
594655,2321.95,314520,21540.1,25748.6,16248.5,57430.7,25746.9,30570.2,1.10802
787851,2580.14,248848,28707.9,22821.5,54217.7,114074,36997.5,51224.9,1.11312
4.91993e+06,8622.36,2.19451e+07,63954.6,134956,50509.5,7872.7,98754.4,201488,1.11354
742880,2510.59,359352,38412.7,58638.9,48246.2,149950,62483,68950.3,1.11401
2.7842e+06,4942.41,7.18183e+06,28462.8,93538.5,20831.6,5038.6,37639.8,47034.3,1.11926
467989,1813.41,159252,19038.7,34941.2,29739.6,88396.5,32946.3,31350.2,1.13526
4.17074e+06,7171.71,3.87696e+06,11554.9,110451,19562.8,2997.4,33817.6,25190.7,1.1394
912815,2990.31,658423,23050.7,39321.3,35161.8,98360.9,49028.2,27590.1,1.14803
2.83573e+06,5583.77,2.50004e+07,138011,167767,60912.9,38717.6,111204,253820,1.15646
753303,2187.35,305480,17563.8,22272.3,35832.9,89295.8,31018.1,27721.2,1.15895
635195,1989.5,391399,25997.8,27192.9,23297,72529.7,37757.4,37517.5,1.1611
