"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.34089e+06,3129.22,7.61733e+06,31049.7,64741.7,8395.29,23491,28733.7,33494.6,57317.9,0.048084
3.28666e+06,10776.2,1.30471e+06,186058,131337,83179.8,141875,440114,43415.1,133558,0.0635653
457288,1538.84,141324,7166.62,16460.4,10625.4,10388.2,41882.8,3938.99,11546.2,0.0836469
2.93554e+06,5351.17,1.97481e+07,69959.5,149958,-10089.9,51041.7,-25030.3,91308,262725,0.0880673
1.96386e+06,3810.42,6.50528e+06,17087.9,52777,-760.754,16753.1,6127.69,20330.8,42475.2,0.0887874
408423,1670.5,496958,-6536.51,75853.5,4653.5,3547.33,2264.38,-2291.7,3247.22,0.0889274
1.3963e+06,3539.69,909708,-15014.2,70278.3,54704.7,46843.7,110715,-7311.75,33357.1,0.0937078
448868,1674.49,119547,-3880.93,7629.68,5587.7,14128.7,19398.6,992.243,6115.93,0.113569
3.02656e+06,5388.25,3.41773e+06,18403.6,77774.5,820.358,20008.6,734.684,30741.4,21565.6,0.11755
416162,1470.61,139401,-5446.99,7651.08,12366.2,9904.15,8570.03,-1275.12,10034.9,0.12371
1.48655e+06,4079.03,1.13502e+07,50995.5,63114.8,20269.7,51299.2,62296.5,75289.6,78220.9,0.127791
1.04027e+06,2495.53,3.47061e+06,17219.3,37435.2,11685.6,12163.9,15920.1,11694.9,22567.3,0.148932
1.51776e+06,3658.9,904912,-14260.1,40815.4,23507.5,32265.9,105145,-5756.23,34290.8,0.158073
477402,1531.82,148840,-11077.9,26006.5,23297.8,14155.6,23828.4,928.807,14119.1,0.174354
362752,1318.27,138893,-12616.6,12743.6,12819.1,8416.27,24411.1,-1555.25,14895.1,0.175534
471313,1638.54,218842,3474.84,11914.2,11847,16566.6,41174.5,1746.65,7819.76,0.177795
4.56501e+06,7843.12,5.23353e+06,20758.4,136244,871.597,28073,-2562.95,47678.8,31607.3,0.187155
1.92108e+06,3932.74,1.21929e+06,4044.61,43307.4,-1606.34,7148.34,-8278.65,13664.5,4850.35,0.187435
515430,1691.06,238172,-954.939,15702.7,16851.2,8620.05,43609.4,2486.09,13707.6,0.192876
946991,2438.14,802295,-25636.7,25694.4,23415.9,23284.8,12017.4,-4521.3,18281.7,0.196276
1.0661e+06,3636.33,309210,31496,28577.5,24615.5,29558.6,65464.4,973.51,23643,0.198756
829356,2986.23,382273,8270.21,27621.6,22036.2,27971.5,54339.2,22594.7,27894.5,0.24014
440310,1606.01,118885,-845.336,11311.9,7067.42,9236.26,13766.8,2645.67,7925.09,0.24016
379694,1463.4,102768,-4647.91,9057.73,10759.2,9510.42,14256.3,-789.043,9605.67,0.2423
687704,2334.04,320128,-11440.7,27058.9,17960.9,13968.8,29617.7,-1731.55,19312.5,0.260221
1.93638e+06,3753.52,8.52106e+06,24811.4,70207.8,-6687.33,15998.8,-20471.1,31940.6,53312.6,0.263962
358078,1362,51671.8,4220.02,-979.158,3274.34,2075.12,14873.9,-581.271,4818.95,0.285143
5.95658e+06,10401.8,4.92383e+07,138032,-24282.2,-30029.2,93553.1,-121917,201054,392264,0.285243
2.94054e+06,5330,1.64208e+07,41517.2,135375,-11057.2,27124.6,-35806.2,50265.9,97123.3,0.291784
386379,1475.61,155882,-3503.49,12503.1,6863.78,11523.1,19610.2,-1648.24,6529.57,0.293224
524847,1735.75,126737,3840.63,13625.8,5434.82,11558.9,26328.8,2005.18,9026.55,0.314846
3.77614e+06,6637.91,2.24466e+07,75571.3,208263,-13282.4,45681,-24683.5,85084,155478,0.340308
1.23706e+06,4430.07,673626,29823.1,56785.3,33092.3,36657,125301,12103.5,44128.8,0.340448
742621,2045.35,677196,23756.6,26962,32810,47420.2,103807,8564.35,37616.8,0.340688
977032,3092.25,321249,8669.77,34501.5,22650,34856.5,48845.9,5049,21818,0.36237
440212,1559.09,181755,11942.7,11233,8375.05,9391.34,19182,2164.06,6558.13,0.377871
657206,2415.92,348591,-1146.46,15723.5,9880.26,9847.78,29254.1,-350.158,7458.7,0.424215
454037,1549.12,151227,882.104,14295.6,8978.65,14742.4,45178.6,7758.01,7654.08,0.476479
430541,1650.82,177909,-2907.61,7978.53,8093.28,6775.67,9860.97,-1812.73,7344.51,0.501821
3.95316e+06,7581.72,3.91343e+07,106857,-4193.65,-14095.2,74419,-75301.4,143028,227369,0.507802
2.10192e+06,4050.91,1.10023e+07,20681.7,76581.1,-2339.88,16468.6,-6829.83,28700.7,54411.6,0.513842
541546,1618.02,185150,-1700.07,6374.86,6060.64,9924.97,15998.6,-273,6547.3,0.525703
2.65371e+06,4776.61,4.29309e+06,14867.2,75907.8,-4419.3,15718.6,-16979.2,30579.5,24107.1,0.533044
651014,2415.43,189051,6252.39,24674.7,26113.7,20378.5,60906.1,1802.01,18415.1,0.549985
603787,2105.1,240082,13586.8,23022.6,21607.2,19672,90667.1,2141.46,32282.7,0.590068
497264,1940.66,178985,9371.98,14365.6,19042.3,11414.2,52582.4,4919.59,10409.9,0.597509
693592,1937.83,431539,-37045.8,32046.4,35041.3,21531.8,35767.5,-9163.33,21882.3,0.603669
286402,1159.41,58079.2,12618.5,4209.68,5962.2,3620.46,10295.2,-546.618,5501.41,0.604729
390570,1365.93,134761,5659.06,6167.48,8267.79,7644.4,25099.1,941.482,3720.94,0.625671
978365,3925.6,218824,29192.4,32084.8,26903.7,37451.7,107227,11485.1,42172.5,0.678656
405658,1413.98,82480.8,3063.28,6791.52,8076.52,5128.06,11395.7,2627.15,7245.38,0.678916
2.98913e+06,5687.24,2.32793e+07,53938,124993,-12014.5,43254.4,-49326.8,76660,129797,0.682316
318593,1250.84,74178.2,8.88972,2403.1,582.097,1064.24,628.386,-426.072,1136.21,0.682656
435118,1625.75,159776,6474.34,10163,8070,15181.7,28343.4,3696.03,13812.8,0.686516
509981,1694.51,144245,-3367.25,11250.9,16142.8,9352.36,23158.6,-1347.34,15471.4,0.705118
352264,1371.59,75662.3,4636.14,6116.45,5251.39,6297.92,17568.8,5157.82,5571.91,0.716539
369681,1478.77,114012,1483.67,7878.83,5187.51,7548.46,17702.9,1009.7,3623.11,0.723879
419378,1504.62,133059,2496.12,4162.53,1860.43,14086.5,5672.65,952.284,3953.14,0.73818
744773,2010.22,312649,4055.3,15651.1,4072.9,9132.37,19384.5,2240.27,10419.8,0.754302
1.81899e+06,3469.28,5.7709e+06,13866.7,51332,-3233.01,9986.28,-12093.9,17527.1,30364.1,0.776283
418321,1585.39,94391.2,8107.55,12957.5,5729.08,9271.71,42737,246.286,7841.15,0.786904
589597,1746.75,246297,4339.05,11990,5001.01,16944.1,39149.8,1175.89,5956.04,0.803786
540793,1755.51,147362,588.985,3931.87,1774.57,6634.93,3731.68,38.8384,5509.25,0.809226
349196,1322.79,115075,-1688.25,7607.55,5692.14,6191.5,7756.1,1682.47,4966.59,0.819367
324459,1317.47,89386.2,-398.922,10469.4,3461.79,7042.7,21789.6,1350.99,6881.25,0.839789
1.12796e+06,2811.99,521296,-38672.9,44390.1,38724.2,28759,44538,-8951.84,29864.3,0.85087
