"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.55565e+07,26338.8,1.06958e+06,-3621.9,3645.68,1089.44,1445.13,-2198.19,637.442,3608.77,1.89708
258594,1055.32,99108.3,7644.73,9400.04,16647.4,6442.49,24276.4,-291.726,11342.3,2.05036
248102,1018.57,70056.4,5836.83,10600.2,5161.31,5559.8,22230.6,1295.11,7541.95,2.07434
404220,1574.18,120327,-6384.9,9646.92,13230.2,8287.07,12244.7,-1059.75,11868.2,2.18199
6.79528e+06,11480.5,3339.3,-2403.03,-2895.02,-300.975,222.373,-1230.31,-96.5812,23650.9,2.50869
5.04854e+06,8521.88,-3217.1,-2402.86,575.4,1185.32,147.153,625.997,1322.76,-2518.25,2.58879
6.51294e+06,10982.6,-111.2,-2798.72,-46.9268,1200.69,-16.9585,156.293,518.392,-4113.7,2.59596
1.70854e+06,5037.74,9.05753e+06,-4091.49,-5903.92,-2104.91,16269.4,-20845.2,35669.3,58474.9,2.62561
1.42937e+06,4206.05,389708,95911.7,39965.4,21720.5,20000.2,79693,5919.48,28817.3,2.65614
1.42881e+07,24136.9,1.35528e+06,-552.916,4865.99,82.3272,877.071,-397.251,1922.42,5656.34,2.67215
8.63252e+06,14681.5,2.10978e+07,13063.9,169886,-7270.75,38136.5,-48231.6,93251.4,29281.8,2.67306
545611,1672.25,203266,100168,11483.8,3190.67,9039.51,27404,1836.65,8894.46,3.12399
981568,2738.94,398369,254226,18955.2,10364.4,18010.4,29174.2,-244.013,16913.7,3.1266
618238,1696.85,1.84096e+06,4511.38,12589.9,-1073.94,1874.01,-2232.34,4501.69,6209.34,3.1407
514825,1578.8,148573,11040.9,8071.93,10938.2,11100.1,19600.3,8784.82,12706.9,3.19887
1.15226e+06,3018.6,602582,9789.96,31736.2,24414.5,45918.1,60959.4,6279.46,40685,3.20905
9.44732e+06,16073.5,2.42693e+06,-5531.32,17722.9,2614.57,9343.97,-10829,21027.9,8029.08,3.24246
6.87933e+06,11856.4,1.76982e+07,-10459.7,55544.9,-4138.93,34823.5,-44726.2,89701,113317,3.24444
285200,1156.37,70424.3,4243.72,7140.75,2483.84,9478.71,11598.1,675.547,8217.76,3.42031
477622,1604.65,190381,-8374.02,17232,21383.2,18173.4,58203,-6350.8,29954.7,3.43942
672925,1793.94,1.93292e+06,4049.26,15449.6,-842.336,2497.41,-3098.44,4786.16,6990.52,3.45468
411083,1492.73,121706,15352.7,7977.84,14597.5,9397.72,28121.9,2449.79,28179.2,3.47285
765063,2829.72,202790,7699.14,16430.2,5494.9,34802.6,84292.1,670.761,38252.8,3.47904
6.25571e+06,10706.4,1.59488e+07,21258.1,124705,-8079.42,25462.2,-33316.1,65611.5,63315.1,3.49159
1.03151e+07,17545.9,2.69115e+06,2584.46,52082,-1964.64,13440.2,20227.9,40888.7,3336.8,3.50039
4.45134e+06,7659.66,1.21693e+07,42763.9,168022,-13260.6,35118.8,-46846.6,72507.7,89705,3.53126
8.7843e+06,14921,1.1285e+07,5730.06,72877.7,-2867.87,22164.1,-26998.5,54926.5,19695.9,3.53982
476679,1591.62,181134,5347.41,14628,8054.73,21870.3,24619.6,1796.05,10239.8,3.73451
1.45124e+07,24594,1.22015e+06,-493.217,3661.2,467.158,1867.48,-2533.26,1076.11,4960.6,3.78609
4.21364e+06,7615.63,3.44998e+07,112160,98844.7,-29048.3,68558.7,-93964.7,146380,352216,3.79269
3.8138e+06,7237.34,3.6649e+07,106096,923.455,-21764.1,65356.8,-85606.1,141259,282162,3.89253
1.05437e+06,3400.08,439275,38005.1,31212.4,22013.7,19110.8,122865,1861.24,34968.3,3.93381
332986,1345.4,135780,13362.7,14130.2,16120,15189.5,53946.3,16071.7,13065.5,3.93385
362481,1392.48,151623,-2691.76,5896.99,2559.77,1288.98,1644.59,-1461.71,2012.82,3.93391
1.65525e+07,27944.5,987507,-2032.03,3475.11,960.281,1894.97,-2086.07,132.926,4450.2,3.96692
1.41442e+07,23916.9,1.24696e+06,-692.381,2464.59,-365.612,1107.81,-1732.57,3276.38,5575.37,3.96787
577051,1955.95,280768,9790.1,19823.6,26057.9,18839.4,66379.4,4121.72,17495.4,3.9706
995695,3270.77,371640,544916,15691.9,9202.28,22588.5,46251.7,7023.03,20418.6,3.97093
450691,1749.14,162901,9789.59,15962.8,5637.07,11447.1,25512.2,3083.73,6250.59,3.97546
642066,2128.41,295728,35277.6,22973.4,17148.1,18134.6,37209.2,665.439,12496.7,3.97985
1.09546e+06,2484.38,1.72156e+06,5141.77,24200,-1438.45,4618.69,-5478.4,8282.17,12308.6,4.00906
302362,1240.85,99453.1,5599.62,14301.9,8261.49,8790.12,21754.1,43078.1,16693.5,4.0163
1.22397e+07,20782.7,1.23639e+06,1275.34,12530.6,-1564.27,1086.94,-1757.22,3424.11,6901.75,4.01984
600324,1839.06,341310,-2085.68,11169.9,9885.2,7904.76,6600.61,-1794.06,6258.31,4.02367
377745,1422.93,89584.2,-2127.82,6036.39,2694.43,9184.45,6153.28,-1193.5,3081.14,4.02585
534812,1684.74,196728,-1524.99,10777.9,5880.06,11131,16506.3,2177.31,3787.1,4.04755
446446,1531.38,1.13624e+06,2751.22,8145.42,-575.5,1064.63,-1481.74,3014.25,4713.97,4.04931
430744,1577.28,106250,-4158.46,9292.23,6626.3,8732.06,15235.3,-933.058,6898.31,4.05101
4.19483e+06,7272.13,1.60977e+07,48407.6,197051,-14656.9,37019.6,-49819.7,78329.1,111245,4.17814
1.6108e+06,5459.76,440533,65268.2,64604.5,56924.8,47856.2,179063,108440,119639,4.19512
856336,3414.99,426863,34788.2,30929.5,31825.1,22421.8,120363,-762.825,51075.1,4.22477
526888,1865.04,212194,1642.32,12063,7781.16,12177.1,21409.6,532.028,5860.44,4.24313
421637,1586.31,186762,4134.05,15260.5,10043.8,14521.2,37529.7,16833.2,23253.4,4.24973
319776,1252.37,109008,248270,13763.6,6153.13,11629.4,37101.1,4551.06,10649.4,4.26472
697895,2200.26,187495,-4250.66,6139.19,4752.53,9510.48,5938.12,-1690.62,5128.56,4.26531
919812,2368.46,385285,1.63763e+06,24243,-1205.96,27556,98122.1,19657,31196.4,4.27233
833352,2305.76,375743,26870.4,13584.7,11976,16794.3,42520.5,2434.23,12024.5,4.31194
449276,1510.05,226953,-3333.02,7347.49,3440.67,3265.44,1417.69,-888.071,2305.84,4.36593
1.75898e+06,3555.29,1.59665e+06,6125.39,35054.3,-2109.69,7065.36,-8746.15,15760.8,10379.1,4.50643
333160,1232.21,107601,-4679.65,8964.85,6928.95,7175.05,15916.9,-1806.36,3791.2,4.53897
8.70825e+06,14707,-5435.3,-586.2,131.951,698.597,597.588,-1601.24,1394.1,-5124.28,4.72437
1.12273e+07,19089.2,863073,887.244,15714.5,-1012.45,1380.62,-2278.9,7289.66,4053.7,4.85875
