FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
465749,1595.75,109648,0.663731826246261,-0.0690093316467011,-0.115083854942111,0,0.0602528435202584,-0.134407793155403,-0.0672070672520401,0.634794
522353,1940.7,248697,0.689979387431089,0.0355622406844934,-0.0660012170001071,0,0.157755761244608,-0.0995206778721641,-0.00980492348397137,0.832475
580940,2111.43,145791,0.876504852172865,-0.0453462542618579,-0.202646593449142,0,0.143902887436616,-0.0726830086211118,-0.104841718744123,1.27619
675322,2075.12,261881,0.322853072469437,-0.0372750711711194,-0.0795987818940268,0,0.216588507152223,-0.184395500484487,-0.0825032105318642,1.56289
808225,3188.46,489094,0.287861279515963,-0.0568519416055798,-0.116757867845142,0,0.217758530413915,-0.226021328975768,-0.0418819071585045,1.87259
1006170,3124.51,634489,0.597011253434699,-0.0181628842660136,-0.257971720606224,0,0.153812279280376,-0.370797815723086,-0.144887616057963,1.88551
344540,1347.01,88904.6,0.485143095534321,-0.0624688730610569,-0.0596091291052217,0,0.0317220097532079,-0.104630446774118,-0.0216029168291869,1.8997
418345,1435.88,168357,0.00503866849847483,-0.0731670335842325,-0.032292772394014,0,0.0979400498313667,0.0571378408074423,-0.0646260780171165,2.05489
756070,2515.52,423136,0.0263537604611026,0.0474663722317824,-0.0696346327480584,0,0.197901379376207,-0.216950219304442,0.0117961067412726,2.62606
485890,1802.51,164004,0.138900589040588,-0.0726190089285414,-0.0453236107919927,0,0.0391271938701263,-0.111975944717364,0.0207325253428248,2.67713
567431,2015.57,192792,1.20730768001699,-0.0249995876188681,-0.441594115328001,0,0.153478263743013,-0.0270900342265744,-0.140741552986827,2.81682
774307,2002.77,345840,0.47260129045445,-0.0445616722968446,-0.074378826955662,0,0.11843544897121,-0.253476842935294,-0.0593094700350652,3.12244
351782,1332.54,130053,0.455270705273821,-0.0491009931615639,-0.0811192689601734,0,0.0571402410806422,-0.153949694691502,-0.0863593579687323,3.18681
752434,2301.68,404233,0.164526939671344,0.0378502831953088,-0.163225866003481,0,0.0904733617247634,-0.180265094797881,-0.192601761325747,3.57999
1125670,3856.36,334178,0.135279900297272,0.00515581653356998,-0.0839492403297756,0,0.191023800377446,-0.268785785523105,-0.0562414831004668,3.64028
373278,1443.97,120601,0.196542353932791,-0.0182812151181052,-0.0140643162130473,0,0.127828245175464,-0.0874571329462085,-0.0165595996138844,3.65849
789839,2656.03,199361,0.706989816362704,-0.015266022928302,-0.115053249233825,0,0.170026175177599,-0.0336123214679409,-0.0823233704045357,3.80076
991975,2704.02,522770,0.213832921215183,-0.0471733220128374,-0.0317386165152148,0,0.0974599687059295,-0.300253665602992,-0.069092811506402,3.9169
798999,2453.5,325700,0.15732207094841,-0.0238806664029447,-0.114525283755562,0,0.102673625114792,-0.145539886004914,-0.130413811407101,4.43214
797436,2380.18,306972,0.114905303816679,-0.0772384702673783,-0.120649083114603,0,0.104095660222765,-0.242713033044538,-0.125399833086036,4.54214
431751,1640.27,166590,0.279081609191464,-0.0407467421762919,-0.0861472318644362,0,0.0868343922064314,-0.150996129885134,0.00889101390581196,4.55763
542537,2002.38,138693,0.596870092407456,-0.0409528703215173,0.0575830503210751,0,0.212473452074567,-0.103285182160433,-0.069860196843643,4.6267
640942,1713.42,236655,0.351350439810736,0.0159518861280583,-0.0633175549962936,0,0.0379389520681377,-0.0608584636842543,-0.0481385012402533,4.62686
556812,2188.74,87639.5,0.610477678536422,-0.0484902928113536,-0.291018146562146,0,0.0616575999322452,-0.164116005495287,-0.156855163573753,4.63158
504804,1826.88,234359,0.852388892500198,-0.0822871843927201,-0.242128165624321,0,0.126164297237647,-0.147460544167654,-0.131965189046386,4.63774
900712,3309.92,223462,1.32527418544609,-0.103174871342208,-0.198944310188196,0,0.114687986870904,0.00194568867106504,-0.0932325854337155,4.68473
479674,1825.32,133652,0.494666718639098,0.0399975359317419,-0.0407694958634704,0,0.188332386799937,-0.0988971474255415,-0.0244181547152377,4.71676
616995,2014.78,160854,0.699193418977351,-0.0234791358219995,-0.127922210789721,0,0.0697065088669747,-0.0959066802371184,-0.0675679040233636,4.73976
411269,1521.63,123455,0.331902926752773,-0.00752751782962469,-0.0332284404865558,0,0.0379288658686017,-0.105306292513942,-0.0502461629458738,4.97535
819750,2993.15,233385,0.870591358722804,0.0106892740230792,-0.113731479926111,0,0.00456024081308356,-0.0821217846289338,-0.0103795020509236,5.11456
450938,1697.4,112359,0.805855061611939,-0.103857385227493,-0.0317622893653883,0,0.0628125104871336,-0.148983019164829,-0.0154379324771546,5.26221
451104,1605.31,170719,0.264667915872826,-0.0138784422852988,0.0056536604279915,0,0.116942321293605,-0.0980641184029103,-0.0219988445834991,5.29269
603974,1736.22,185394,0.183460575497233,-0.128999583743095,-0.126281669486308,0,0.0673095924659182,-0.187321594654537,-0.106857669861704,5.35238
599874,1695.61,191464,0.360390526455585,-0.00467953032205612,-0.00589419786109704,0,0.150938116995163,-0.0799761548075837,0.0450379675797572,5.38295
797874,2543.28,666345,0.225844707077235,0.0244611496037677,-0.0382790728232318,0,0.099083680848346,-0.228025078544335,-0.069786125286786,5.51358
415656,1573.71,146413,0.863725125270915,-0.159534716362801,-0.0609850668970136,0,-0.0154410337687602,-0.24824665470626,-0.138651124731079,5.59617
776326,2515.69,339849,1.06670993728138,-0.0820677657820007,-0.121787282939292,0,0.0951342615424924,-0.210516139910832,-0.127906140133116,5.67663
716338,2497.38,236099,0.821313395710739,-0.157308843033406,-0.256903776066513,0,-0.0199246570492393,-0.332868506864322,-0.192318971630239,5.72736
464490,1586.47,121442,0.579266376643483,-0.0421902796839393,0.00207318896480764,0,0.0762932182928289,-0.100132351508297,-0.0160520387981761,5.78883
382516,1474.27,106212,0.530427181855542,-0.156782906311025,-0.0919231227293905,0,-0.10857519819077,-0.192582117195128,-0.128725619385467,5.8283
1057820,3138.87,605592,0.464173709458793,-0.140530868004227,-0.148231728122368,0,0.21698047025708,-0.318279738981191,-0.117263344243903,5.90529
619056,2352.64,182397,0.431561163897471,-0.142262411518055,-0.0945917881352826,0,0.16612093638369,-0.247493431800152,-0.101884035014431,6.15854
746980,2802.18,250590,0.309900253974658,-0.0477706920403794,-0.16678476068453,0,0.0410341837996074,-0.237578779966326,-0.0968812651369151,6.16739
1409430,3722.81,588461,0.353462306612621,-0.0641354068904611,-0.209058439534334,0,0.0817198483707794,-0.309275176565616,-0.241648513929143,6.53192
546891,2013.58,148346,0.296639596031211,-0.0293224075880098,0.0170470153749773,0,0.121527873677091,-0.110883989935858,-0.0134232129445848,6.5356
573201,2136.13,128086,0.248160109002697,0.0109014105151322,-0.125700727344513,0,0.128377197207561,-0.0519516603622407,-0.0957729131427354,6.58053
504059,1619.59,156469,0.218094756437959,-0.0625524963959047,-0.0548130222310802,0,0.0962656803828908,-0.0970544468358825,-0.0618521732603384,6.61371
457738,1481.57,94190,0.65694727876616,-0.0201614299115057,-0.0687130692307399,0,0.0548390105028887,-0.0655501842427135,-0.0104276545807485,6.61461
935527,2772.12,2522320,0.380842306454313,0.102160895766332,-0.118706257498751,0,0.110831516405476,-0.0532276373685663,0.0444089939999067,6.61853
1117150,3648.12,340276,0.248949756994797,-0.0491334427258249,-0.140211905465005,0,0.123334939381897,-0.191471925034973,-0.0867608716040202,6.63128
790247,2606.73,246948,0.187261858829655,0.0335477878737665,-0.0243789958019864,0,0.128504691675375,-0.15045263222886,-0.0571437391526179,6.64196
286116,1116.96,93205.3,1.12028430211846,-0.0932675393565907,0.0207236729952797,0,-0.0203271237054482,-0.221307240430559,-0.0685737385278415,6.64716
589864,1799.91,175705,0.999809626488253,-0.0848709690791082,-0.0922713653983915,0,0.0121551220620882,-0.133229780868738,-0.143580391163958,6.65254
670862,2169.86,405433,0.664567316053331,-0.0847311485482793,-0.0963709788760384,0,0.0308713233638773,-0.185135141230406,-0.1291358219558,6.79489
293827,1208.74,166560,0.78879263147021,0.04138990941746,-0.150036320544889,0,0.184893191445338,-0.101338819166985,-0.132669715038734,6.87551
1108830,2815.97,508933,-0.0241236670313601,0.0316047298657471,-0.165280034248837,0,0.183827603443335,-0.223948666405041,-0.177416750239552,6.91677
599438,1666.55,210984,0.29308162692671,-0.0437793887391343,-0.081098684326849,0,0.0890334753707632,-0.159090175632422,-0.0201172548881958,6.96906
735219,2442.2,241651,0.690305764768318,-0.0449023083225004,-0.0322630105179351,0,0.255755744350042,-0.0102880851262361,-0.048685333232022,6.97227
563695,2130.54,182026,0.120533420976533,-0.0569360639817626,-0.197809462421395,0,0.0738959230808619,-0.148346211208742,-0.145750284609896,7.12167
942632,2734.56,561732,0.629663600060336,0.00586717480446658,-0.260329578840126,0,0.0704112945295173,-0.26511380081349,-0.147650171285225,7.17407
960315,2611.1,306856,0.208069624710198,-0.07780077484245,-0.218803982351459,0,0.22122728182439,-0.173424800830813,-0.053603166753697,7.20259
388268,1417.64,61428.8,0.979482463219405,-0.0423281299511918,-0.0567095463604345,0,0.107209933788487,-0.0691458612965697,0.0232468168148586,7.21925
734503,2339.24,131800,0.582338112523116,-0.0618962200352735,-0.0448271366575616,0,0.10423510737716,-0.217508440439004,0.0129083375544991,7.23534
