"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
903799,1684.77,917700,62171.9,1910.12,74476.1,48332.7,22075.2,6909.65,0.0171493
677660,1533.46,729458,51557.1,1177.95,117972,47405.3,33872.4,7215.29,0.0216937
839627,1408.09,1040000,30156.2,12496.8,46682.7,12496.1,7163.74,1861.43,0.0342781
1010000,1838.48,831128,92479.7,1160.22,155186,43652.3,39386.9,18361.9,0.0479112
1050000,2102.46,673166,66613.7,1970.03,109588,51250.1,7610.28,9089.52,0.0505638
1300000,2340.51,1160000,51959.2,2309.09,110918,49611.9,13775.1,6355.96,0.0557867
657430,1561.62,465711,30190.8,206.971,67358.6,21424.5,4172.7,5031.86,0.0625724
726654,1983.02,798495,55099.3,11159.7,66471.2,27654.8,10310.4,1922.28,0.0659036
795369,1721.31,692462,53791.1,3583.44,109011,31521.1,14798.7,5649.66,0.0721958
1320000,1650.77,1090000,74952,9362.77,80160.2,35415,3929.12,2303.9,0.0798451
579203,1607.64,446775,43443.8,2175.87,49374.4,21308.9,3758.06,1595.17,0.0930464
740848,1876.34,531233,38760.7,9169.08,82175.4,38759.9,3069.92,6382.63,0.0933959
931943,1543.05,746439,91888.7,2121.91,123654,61039,13707.4,9464.64,0.10561
1140000,1653.54,623552,63232.9,706.234,18740.9,5544.64,482.943,490.645,0.109805
988176,1718.61,752733,60269.9,1601.32,110935,56943.5,8203.68,16828.1,0.114082
1030000,1688.15,979062,63086.7,809.505,137585,50237.3,11166,15045.2,0.122019
819745,1701.54,676001,30801.3,3315.34,45314.1,11751.6,4514.35,1813.5,0.129134
1080000,1844.68,779566,67460.3,1826.17,100335,43089.4,5166.51,23949.4,0.157655
693585,1516.13,401389,41936.5,-244.863,69609.1,26783.7,5012.9,6810.13,0.185908
826633,1778.15,623252,48528.7,724.356,94005,34915.2,6042.23,8887.22,0.188581
568965,1901.6,413537,32143,1453.07,55108,25059.4,4807.54,4115.88,0.202399
