"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
985275,1882.57,890272,24430,4131.2,62102.8,32472.8,3990.36,3289.41,0.00109087
1190000,1861.23,1150000,13780.6,21998.3,31424.3,15320.1,2081.7,2850.16,0.00790368
773380,1744.76,678143,41797.8,309.016,84925.5,24478.6,3312.09,4307.74,0.0363693
641634,1621.02,682528,18307.1,-635.452,42508.5,27125.4,587.73,1134.41,0.0377895
1080000,2085.29,1e+06,43937.3,1385.44,87498.1,28640.7,18285.2,2177.81,0.0381188
601342,1853.67,389269,17567.3,278.77,36650.4,19349.2,4877.42,3571.37,0.0381805
1260000,1937,932679,39629.6,473.68,107042,27395.4,13795.5,7984.63,0.0469692
663218,1538.12,505984,27711.1,-163.553,50188.7,19846.8,4411.81,4044.22,0.0509417
786401,1473.85,583678,20630,-666.224,53858.2,18789,13627.6,1764.09,0.0526088
872871,1444.57,816577,13682.1,30757.5,24519.8,9664.44,2362.95,2052.7,0.0562931
940090,1588.58,772619,26222.4,18.8586,55850.4,15410.1,4696.45,6564.9,0.0691572
579502,2009.82,493142,24017.2,80.2762,49621.5,22533.6,2973.28,3518.32,0.0739941
925485,1938.44,874929,28559.3,680.392,66423.4,25485.7,6373.8,6606.03,0.132942
1120000,2101.08,802620,22549.9,6903.45,22231.8,6927.39,754.212,689.052,0.140331
1080000,2352.25,951761,21145.2,-169.907,61734.7,21914.9,15093.8,2549.88,0.16291
657532,1513.09,589383,39099.5,364.723,32121.3,16793.2,7788.12,4403.43,0.198518
586136,1662.8,375840,17686.1,77.8922,41189.9,14934.7,1996.96,3765.2,0.199506
757311,1906.23,761885,15570,1372.95,59481.5,21023.7,5610.94,3147.58,0.200247
731672,1807.16,571580,30745.3,100.606,66080.2,23809.8,4293.41,3539.58,0.202943
1020000,1640.47,898582,32160.3,207.329,81031,25729.6,8350.69,4757.76,0.205125
646976,1637.53,729912,9951.11,172472,10837.4,2957.37,210.328,-736.25,0.218257
623729,1413.62,409820,3216.85,-427.471,19576.9,1776.51,-820.169,456.208,0.228671
655108,1511.72,399156,15611,344.31,29547.8,13326.4,1752.72,1390.66,0.234414
979060,2026.12,709896,29235.4,399.413,102992,23350.5,4128.15,6922.14,0.248657
605234,1743.25,325747,16156.2,4.24405,28319.4,11701,6154.64,1969.05,0.251045
790044,2168.77,964850,29572.2,1511.48,87851,38631.9,18468.6,3805.13,0.25547
985475,1617.77,873085,21460.9,234.606,32620.1,10182.3,1381.69,4588.96,0.264279
996082,1897.13,779802,40180.1,577.904,73930,23394.2,5729.21,4501.25,0.268272
1420000,2461.28,883821,36069.4,507.331,56251.2,18803.9,3118.87,2658.11,0.269342
639629,1398.67,376864,9481.87,1508.5,16556.2,2841.71,-241.387,514.894,0.285129
666794,1766.63,478983,16894.1,-21.3808,40841.7,21617.3,6256.62,2592.67,0.286858
949165,1948.13,702318,17935.1,2202.27,26626.6,12827.3,6267.58,1222.49,0.287352
1180000,2018.43,999565,46901.7,3333.83,102220,35069.7,7130.22,4298.72,0.290563
685069,1489.13,507628,12370.1,772.596,20634.3,15709.4,682.09,1039.5,0.29647
560823,1500.43,441981,16649.9,579.506,67601.2,15777,5125.07,1937.04,0.303283
1270000,1612.87,1270000,28505.3,3757.36,43134.2,5000.9,1118.03,1016.82,0.335536
1760000,1712.92,1080000,23002.4,-911.559,35140.6,2140.66,-721.346,1136.28,0.336091
884939,2528.79,861733,47104.3,1226.93,125647,46823.8,8938.25,8420.59,0.337182
601008,1698.96,493471,34518.2,6.6136,43521.4,19262,3422.35,3514.35,0.350108
895507,1705.17,714954,19931,4018.05,26168,14644.2,3824.49,864.317,0.362025
841996,1717.1,905286,13272.2,1887.36,37966.2,30141.3,2531.36,1986.16,0.391335
1140000,1915.6,851984,42958.6,301.757,102288,36183,20799.8,12086.6,0.395637
880675,1840.52,827942,16348,240.719,61812.7,27868.7,5277.26,5802.49,0.399136
649320,1937.86,695093,42610.5,5598.86,34067.8,25819.6,16580.3,2968.7,0.406504
585379,1646.45,762005,13610.1,31636.8,13316.4,5428.97,-683.632,924.468,0.409283
756256,1598.06,504956,22120.2,505.294,44924.5,23460.6,7000.73,5858.76,0.416754
905256,1657.72,777390,32413.8,1417.1,66364.9,32028.1,7253.1,4883.15,0.417578
1120000,1948.58,881296,19659.5,34823.2,73557.5,49763.6,15897.6,3725.5,0.419759
647364,2083.02,777962,32706.4,-80.1155,26378.3,4119.69,779.512,1658.07,0.422703
731476,2206.67,706807,15923,8389.45,26124.9,18758.3,2158.3,627.639,0.431388
681699,1645.53,506147,24642.8,723.938,72444.3,22621.7,13506.1,6324.12,0.441638
776105,1679.57,589430,24089.6,139.268,51657.5,18143.8,5000.65,3904.29,0.445446
1070000,1624.38,873166,42060.7,2153.53,81052.7,37108.4,15571.9,8570.52,0.446537
570007,1757.63,448205,26317,259.321,52141.2,16426.7,4598.8,4545.9,0.453576
702632,1565.59,407470,28289.8,166.452,86170.1,14556.5,3657.53,2849.85,0.455449
550920,1693.84,414662,29167.9,401.753,41903.4,19569.3,3705.87,4826.83,0.458228
636523,1586.5,586544,28036,-229.835,69803.9,22434.4,3894.1,5724.33,0.459875
740164,1564.13,499199,21798.7,-117.412,19945.5,1890.7,576.203,353.846,0.462427
828191,1698.09,361771,5762.95,1722.8,23998,4425.21,263.413,1084.74,0.462694
825388,1500.41,541106,6594.22,-159.769,16983.2,3518.12,338.117,494.225,0.469096
637444,1559.23,608883,13381.2,3320.69,21589.1,8922.76,5173.69,2003.39,0.476773
1070000,1882.61,931016,18547,3468.93,28945.4,2888.39,1185.83,1959.71,0.479325
1250000,1680.88,1280000,21847,17527.8,34513.1,11828.7,1214.73,1961.32,0.487784
617818,1794.84,707705,16381.7,-531.776,40189.7,20922.8,3108.14,3131.44,0.489616
815393,1944.3,595425,29411.4,756.699,42774.2,11678.9,3083.61,4632.78,0.498776
918843,1899.75,698767,21855.1,404.772,60405.3,16487.1,3900.96,5220.53,0.503551
626080,1784.66,484693,8960.65,30538.4,13463.1,3278.37,2881.51,1269.73,0.504312
716428,1546.63,440088,13406.6,-30.1929,24016.7,5795.24,4255.92,755.823,0.504518
987917,1567.46,781425,24900.3,1057.34,41687.2,18701.8,9034.15,1923.69,0.512381
598247,1690.82,510270,17256.2,-232.854,24222.2,15777.1,4061.41,1434,0.521313
683762,1459.71,316309,3873.71,4160.74,9617.23,1510.57,-608.794,358.359,0.54062
705438,1600.28,722320,8136.56,10294.2,12244.9,3108.08,181.485,414.151,0.601194
1060000,2473.77,1160000,30687.8,15407,73064.9,17300.7,8779.63,6107.69,0.622559
946724,2009.6,1020000,39627.1,343.353,45704.7,22380,4546.81,1648.29,0.622764
1230000,1683.66,812349,50394.6,-687.544,73220.3,19838.2,15213.6,1480.98,0.625811
