"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
689486,1645.76,546319,51074.9,1117.3,75800.4,39807.9,7124.32,5848.62,0.0291291
781313,1597.93,761866,80.0171,72.4198,3862.1,443.537,252.019,143.85,0.364877
735666,1843.7,843745,67112.4,383.85,168824,124045,55770.2,11735.4,1.26489
962173,1752.57,731565,71361.1,1110.62,107320,46740.5,48713.6,12462.1,1.30299
1300000,1867.61,916007,28132.5,-1064.8,34097.7,6709.7,16622.2,1081.11,1.30906
867483,1672.78,655876,70307,962.4,106306,44061.1,6003.94,5154.81,1.31407
1300000,2622.81,1020000,94242.8,11367.9,113356,42081.1,49867.2,5142.31,1.3525
1040000,2171.19,928614,72574.8,2209.7,114563,31475.8,37896.4,9955.91,1.36514
755858,1645.52,664367,80468.5,682.923,97798.6,43211.9,17506.4,16258.9,1.37131
1040000,1656.04,816038,43180.5,535.562,111563,31045.6,26091.6,9023.79,1.37517
734712,1499.36,503948,43089.7,120.178,44104.8,31571.4,10851.3,5224.4,1.37707
841393,1712.76,667162,27198.2,22694.5,39006.9,25978.8,8553.58,14501.1,1.41346
569111,1476.62,422468,46365.3,494.007,55626.3,20009.4,18754.6,1207.11,1.41646
609004,1743.79,595675,22447.9,5638.46,27082.5,8805.27,2963.81,1078.28,1.41758
558549,1580.75,399891,17598.9,270.996,28166.2,8406.54,2773.13,1180.6,1.41788
865830,2088.7,723735,38544.6,245.895,93965.2,24431.8,17567.5,7813.18,1.41823
1290000,1520.61,615644,27506.2,-749.4,41078.7,10437.9,20880.6,1384.94,1.41888
1080000,1849.6,902431,73742.4,1829.32,110997,47600.1,15401.6,8553.76,1.43439
634525,1417.36,462224,55734.1,560.956,58253.7,23985.1,34999.9,5296.61,1.45422
1190000,1593.35,776098,37691.8,763.616,69917.3,20254.8,7293.17,6441.4,1.47229
1050000,1961.36,976174,38592.5,-402.437,91085.7,25313.3,47052.7,6269.26,1.47689
674444,1431.16,471480,47052.7,3645.39,25872.1,20641.1,2786.69,2066.55,1.48562
565172,1693.48,599221,38280.3,1817.99,42450.3,16522,10002.1,4020.61,1.49849
1060000,1643.68,652471,36085.7,86002,26368.9,19527.5,7303.12,2579.27,1.50482
537414,1499.55,373474,32313.5,270.575,73680.1,22726,7721.99,2471.76,1.51284
1140000,2075.52,543726,45421.4,584.492,45609.5,22476.2,5266.19,7480.74,1.5151
829595,2308.79,524709,67241.9,11697,49629.8,22480.1,40983.5,3750.71,1.5153
800439,1687.96,630256,43467.3,6041.15,72096.7,37197.2,33829.9,4860.8,1.52577
1290000,2372.21,931011,127892,1593.33,101991,91579.2,24716.6,14315.4,1.54724
1680000,1787.19,1260000,70444.7,19601,97110.6,33894.8,17297.3,4578.08,1.55341
759015,1641.39,541600,41063.4,1095.31,56970.4,38827,5033.15,3377.31,1.56629
1080000,2482.38,1100000,72924,4334.54,52668.4,41530.3,15963.7,6749.8,1.56631
1090000,2017.05,938301,55693.6,1317.69,152992,48753,43397.2,8453.18,1.57004
646424,1749.01,388797,35999.5,848.099,23228.5,23266.8,4731.84,3946.92,1.57497
724821,2138.81,550653,47383.5,96.1085,101287,65600.7,45005.5,12559.2,1.57562
548546,1544.66,589164,53493.8,650.027,86672.4,23221.8,52027.5,2843.44,1.5871
732118,2057.5,653742,73900.1,38130,69719,39766.7,23347.9,7640.16,1.58989
