"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
188.121,0,400.551,0,1.54338,0,792.721,0,4.16291,755.971,19,0.129875,0,1.00668,384.387,633.706,0,0,60.963,2.58226,14.2227,2.57011,6.12797,87.616,0,0,9.11133e-05
120.527,0,0,13.7296,0,0,650.391,0,0,0.29006,17,0,0,4.77048,0,0,0,0,68.201,246.764,566.669,0,0,178.801,0,6.26085,0.0195553
98.9897,0,434.886,0,2.80643,0.695421,559.412,0,18.5256,1298.78,14,0,0,8.97667,645.367,1003.32,0,0,79.392,3.68254,13.8331,13.4594,4.61118,49.702,0,0,0.0566725
70.3717,0,228.531,0,1.76961,0.247554,0,0,0,0.4584,10,0,0,0,0,0,0,0,0,9.44238,17.7645,0,0,0,0,0,0.375063
111.775,0,1224.43,0,8.56228,0,750.927,0,0,3.98662,15,0.896508,0,8.33859,0,0.678656,0,0,108.571,8.278,29.3553,0,0,76.891,0,3.46352,0.637759
67.0602,0,981.141,0.709011,0.863462,0,499.664,0,0,0,12,0,0,7.41484,0,0,0.804153,0.135401,107.628,4.72961,9.30533,0,0,100.433,0,0.004538,0.72778
138.901,0,1488.78,0.505766,0.48695,0.39892,575.281,0,0,0.486508,15,0.069058,0,5.43434,0,0,0,2.89684,101.046,13.7075,25.978,0,0,118.365,0,0,0.871553
116.075,0,1732.94,1.5888,4.9973,0,555.427,0,0,0,15,0,0,2.59361,1.19635,3.22015,0,0,91.259,8.60969,22.8742,26.0831,22.9586,102.319,0,0,0.948106
118.878,0,294.029,0.443399,3.98527,0.264252,0,0,0,5.59784,14,0,0,4.53047,0,0.298681,0.07649,0,0,2.92681,6.89378,0,0,0,0,0.437105,0.999577
100.533,0,1772.15,0.870336,1.20088,0.750033,532.698,0,0,0,15,0,0,7.35627,0,0,0,0,102.023,9.32847,37.7292,0,0,103.892,0,0,1.05982
113.62,0,1303.42,0.362687,4.78446,3.40668,806.612,0,0,0.947361,19,0,0,2.18724,0,0,0,0,112.551,10.1464,27.849,0,0,146.922,0,0.670631,1.16902
176.764,0,634.254,0,0,2.43289,889.391,0,1.32232,0,19,0,0,7.24314,0,0,0,1.21109,94.07,7.34218,4.16025,0,0.965568,244.533,0,0,1.23855
113.791,0,67.33,0,0,0,616.199,0,2.2651,68.5828,13,0,0,4.52092,3.40145,8.20859,0,0,22.575,0.775184,0,1.53031,1.09476,289.787,0,0,1.33718
115.721,0,1135.34,0,0.579944,0,484.104,0,0,4.50679,13,0,0,2.64314,0,0,0,0,84.324,11.5487,15.3002,0,0.813753,97.168,0,1.86975,1.37047
121.641,0,33.8494,0,2.57287,0,0,4.58084,0,1.38506,13,0,0,5.82973,0.093944,0,0,0,0,44.9832,131.402,0,0,0,0,4.00113,1.45685
122.055,0,816.311,0,0.239853,0,499.971,0.42028,0,0,13,0,0,2.79671,5.31121,0,0,0,87.376,3.74558,15.2594,0,0,161.148,0,0,1.5375
128.02,0,5.19652,0,1.96428,0,0,0,0,0.317037,13,0,0,0.521002,0,2.42915,0,0,0,35.1346,62.4236,0,0,0,0,0,1.5848
150.832,0,843.706,0,0.517425,0,868.069,0,0,2.65641,19,0,0,4.94822,0,0,0,0,76.647,4.42554,32.7214,0,0,159.391,0,1.40299,1.60773
132.86,0,2523.59,0,0.301359,1.44713,857.935,0.106795,0,0.124779,19,0,0,1.94603,0,0,0,0,98.914,7.89175,55.0429,0,0,104.032,0,0.512055,1.77037
72.8716,0,418.076,0,3.17854,1.15207,475.063,0,14.986,1661,13,0,0,5.24657,470.542,903.6,0.051161,0,79.424,5.82701,30.1062,15.932,9.16184,81.517,0,0.546461,1.81886
138.844,0,910.259,0,3.90075,0.890712,760.96,0,0,1.82967,17,0,0,0,0.560334,0,0,0,86.293,5.39811,18.1387,0,0,104.87,0,0,2.02033
49.7762,0,1316.6,0,2.65819,0,408.295,0,0,0.215894,11,0,0,5.5586,0,0,0,0,141.615,2.09533,38.591,0,0,80.459,0,0.009697,2.08254
43.8496,0,373.039,0,1.63684,0,0,0,0,0,11,0,0,0.142158,0,0,0,0,0,0.320617,7.09976,0,0,0,0,0,2.13535
143.82,0,2242.28,0.258579,2.38291,0,653.495,0,0,1.04341,18,0,0.344427,14.6232,0,0.324321,0,0,90.633,11.7933,34.6575,0,0,84.895,0,0,2.19684
