FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
813431,1930.67,668720,26279.2,5434.72,39052.7,30569,12040.6,5134.6,5.3461
834049,1577.79,631850,32666.6,2638.41,45219.4,24487.1,5790.51,7498.98,5.3513
665177,1481.51,469543,35381.1,1699.43,34385.3,24631.2,3780.04,3864.49,5.35592
1.20E+06,2160.35,902275,31668.7,1932,60060.6,36162.1,6998.83,8247.79,5.35658
541532,1545.99,365599,22329,479.63,31105.9,14661.2,6530.43,7996.87,5.36364
989565,1731.57,768424,16006.1,229900,18946.3,4657.85,17757.4,3212.18,5.36416
590733,1927.59,383808,11707,761.004,38678.8,13536.3,6829.87,5759.3,5.3746
665860,1448.18,483000,31446,-138.628,52744.3,38978.4,12556.7,6816.87,5.38146
1.02E+06,1869.11,905990,55026.8,452.855,65547.1,25915.8,12416.5,5560.67,5.56042
1.49E+06,2478.07,1.30E+06,74401.2,931.885,108027,44673.9,16886.1,13192.3,5.56046
682753,1482.68,490606,13656.9,131.978,47605,12046.3,13865.3,1881.28,5.57652
979543,1781.01,843833,17171,11946.5,22251.9,8918.82,1549.72,1917.12,5.5791
961925,1720.87,544899,11924.7,487.624,29802.8,6428.76,1432.64,791.385,5.58522
887470,1675.31,972029,22491,-773.352,60550.8,32034.7,3648.95,8576.33,5.59355
619422,1444.11,433042,197.513,-98.2646,16469.5,-130.343,-381.559,106.877,5.59813
828140,1608.38,688259,76806.2,1445.19,117896,57016.5,12447.9,16104.3,5.60291
915291,1958.66,648329,34836.1,122.443,94058.4,39009.8,6670.05,6765.57,5.60709
974142,1551.82,811876,52733.2,1496.03,55650.6,19792,10283.4,4275.69,5.60735
922451,1615.99,649555,54635.4,1328.96,103360,38670.8,11384.4,6297.55,5.61365
1.20E+06,1605,918636,13878.2,-2439.81,43105.4,6028.09,813.772,2514.68,5.61537
789424,1727.35,619702,51068.8,717.192,73030.7,18886.6,28280.6,2828.01,5.61559
855172,1836.73,601947,24463.9,-663.607,25042.8,2339.9,-519.797,1652.8,5.61585
641029,1579.98,614531,23288.1,181.247,39406.5,13490.1,1570.19,1851.51,5.61653
616643,1786.4,732009,7237.28,-436.586,18173.1,4665.37,390.752,666.599,5.61959
660873,1803.12,531933,15212.8,3395.31,18340.3,3092.83,302.003,769.607,5.62015
801061,1592.84,432394,29615.8,-259.37,41855.6,4331.4,902.961,1799.88,5.62331
1.01E+06,1539.24,551020,31101.4,-38.0914,59375.5,22283.9,5013.87,6970.99,5.62513
580641,1858.23,418812,33223.4,235.044,52016.6,17964.1,8990.33,8168.92,5.62517
956399,1757.63,533551,23590.7,2592.73,67884,25997.1,4367.51,7113.08,5.62689
671760,1894.86,488862,43897.5,461.061,52235.1,14197.5,9626.3,2949.45,5.62807
1.12E+06,1850.42,1.05E+06,39087.3,1044.1,114685,39427.3,8504.53,21589.2,5.62885
568958,1691.79,506893,31801.3,3261.56,41395.1,21112.8,11076.2,6339.8,5.63197
901712,1417.3,655852,35762.3,909.659,37815.4,20497.6,3629.01,6843,5.63377
720399,1607.67,541189,32151.8,168.456,61755,24715.2,7459.04,6507.66,5.63603
1.18E+06,1659.92,1.15E+06,51494,47483.4,35945.5,28562.7,11232.4,5011.01,5.63833
768589,1642.89,547694,30610.3,375.724,62403.8,27578.8,7274.91,9640.59,5.63833
1.23E+06,1667.33,955354,33926.5,-588.704,25363.8,3930.78,-246.368,1399.2,5.64043
685186,1516,744668,14451.7,-223.524,21492.3,5645.27,2088.02,650.608,5.64449
756782,1454.39,567614,18742.8,23780.9,17380.8,5260.88,2865.93,1463.32,5.64721
543365,1566.63,410947,24827.6,80.2068,38268.2,22120.1,2578.33,1370.02,5.64815
648990,1638.99,559902,23271.1,660.255,60789,27962.5,6046.97,5383.52,5.65105
758131,1637.79,653313,29728.1,599.358,52720.1,16522.2,3916.28,1515.34,5.65185
1.78E+06,1846.27,1.16E+06,41448.8,-789.423,71849.2,45811.4,17440.1,2492.38,5.65237
960490,1860.63,776522,54279.1,686.053,112658,35081.2,27178.6,10243.7,5.65447
1.02E+06,1535.7,588120,28016.8,3132.87,35907.7,19870.1,8642.3,9344.87,5.65637
1.18E+06,1502.85,810539,39602.3,2474.02,33908.1,10281.7,2054.98,2040.99,5.65721
1.06E+06,2241.02,954092,47222.4,576.762,220550,83615,84962.2,7098.95,5.65737
854659,1802.72,691565,35650.9,589.638,89693.4,20119.8,10754.8,8675.59,5.65901
893508,1712.55,785215,36998.6,3084.57,33526.1,10623.4,2701.65,958.214,5.66415
912680,1872.64,474940,28984.3,755.08,49221.3,18623,2002.65,14395.5,5.66575
623143,1821.1,589819,34930.8,83144.9,20750.5,16926.4,5331.64,4953.31,5.66675
767521,1786.39,556745,33958.4,104.837,56107.6,23757,11177.5,7599.6,5.66895
995641,1837.13,779365,72647,1254.05,93285.9,37270.7,17534.3,20951.7,5.67029
743175,1688.01,573377,22990,615.352,44713.2,14393.4,9864.76,2876.17,5.67297
858432,2017.32,513475,33646.3,997.376,52815.7,30303.4,2867.6,6548.25,5.67537
755153,1552.56,573075,52679.7,4268.55,58519.1,20859.6,9074.83,4830.98,5.67992
560706,1713.55,408783,9757.17,-314.885,17436.3,5984.7,4430.95,644.01,5.68838
933388,1783.59,902445,40354.8,56854.4,38770.6,13139.2,3945.46,2136.1,5.69024
663040,1712.66,558249,29211.9,4871.9,50847.3,18392.4,40634.6,2120.37,5.69448
758067,2220.73,553482,22196.4,-7.37374,31609.6,20811.9,5932.31,4153,5.69638
594308,1576.71,413808,26939,12710.2,18289,24000.3,3544.84,3226.68,5.69678
633571,1545.47,446492,36245.1,2758.11,17647,15558.6,12983.4,1731.79,5.6986
586271,1467.37,360087,33886.3,468.554,35492.5,29446.1,4614.01,4435.74,5.69924
614804,1605.76,634316,35019.4,224.552,62685.6,29268.1,4524.73,10564.9,5.70166
690993,1422.18,565762,17315.8,2514.44,13209.1,3542.34,440,333.094,5.70618
845294,1570.2,553525,44094.4,-12.849,81697.1,26215.3,12318,5996.17,5.71296
534571,1658.31,396167,38038.6,2118.14,34852.5,17367.9,6974.88,5707.63,5.71404
705455,1647.93,487126,16565.6,24890.1,21598.3,5699.05,2531.03,1336.46,5.71406
912491,1677.9,762128,83415.7,951.915,115893,36417.7,25280.3,10572.5,5.71808
990177,1665.85,729153,25561.4,7883.02,28626.7,11263.5,1274.55,1746.36,5.72324
657774,1747.98,357028,14080.3,323.833,33134.2,13006.3,4770.75,3453.8,5.7261
907302,1553.43,765846,40141.9,3507.39,34725.5,30263.4,13402.1,2190.51,5.72772
905879,1925.51,848001,38491.7,940.724,84242.3,36975,13137.6,7818.55,5.73164
607522,1547.7,574246,12089.5,61155.1,17294.5,3420.48,4030.52,102.879,5.73596
1.03E+06,1713.67,624554,39531.5,631.446,73444.4,20714.3,12488.1,4231.05,5.74116
806035,1474.38,482327,38796.3,12.4878,51251.1,18644,4683.11,4853.88,5.7418
685632,1662.74,576669,38723.6,898.25,73175.1,28696.8,7554.01,6627.95,5.74214
738714,1971.3,517823,24174.6,320.26,60985.9,19028.5,2869.49,5673.91,5.74404
897132,1528.74,724854,14064.6,-580.41,33716.2,17329,10896.4,1946.57,5.75048
844339,1493.78,704565,49615.8,528.397,87936.3,33317.7,6434.42,12163.9,5.75422
725064,1855.5,416735,35592.6,514.233,57361.4,25169.8,4009.16,6707.54,5.76693
767982,1902.86,587932,38479.1,-219.855,65431.2,24812.4,12094.3,4099.18,5.76831
728023,1745.14,603756,24065.4,763.51,54125.8,29249.7,12164.4,2942.51,5.77117
831882,1556.28,517955,31497.4,-141.43,58111.9,30298.5,6288.75,9046.55,5.79441
1.63E+06,1986.1,1.34E+06,37977.3,-1175.9,107700,34635.9,8570.97,9900.7,5.79599
662705,1838.41,512834,33438.8,260.729,70241.6,25217.7,4742.08,4229.83,5.80227
810771,1942.18,647185,35872.8,3182.19,38863.5,17312.8,28684.4,3038,5.80293
1.25E+06,1637.58,1.01E+06,34780.2,36872,31818.1,17458.9,5300.83,5864.89,5.80969
635191,1385.18,547045,25503,94104.1,14325.1,6364.84,5016.47,2573.4,5.81289
884928,1680.7,637971,35486.7,183.136,64456,23969.7,10567,4082.9,5.82153
1.20E+06,1665.74,724165,23736.8,96.6222,69861.6,25933.4,2640.54,7346.1,5.82419
929690,1821.3,674573,34988.6,782.002,77904.7,34042.7,6353.85,9289.02,5.82497
709569,1445.63,571679,43859.3,607.38,63739.2,26959.4,4457.86,10933.4,5.83559
