FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
1.18E+06,1838.66,1.21E+06,72912.3,-399.55,81982.7,17482.8,3180,4791.28,0.0139523
687135,1485.24,527961,18317.1,-1037.59,31519.7,11969.4,8256.22,2760.39,0.0278843
1.25E+06,2238.32,642662,69112.1,985.534,85481.7,37113.6,8052.04,12672.9,0.0319843
570210,1507.25,499409,21773.3,8114.19,31481.6,12373.2,8167.09,2096.05,0.0336569
745367,1664.66,497792,62299.9,485.335,61890.5,29772.1,44890.4,8999.66,0.0337997
1.50E+06,2085.08,1.29E+06,81988.5,-292.803,94109.8,37803.4,1972.9,3481.33,0.0355132
563537,1590.44,520252,53575.5,643.016,71004.7,19608.9,39056.8,4349.84,0.0436316
1.22E+06,1993.39,869838,64202.9,204.26,135855,49043.8,17845.1,13416.3,0.046263
948287,2043.96,539546,62337.6,185.403,101512,28020,11736.8,8812.41,0.0504242
945862,1528.34,771824,38440.5,-131.381,34620.2,13624.8,19264.4,1175.47,0.0550546
775219,1527.17,413090,40377.6,-634.504,60945,25440.7,12307.6,1871.64,0.0675995
760315,1491.86,515546,48704.2,917,90268.6,28434,7088.74,10246.4,0.072087
1.26E+06,1752.49,819575,68531.8,522.864,105945,36605.5,8332.9,14933.7,0.083918
847123,1638.86,656572,38056.9,5179.04,50615.3,24136.6,10642.5,2418.08,0.0936683
982585,1520.51,459031,14507.2,104.169,33809.4,6962.13,9903.95,1419.77,0.0957897
997711,2501.11,667338,87344.1,393.595,61156.3,24459,7499.85,2108.39,0.100971
729640,1627.02,615140,36273.8,9644.21,30913.4,17153.4,4537.57,2034.14,0.103541
713917,1587.47,586370,40738.5,-36.4413,78206.7,19499.8,12974.7,1676.01,0.103725
634761,1724.89,524155,37079,92.5662,68099,21994.4,28682.1,5274.22,0.110884
911491,1571.68,700141,98833.9,1328.65,113617,39171.8,40560.3,15607.2,0.115739
890648,1685.21,758393,51758.8,6674.78,63607.4,42770.3,11028,10653.9,0.120655
546832,1832.08,434900,34696.6,4564.84,30430.1,16171,9695.79,1436.95,0.12449
1.11E+06,1498.79,564952,15665.9,63.8327,28415.1,3422.94,702.033,1875.85,0.127794
734560,1453.61,330388,16987.3,199.396,17894,6691.45,5455.65,456.199,0.133302
993101,1850.05,872344,45282.7,-449.931,42001,16210.4,13206.7,9167.17,0.146805
807849,1459.98,626797,24425.1,1247.89,46216.3,13975.5,20941.4,1828.54,0.147683
842791,1908.42,615839,86415.3,600.974,83833,33455.8,6001.12,9866.23,0.149702
581636,1515.45,490395,57585.5,429.213,85647.5,24476.2,64298.6,4564.64,0.153516
971441,1577.59,883171,20835.3,-367.849,29601.1,10962.1,3853.79,1289.29,0.169386
715197,1499.17,428826,47969.3,12.63,49366.9,22068.7,4368.04,7444.14,0.176648
1.41E+06,1705.67,913355,64109.3,-358.795,84204,32917.6,11688.3,6129.23,0.186398
1.11E+06,1881.18,689253,103528,1043.12,88722.1,32329.5,5264.77,21265.9,0.190682
977198,2056.34,877660,38544.5,992.419,91952.6,27483.7,7069.75,31151.3,0.192355
960706,1572.39,824842,58837.2,-117.836,58569.3,15598,5436.29,1947.07,0.192946
1.67E+06,2345.27,862610,75354.8,-112.08,133115,66460.3,52613.9,7238.73,0.214854
813751,1725.27,961985,83995.6,1388.3,185819,46979.1,20277.9,21666.6,0.217444
1.39E+06,2182.98,895966,96757.5,1520.56,163672,56062.1,13548.8,13636.4,0.224522
1.31E+06,2240.65,582577,31231.4,-473.118,63276,12977.5,16884.5,1001.86,0.236149
910526,1623.33,936808,14279.9,71.8131,27681.8,5951.69,-238.317,1440.58,0.238495
1.31E+06,1877.83,1.18E+06,106957,384.909,260713,162008,115140,15363.7,0.240351
695563,1785.07,626997,43975.4,-413.138,71163.7,19761.4,8422.03,2709.68,0.241616
759430,1749.9,775775,91976.6,1132.34,235907,120721,129912,14781.9,0.241698
736104,1598.68,436487,51248.5,434.758,69818.3,25933.7,6796.07,9414.4,0.24641
713655,1651.08,531898,33613.9,-74.4877,74774.9,23432.6,20261.6,5750.64,0.257751
944135,1366.28,1.14E+06,1112.22,1.35316,79982.5,63.2247,-250.04,266.146,0.260953
1.03E+06,1664.43,734187,74252.9,-409.206,54709.2,38445.2,5274.48,13211.5,0.262341
729988,1706.64,513801,58811.5,604.51,71494.7,22162.3,8910.25,4565.57,0.272601
759703,1474.46,593322,21958.6,-255.346,22258.8,5872.04,1598.72,857.305,0.274885
1.22E+06,1828.18,947055,35428.4,10.5274,90600.1,31149.5,68245.7,9719.3,0.280577
1.20E+06,1899.95,838792,61380.7,1152.92,129460,64933,27278.2,17007.1,0.297833
1.01E+06,2029.19,731803,70130.3,913.88,152187,48433.4,20198.4,16777,0.301933
986396,1884.71,814294,72002.6,638.278,114180,54324,8832.93,10907.5,0.304911
886065,1604.49,628338,35391.9,-469.958,44886.4,17064.9,15729.1,1483.04,0.304932
791120,1630.73,664873,64184.3,725.775,107068,64199.2,59197.8,10718.7,0.312092
617421,1462.59,422241,38373.9,20772.3,38257,10190.2,14366.8,2905.92,0.313132
902903,1394.6,543020,71259.8,1430.07,83781.1,30601.9,9921.93,7728.64,0.323474
829518,2009.62,576164,96367.3,-161.086,110309,35038,9866.94,11554.8,0.324004
1.42E+06,1816.33,1.03E+06,113131,1413.56,141473,63764.4,19353.1,24854.5,0.327431
945113,1559.39,621724,47222.6,46.5496,85717.3,29703,11430,9691.53,0.334264
1.07E+06,1626.97,798964,42776.3,281.771,61430.5,14872.5,18606.3,3541.67,0.337283
693509,1694.13,523492,72474.6,1750.88,68987.5,24706.5,17568.2,7670.8,0.345626
965129,1764.88,716251,53191.1,12529.7,59362.4,18084.8,8880.13,1979.62,0.349767
1.13E+06,2302.97,1.27E+06,81988.2,-139.816,135839,40956.4,41219.6,14192.4,0.34991
879721,1475.29,543202,61545.8,375.795,106212,32809.8,8074.75,12244.9,0.350726
764195,1487.89,534974,59402.7,11358.5,49886.9,20678.9,21415.4,2039.59,0.351378
883506,1932.12,690337,45021,-68.3067,73829.7,19424.2,18609.7,7439.45,0.354295
868739,1628.66,669330,42113.5,240.135,96738.9,36256,10900.1,7657.9,0.355764
724832,1807.17,567176,53386.3,7128.72,68955.3,34829.9,8362.83,5240.32,0.361068
1.20E+06,2502.75,978735,166113,5982.04,160713,73937.4,63263.8,10908.6,0.368431
977266,1556.81,501384,30672.9,306.886,31206.2,12445.5,923.621,961.209,0.373082
1.31E+06,2227.57,874322,75589.7,297.583,64977.2,28351.8,8912.78,12320,0.376223
674704,1408.54,605563,59850.1,562.582,51264.5,17356.7,11271.6,3025.13,0.382649
769524,1722.28,721678,75718.1,-80.0804,59563.4,46453.9,7839.1,8933.89,0.400314
910255,1764.22,1.00E+06,35840.3,427.093,59487.4,14753,3346.34,1548.47,0.40166
831931,1649.15,563652,34091,38.6105,26096.7,5289.24,-588.603,3273.33,0.416306
679446,1746.79,845258,40850.5,465.915,37729.1,18014.6,15450,848.42,0.417264
818349,1721.23,542481,38128.1,264.112,95774.1,22804.9,5838.8,11174.2,0.425363
749650,1887.58,678281,43493.7,2733.69,35524.3,11591.5,6727.63,1071.61,0.430523
1.23E+06,1688.31,908018,26124.8,746.972,26575.9,3884.54,1212.57,3637.42,0.436255
989171,1623.92,813606,46537.6,3776.31,33505.8,24835.3,3579.81,5334.1,0.441355
823131,1600.76,584214,72560,342.171,56130.8,27112.2,15482.6,5769.9,0.443578
1.11E+06,1554.67,614560,61257.1,-249.581,58487.6,30692.9,3025.22,3630.66,0.448514
