"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
135120,1064.33,121250,193.24,-601.665,4444.13,1161.7,-142.573,-70.655,-559.04,216.728,0
491437,1271.25,458765,83.684,12.7662,15446,90.089,366.181,115.674,-291.03,127.69,0.00172078
184248,1172.68,62606.1,119.713,-136.309,12330.6,267.996,-286.761,-28.2385,-10.1964,-100.986,0.00522236
109302,1043.84,33642.5,-24.4229,163.216,5761.6,-183.966,69.0827,9.9217,8.25312,-178.097,0.013326
94075.5,1002.63,45484.3,31.9549,3.76251,4450.66,337.719,-195.381,-53.2775,-134.517,-16.247,0.0136261
1.0218e+06,2585.51,787351,96223.1,889.798,112949,848.96,60543.1,-96.4641,15496.4,19069,0.0152869
733407,1258.29,3.63216e+06,-12.5021,84.789,13916,-63.524,-79.1662,-50.8778,301.343,791.501,0.0168676
211486,1163.86,119091,12.225,123.919,3691.06,-288.122,258.989,21.932,266.524,-4.41435,0.0301536
124788,1063.72,78666.9,-92.8429,-88.1995,4218.6,16.8115,152.926,15.1361,-53.4963,-9.09461,0.0344555
152221,1057.54,76127.2,-5.17197,-78.1952,7985.82,17.0804,91.805,45.395,3.33805,-104.02,0.0386574
187203,1153.73,130120,-142.629,-42.7223,4296.96,3.2359,266.005,60.0754,-187.937,-121.877,0.0389776
176374,1081.95,91107.2,111.462,41.0329,5929.47,178.888,-314.716,-79.3425,6.82902,-43.8281,0.0396179
199212,1123.31,290900,58.0449,34.7931,3991.28,126.211,283.351,45.3974,-287.305,48.6878,0.0460007
2.3339e+06,2985.24,1.2674e+07,539.302,42.4047,66415.1,0.271497,932.649,151.726,710.339,1481.45,0.055485
507767,1312.8,445616,178.019,297.172,29522.2,202.819,18.5,-15.4489,75.4655,-247.501,0.057666
180890,1101.73,45087.7,114.702,-142.391,10300.2,213.695,-189.125,-73.5733,175.741,89.6825,0.0602872
94787.5,956.162,18949.1,141.815,-2.18766,5172.48,253.211,-204.758,-90.5883,-11.6344,107.566,0.064309
79488,934.981,33640,101.911,-73.8885,4831.23,-36.7336,-204.394,-59.6185,-56.1159,-34.0952,0.0646892
68480.7,880.241,14791.7,28.7854,57.4436,2778.31,-15.9745,100.268,23.1965,-33.5966,-79.2022,0.075394
411052,1199.58,543717,9.93095,-145.593,20370.8,-50.0847,424.582,100.972,-49.462,-74.2258,0.0903608
128458,1115.21,66244.5,210.316,-36.2159,6173.57,443.339,-25.1482,-10.014,-111.759,-13.4521,0.0970238
98994.2,1049.81,34930.4,-7.15344,-148.66,5752.2,376.728,-426.668,-116.537,-46.8494,153.907,0.102306
164392,1082.19,83067.1,-77.1053,-62.8294,4734.71,281.353,83.3692,-15.8996,-81.6909,79.0364,0.102606
79178.1,950.552,28444.1,177.772,80.1416,3973.06,32.9727,-62.4839,-15.8131,-103.075,-71.8052,0.120174
79206.4,948.575,22218.6,105.714,-47.5339,3018.32,-22.4737,62.8075,15.8303,-39.7677,46.3903,0.120814
85303.7,948.228,31708.6,-231.306,213.938,2778.69,-258.322,232.524,60.0803,-11.1399,-4.8545,0.162673
77072,941.337,31786.9,86.5197,13.0679,4018.35,77.3599,-93.126,-24.2262,-17.6918,43.04,0.175199
125355,1047.21,84712.9,7.21071,21.5718,6651.06,45.7804,-42.5223,-10.5726,91.6565,13.6336,0.17654
52064.6,777.898,36461.2,41.583,38.4915,2309.8,32.62,82.205,10.7992,38.6917,-51.6646,0.185103
217067,1465.81,214753,-161.583,357.38,4703.95,-368.954,372.889,100.829,-34.5387,-322.623,0.188425
64541.7,898.646,22655.9,-6.63451,-41.7862,2177.59,-59.225,99.2132,31.8494,109.322,38.3745,0.218619
136035,1034.23,59133.3,22.5664,-31.1624,7474.06,106.129,-407.654,-97.713,80.4953,174.876,0.220439
185095,1108.35,76151.8,-131.562,212.682,4441.28,-243.882,-47.178,-16.9732,85.1722,90.8878,0.226042
141886,1065.12,26196,-186.322,-169.293,7470.5,147.744,21.554,8.98435,-100.779,-157.709,0.227222
505427,1423.27,257063,154.428,-80.4172,7997.46,566.234,767.258,-10.7745,-123.668,-22.4824,0.227483
174472,1097.42,47196.4,36.1081,172.861,9678.4,-93.4696,137.646,62.3749,-23.6542,73.3603,0.235206
188976,1111.16,254243,149.231,-214.61,16573.1,455.555,-275.554,-96.3009,-76.3895,132.461,0.236046
