FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
591747,1467.13,763442,231.285,-23.6386,21709.7,247.215,60.7459,-1.46487,0.432988,,430.495,-548.474,8720.01,206.76,-319.175,354.243
677109,1450.66,879522,162.279,-136.145,36178.6,114.832,-244.552,35.8784,0.582464,,,,,,,
956927,1508.87,444351,188.972,-60.9,25763.6,-19.1614,-249.671,-174.101,0.627529,,,,,,,
587957,1432.78,570203,705.77,-667.834,59481,380.715,-475.716,250.63,0.629929,,,,,,,
841572,1520.61,415125,734.754,-947.619,81306.4,252.272,-669.141,-14.6529,0.686255,,,,,,,
1.34E+06,1969.29,1.24E+06,308.341,-23.0926,77265.1,-55.1439,-256.949,32.1289,0.72432,,,,,,,
914983,1588.92,460127,1249.25,-700.503,75000,324.251,-955.146,59.3364,0.754143,,,,,,,
685302,2123.42,686428,256.23,-404.99,69235.4,199.533,-22.4944,115.159,2.08395,,,,,,,
778101,1356.06,858925,81.9533,-60.8646,31352,193.448,-134.734,-76.4423,2.27091,,,,,,,
1.37E+06,1546.45,1.36E+06,856.413,-465.351,179946,147.221,-650.323,257.673,2.35706,,,,,,,
1.11E+06,1837.58,599544,1471.33,-1370.32,133148,51.9114,-990.499,130.994,2.46781,,,,,,,
767418,1379.35,654848,581.448,-440.584,101813,170.866,-195.078,141.083,2.61075,,,,,,,
756635,1418.47,378094,1030.06,-1293.98,83380.9,601.212,-739.219,424.847,2.71418,,,,,,,
929810,1498.69,945943,443,-648.359,82861.9,129.576,-370.109,86.6581,2.7377,,,,,,,
732670,1450.56,680322,221.631,127.852,24427.3,18.4334,139.362,-164.057,2.74824,,,,,,,
995140,2298.74,1.08E+06,280.763,-74.3558,1911.86,597.792,65.1565,950.79,3.14803,,,,,,,
895240,1794.15,627527,1065.68,-1125.99,99143.7,551.973,-959.757,208.854,3.5975,,,,,,,
731661,1388.41,756826,424.768,-635.331,80309.3,203.051,-592.105,295.466,3.84942,,,,,,,
707405,1631.02,426339,1067.96,-1123.48,99798.2,379.116,-1164.14,300.709,3.9687,,,,,,,
883285,1357.01,966258,521.273,-490.773,98216.8,84.485,-503.509,324.025,4.26817,,,,,,,
629063,1436.6,309330,657.985,-760.838,52534.8,220.411,-753.232,146.924,4.58954,,,,,,,
1.11E+06,1486.81,1.08E+06,222.124,-378.511,40429.7,308.959,-214.816,295.982,4.71332,,,,,,,
1.21E+06,1737.48,1.11E+06,1260.84,-1570.9,207508,233.023,-968.109,107.849,5.03387,,,,,,,
