"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
360878,1454.05,99955,9058.36,8266.21,8223.02,28758.8,1159.24,12661.2,0.0937108
282331,1144.74,130760,1731.03,3941.91,14775.6,7693.7,1728.69,4057.8,0.536284
666866,2191.89,188975,3345.03,9290.3,29585.8,60641.4,1747.6,3629.91,0.541361
682232,2373.63,339322,6940.94,24477.9,31063.8,76683.4,-501.346,40532.3,0.748446
436840,1778.09,143196,3377,8875.32,13526.5,35732.7,1609.03,5019.75,0.801032
1.41135e+06,3272.94,3.53306e+06,37884.5,34031.5,11326.9,19439.3,46546,60879.9,0.802451
338306,1381.76,118138,2575.81,12132.9,12650.3,35057,4406.13,4366.7,1.01449
368756,1390.06,192966,3935.46,5442.76,6788.14,18909.9,1513.11,10496.5,1.48787
1.21932e+07,20854.5,1.40902e+06,-1419.48,10793.2,291.054,-862.963,1360.48,7139.89,2.6382
7.451e+06,12772.6,2.40851e+07,7804.13,181478,48976.1,-63571.3,93382.6,136408,2.71609
2.9057e+06,7370.2,1.37762e+06,34155.5,159713,89927.2,396786,7984.47,49442.5,2.74589
701629,2775.55,311367,17977.9,35654.8,28867,114865,408.426,19850.3,2.76248
562344,1886.91,135822,5220.79,16882.2,16917.2,51665.3,82.8295,22364.2,2.79626
369602,1485.42,131091,4524.35,13340.5,7430.92,14623.7,1364.14,3415.4,2.79728
566406,2322.01,141928,5441.53,24930.2,16453.5,66062.5,8071.25,9487.87,2.80929
480625,1852.84,95576.5,4406.48,17979.2,14614.2,52098,554.26,6647.76,2.82486
570523,2324.21,401450,10114.2,28383.8,29147.2,108409,-145.278,20545.5,2.8326
718393,2720.14,280832,8177.69,34315.6,20807.1,86867.4,5157.67,18763.4,2.85354
714162,2902.82,167393,6333.75,25457.8,22866.4,53726,1320.43,18912.4,2.85984
1.12554e+06,3365.23,360290,8417.71,44126.8,69799,52557.1,1902.87,10013.5,2.93761
315902,1247.08,149380,2140.34,2903.77,15552.3,7294.03,3051.74,7000.53,2.97614
508278,1614.38,177679,4022.26,12657.1,18288.5,39579.9,-227.908,15249.3,3.01212
1.71287e+06,4182.83,6.15041e+06,16847.1,59859.1,50642.9,88142.8,15085.3,43978.7,3.02011
524450,1951.44,297034,7007.77,24526.4,19982.1,57174,5194.81,10695.5,3.05013
640156,1727.16,225204,5277.27,9899.74,9140.65,28632.1,1848.91,11002.9,3.26915
967114,2886.84,447195,9619.15,55094.3,36615.6,75719.3,3121.63,18190.7,3.76319
605901,1845.37,1.89597e+06,1604.7,13754.1,2818.42,-3153.56,3345.08,5623.18,3.82523
1.6324e+07,27863.8,974066,-2169.93,9168.86,-21.2031,400.427,-474.689,2053.07,3.97006
1.01479e+07,17405.7,1.98022e+06,-918.872,20550.5,6345.44,-8572.4,18718.6,7671.38,3.98013
7.03309e+06,12039.9,4.02659e+06,50.6136,71880.7,6261.65,-5109.6,13788.2,14297.1,4.05524
6.41314e+06,11134.8,3.94733e+07,6189.72,128392,76256.4,-107034,131063,460150,4.06414
661141,2066.06,344561,6594.31,32981,27022.6,51147.3,4980.35,12581.8,4.06975
5.73991e+06,9996.99,4.12498e+07,8630.39,54373.4,77653.8,-105617,130858,459028,4.09544
1.68634e+06,4314.44,1.31365e+06,259014,131410,163900,277956,8248.02,29435.1,4.10909
2.45018e+06,6026.46,3.47042e+06,54428.1,170443,47289.6,157704,72644.8,79283,4.15734
720363,2405.97,278353,8782.52,36478.9,25063.7,81006.9,-483.261,21469.6,4.16379
949472,2428.95,513737,10511.8,42560.1,37005,120693,2535,23498.3,4.16947
1.03858e+06,2757.2,460491,12920.6,32471,37946.4,70511.9,7184.91,17910.9,4.16947
3.53083e+06,6489.84,2.74418e+07,37306.4,132844,67599,-56478.4,100313,334594,4.16953
445007,1712.28,160397,5181.95,15138.7,10223,18548.6,3936.45,2792.42,4.16967
1.02914e+06,3302.32,391513,27241.6,54573.3,39637,174740,-1605.34,15746.8,4.17568
471712,1656.49,192422,10986.1,25450.4,14432.4,53990.8,3439.58,8031.64,4.17572
473683,1752.3,165871,3355.05,16520.4,11013.7,41992,-606.777,9287.29,4.19014
809163,2345.88,432688,13860.3,30419.2,35846.7,60233.3,9185.23,13715.3,4.19329
335902,1355.17,146970,5924.81,14268.8,15415.9,42582.3,2889.5,9371.41,4.19329
749824,2922.22,239571,8230.43,39935.6,49975.7,75064.5,6155.21,18006.9,4.20904
1.70742e+06,4192.24,761467,21128.4,85750.4,62800,249516,1800.94,61676.9,4.21064
263921,1066.21,51899.9,771.218,4487.12,4591.87,12453.7,78.1501,5960.11,4.21078
3.06629e+06,5452.55,4.63545e+06,5046.99,58235.3,17995.6,7478.06,16898,20292.9,4.21408
