"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
866311,2086.79,1.55628e+06,6538.8,18078.3,3684.2,858.4,6583.1,10147.3,0.0906462
401677,1535.63,110524,9073.1,23032.4,24044.1,60481.1,24129.2,16655.8,0.0966107
2.91943e+06,5156.36,1.19996e+07,40617.8,117342,24121.7,3921.9,38516.6,69081.8,0.357176
439986,1658.17,111432,7345.1,5881.9,22780.6,38497.1,16020.7,9916.3,0.381342
2.83877e+06,5100.68,1.63405e+07,50619.5,132607,26949.6,4989.1,43597.7,92885.2,0.387266
574199,2043.07,142984,12497.3,29960.3,51900.7,104185,27766.1,18555.8,0.506534
662462,1854.38,179306,23867.5,18552.5,59903.1,141056,42024,45818.5,0.594521
352822,1320.66,242807,4224,6380.5,16649.1,21952.6,6627.5,2994,0.663091
411375,1500.13,1.4008e+06,2954.2,8304.9,1330.4,372.3,1469.9,6115.5,0.736598
357899,1428.29,124154,7822.2,4766.2,21959.2,36215.2,14584.5,11160.1,0.758338
2.07739e+06,3884.51,4.56486e+06,16213.5,59210.5,13407.1,2055.1,21669.5,28702,0.822713
3.03005e+06,5344.51,1.37447e+07,44615.7,126709,26403.4,4284.3,40719.9,80546.5,0.827546
1.69513e+06,3277.58,5.26417e+06,14228.2,44790.7,9103.7,1950.2,16007.5,24084.1,0.827958
2.92378e+06,5150.98,8.34158e+06,31534.4,102343,22061.3,3343.4,38552.8,54649.7,0.834909
4.88483e+06,8497.79,3.38535e+07,134664,285449,74080.3,8380.6,127411,220849,0.835567
4.39428e+06,7573.07,1.28253e+07,59100.4,179160,40871.7,5613.3,71912,103140,0.866171
6.49516e+06,11218.2,4.56742e+07,194980,155253,110935,9721.9,205561,307918,0.87228
1.00794e+06,3335.31,384594,29170.5,71009.5,128084,272455,122248,43788.5,0.944285
520658,1923.24,151185,14014.2,27056.4,35170.4,90786.8,28909.9,20049,0.955042
515380,1818.87,204217,16665.7,44395.2,57002.7,122865,44928,28851.6,0.957325
707377,2756.04,330093,24636.9,45025.8,86370.3,180763,62723.3,38559.7,1.02824
1.14595e+06,3206.84,585114,50608,126742,172828,416334,129685,79148.5,1.0435
646064,2443.81,239127,33113,61559.5,78870.1,209791,126636,64451.5,1.06742
794152,2591.03,367725,25682.7,47144.9,64069.9,158710,111646,33072.5,1.07653
536718,1927.99,1.6186e+06,5968.7,162277,3597.7,5693.7,7125.5,7363.1,1.09113
1.01996e+06,3413.65,628019,65870.4,93588.8,119353,296189,204468,130085,1.1154
563698,1995.01,116186,12844,22718.5,38022.6,80892.6,32545,21955,1.16734
1.06963e+06,2387.74,4.27332e+06,9102,23898.5,5125.6,1709.1,8529.5,15718.5,1.20329
345428,1407.13,164501,4354,11340.5,14709.6,31379.6,14052,3624.5,1.36914
298845,1221.72,116901,6252.2,3923.9,25194.9,37676.3,9758.4,9677,1.39617
1.51783e+06,4122.86,448526,40090.5,103528,202915,353659,103363,54066,1.43516
446359,1518.91,214399,11594.2,12334.9,21285.4,47084.8,16277.4,13030.5,1.43518
397559,1476.8,1.15942e+06,3131.7,7031.7,1625.2,294.2,2519.5,5349.1,1.43656
1.19601e+06,2568.28,4.99331e+06,10061.9,25994.3,6897.3,2404.9,11312.8,18172.7,1.45869
1.29437e+06,2687.37,5.01036e+06,10413,30655.9,7285.3,1630.1,12204.6,19196.7,1.46912
2.01472e+06,3750.23,6.79316e+06,17626.4,56012.5,12071.2,1715.8,19545.5,31197.6,1.48337
2.41988e+06,4368.13,7.64165e+06,21976.5,73602.7,15567.7,3143.9,25254.7,39928.6,1.49156
1.90579e+06,3674.75,7.70482e+06,26404.7,53785.3,20835.8,31470.7,26764.3,44457.9,1.49427
2.2294e+06,4169.36,1.33961e+07,31292.9,83772.4,17197.9,3013,28500,56916.5,1.4953
3.146e+06,5524.9,4.1991e+06,17464.2,81791,18886.4,3219.5,29237.3,30541.8,1.49546
4.0833e+06,7048.81,8.08182e+06,41222.5,137342,39415.9,28542.2,62737.5,74417,1.49655
2.70639e+06,5098.43,2.12721e+07,61964.6,143732,34066.9,4899,56603.7,110908,1.49927
4.68805e+06,8044.71,3.12178e+06,14636.2,115258,25527.1,6101.4,44716.5,27257.7,1.49962
2.61805e+06,4815.43,1.93811e+07,39847.7,112247,22384.3,3680.7,38387.1,72408.8,1.50007
7.264e+06,12456.9,4.30433e+07,162257,221354,111349,10517.9,205883,263854,1.50098
376025,1341.04,158649,10421.2,7593,19836.7,39191.8,18655.1,18729.9,1.50785
2.1573e+06,3988.02,5.34028e+06,20322.8,63510,14365.3,3374.3,23599.8,34460.3,1.57134
1.32575e+06,4667.37,547649,50414.5,119083,153656,368830,112919,71259.6,1.58516
875622,2859.68,452074,36736.7,30736.2,36502.9,112468,49327.1,55538.7,1.60466
369826,1383.78,113968,9321.2,16222.9,23220.2,70957.3,24402.8,13404.6,1.60468
3.23077e+06,5649.04,8.68616e+06,36419.6,115279,26898.8,5277.1,46037.6,61653.6,1.60834
413175,1625.77,96425,11084,14043.8,22184.3,64691.2,21771.7,17245.5,1.60889
811447,3016.36,286821,19233.7,41530.9,55697.2,128854,38056.1,31403.6,1.61819
2.46371e+06,4892.41,1.6377e+06,12273.8,58205.9,25854,47869.8,26587,19368.6,1.62347
1.10169e+06,2460.2,3.37474e+06,11168,25402.2,6315,1264.1,11256,20417.4,1.64102
5.63795e+06,9856.55,4.52589e+07,188710,88502.1,101145,9601.4,174444,289290,1.64268
377020,1398.07,321761,15274.5,12347.8,12273.9,27192.8,22720.6,11231.7,1.64577
444777,1615.99,227899,15505.3,42754,27640.5,92445.6,31332.6,18276.9,1.65379
311724,1279.11,210018,15082.6,44760.9,33772.5,105301,34848,22543.4,1.65381
845308,2896.75,407853,53553.1,84355.7,142322,350769,119232,110031,1.65986
927739,2971.73,327137,40937.7,69645.9,95166.6,221082,89678.5,79524.4,1.65986
430544,1540.88,141721,14637.2,29502.2,52134.8,86073.6,23323.3,23522.5,1.67442
362734,1446.6,83113.5,10417.3,9649,19548.8,60009.8,18148.3,16685.3,1.71401
528937,1853.17,521394,42609.5,67318.1,67154.4,214202,86993.9,73967.1,1.71691
801472,2813.95,208381,30768.2,39273.2,104310,194376,57546.1,56491.7,1.74231
348106,1404.36,145698,10902.7,24903.9,23547.7,58912.3,23227.3,18008.1,1.76199
791983,2444.98,520927,23685.1,33607.3,58990.8,129191,46987.6,27086.1,1.79768
333093,1367.89,118109,9306.5,8726.3,18128.8,44938.7,24478.2,16056,1.80021
1.72362e+06,4991.7,810091,82220.2,154622,192403,531563,182053,121264,1.80393
733024,2053.65,6.46441e+06,7016.8,22251,5803.3,1456.8,9295.8,14567.8,1.81026
5.5542e+06,9585.88,2.80969e+07,113992,287221,72561.9,13693.9,128969,193799,1.81057
515136,1946.55,166006,16510.3,34106.5,52129.8,127631,37216.3,25764.8,1.82407
408845,1572.29,88101.8,8713,9788.1,24062.4,57832.4,19533.9,14908.6,1.85547
622237,2439.99,159986,20882.7,48092.2,84183.9,152471,50834.1,28479.2,1.89782
1.1429e+06,3710.92,570146,46066.7,95872.9,117920,322596,120883,69389.1,1.90792
535072,1977.91,409971,13387.6,25887.3,25938.3,94979.6,46819.1,15690.6,1.91378
440066,1475.61,198024,8705,12520.8,47178.8,70827.2,40285.7,12010.5,1.92733
955726,2896.14,202308,35789.2,45646.9,87437.7,182952,52719.1,70448.1,1.93272
306835,1226.76,87543,11780.8,12387,20309.3,47155.8,17481.3,20349.8,1.95504
523620,2103.22,280093,6716.5,8490.1,20749.4,40338.9,13249.4,5941.1,1.95966
572917,2096.19,215498,16256.7,54496.2,72756.9,178939,70353.6,23047.2,1.97186
1.57372e+06,3128.57,4.45538e+06,10536.2,34253.9,8772.2,1887.3,15678.8,16057.6,1.97661
907244,2141.35,2.93853e+06,8362.6,20457.8,6374.3,1035.1,10190.6,13444.6,1.9768
2.9946e+06,5296.15,1.41363e+07,38954,118049,24634.8,4217.2,39408.7,72329.5,1.9836
4.3031e+06,7510.29,2.86336e+07,91747.2,249962,53950.7,9334.9,88703.6,166531,1.98552
911687,2746.5,397183,30965.8,43608.4,54015.5,129073,61591.5,42256.1,1.99868
3.9851e+06,6922.14,1.58015e+07,57503.5,182812,40187,9191.6,64235.5,100884,2.00294
374633,1387.89,156976,8393,5942.6,18593.8,37342.4,10739.2,11189.5,2.00339
422916,1688.5,145419,9756.5,16220.8,27468.4,44316.3,13092.6,12520.7,2.02178
427986,1488.81,120363,16029.8,14167,31193,79692.6,38646.1,28700.9,2.04274
960449,2928.82,263639,32382.6,49415.9,67288.5,174380,88811.5,54548.4,2.0437
2.83255e+06,5138.49,2.19979e+07,56732.1,145902,73687.2,120924,81031,103541,2.05577
630038,1894.58,272878,19545.8,23499.5,53843.8,113647,34279.3,33367.3,2.09129
653065,2334.2,197353,22748,37657.6,73056.4,205142,59629.9,42405.6,2.10656
571212,1826.55,209123,10616.7,11820.7,34259.9,68136.6,20601.1,18415.2,2.15053
579798,2004,116732,13121.2,28904.9,67328.2,108595,28542.8,20294.1,2.1591
319002,1254.79,162436,11036.6,19004.3,23234.3,59055.6,23441.6,16502.6,2.19102
