"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
477020,1555.47,204846,10892.9,18864.7,30478.6,66298.6,19673.5,13582.7,0
2.62454e+06,4729.3,5.02523e+06,18526.5,74606.1,15670,2005.2,27493.4,30328.8,0.0277467
1.07638e+06,2381.2,3.4433e+06,9441.3,24502.1,5294.1,848,7904.9,16358.6,0.0315606
349472,1349.68,107553,8153.2,17634.3,15867.6,36477.1,13406.5,7545.6,0.0388857
399537,1381.99,1.05183e+06,4964.6,9324.4,2305.3,931.2,3629.8,5483.2,0.041953
3.118e+06,5488.23,3.46284e+06,14159.5,75737.4,17009.7,2565.8,29874.2,24510.2,0.042175
559686,1976.32,204498,17409.7,38779.4,46309.1,99474.7,29223.4,22306.5,0.0455651
1.36996e+06,2831.45,3.57405e+06,14719.6,35935.4,8314.7,1093.7,14062,24340.2,0.0580562
1.76267e+06,3477.03,8.70747e+06,32700.5,62591.3,16494.4,1646.6,31049.4,54451.3,0.0623342
2.30812e+06,4243.36,4.64041e+06,15377.8,57317,13184.5,1995.1,22089.4,27131.7,0.0763791
509786,1841.52,189418,6604.4,9691.4,13625.9,28966.4,9461.7,8083.7,0.0775898
1.7632e+06,3479.92,3.05697e+06,11963.9,43644.3,9807.3,1360.3,17671.2,20065.9,0.0779329
599449,1714.51,1.65391e+06,4287.7,12283.3,2574.6,486.5,3566,8030.2,0.0889912
1.17232e+06,2627.52,1.51308e+06,50598.4,60946.7,76652.1,212732,74542,47027.2,0.10683
859567,2054.69,3.19679e+06,6995,17236.6,3937.5,946.7,6968.9,10876.3,0.112985
1.05888e+06,2359.59,3.3907e+06,8936.3,24164.6,5293.6,1229,8509.9,14332.6,0.114276
791126,2007.89,1.81948e+06,6376.4,18338.7,3810.1,1058.6,6445.5,9795.2,0.13155
1.02068e+06,2318.82,2.76071e+06,8504,23327.1,5037,975.7,7838.4,13714.3,0.134375
1.59671e+06,3159.36,4.66445e+06,12160.8,37147.1,8443.6,1287.5,12717.4,21750.6,0.140388
