"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.36214e+06,3068.31,-79462.4,-1079.9,-2370.3,-588.5,4.7,-1382.6,-2498,2.53446
1.66974e+07,28205.1,1.05605e+06,1176.1,2436.7,2206,838.2,2257.4,2342,2.64719
1.43979e+07,24318.2,1.53253e+06,2694.7,9624.1,2098,1778.4,3371.5,7043.5,2.67001
9.91882e+06,16828.5,581278,2645.3,17853,5039.3,1989.1,15062,4354.3,2.67427
4.64622e+06,7978.37,120275,182.1,2142.2,-201,-13.1,743.8,964,2.67624
1.191e+07,20158.4,1.16154e+06,2577.1,17721.4,1777.8,-67.2,1600.9,7262.8,2.6765
3.85776e+06,7130.6,1.43107e+06,3692.9,12654.3,819,154.5,1104,6614.2,2.67667
5.03461e+06,8645.9,2.26582e+06,6433.8,20270.9,9202.1,1814.3,18933.4,15319.6,2.67717
3.91688e+06,6793.32,7.50214e+06,14721.6,67821.2,14602.6,2886.6,32884.6,38156.6,2.69141
1.29717e+06,3213.54,937553,227591,78650.3,90165,238339,91563.3,80025.2,2.69214
1.03435e+07,17527.1,2.29467e+06,4423.6,35266.3,16011.2,24437.9,34201,9061.2,2.70858
3.07949e+06,5817.82,1.7344e+07,40471.2,89746.2,34793.4,3742.9,69452.7,129378,2.70949
3.57273e+06,6466.02,2.62196e+07,140566,147032,55099.7,5625.6,109710,309249,2.71163
5.97236e+06,10494.7,2.6295e+07,61078.1,12470.2,59855,5842.7,120458,225303,2.73729
7.43776e+06,12755.3,2.43329e+07,38270.2,101319,52102,9317.4,116108,148474,2.73733
6.01913e+06,10388.6,3.47198e+07,137536,160013,68583.8,7592.1,132532,354025,2.75035
2.68283e+06,5063.44,1.60117e+06,3401.6,59220.2,5683.5,1716.9,8518.3,5667,2.75808
3.48801e+06,6423.5,2.72695e+07,153492,140046,57832.3,5754.8,113339,309373,2.75816
2.48446e+06,4519.51,4.44571e+06,19175.6,74474.7,18516.5,15901.7,30385.9,31270,2.80253
6.42888e+06,11033.6,3.36706e+07,110860,185161,71762,7273.4,141366,282958,2.80329
346219,1320.23,142315,8427.8,12380,6154.8,24210.1,9774,5143.3,2.81642
1.56096e+06,3901.95,1.10994e+06,69536.1,161959,133189,466017,162520,98028.5,2.83439
2.49817e+06,5361.05,699072,19220.6,13726.4,3772.8,11463.8,5775.4,20968.3,2.83444
2.21104e+06,6058.03,989025,115372,123354,89384.5,330216,115124,83738.2,2.83498
1.49915e+06,3862.79,504864,68368.3,39971.4,35183.6,116504,46041.9,43940.6,2.83502
593621,2071.41,287296,18065.1,24610.2,27897.6,93626.1,30188.6,29768.6,2.83511
1.58531e+06,4719.93,996952,12532,196609,15823.5,47534.2,34326.3,19925.7,2.83526
1.26803e+06,3294.65,680476,13748.1,312202,12020.2,44088.9,36251,20759.7,2.8353
4.02413e+06,7281.84,5.48008e+06,93238.7,160397,82917.4,197728,97057.2,72734.1,2.83576
4.04317e+06,6975.21,1.1412e+07,52580.7,159144,40370.7,24578.6,67325,90800.1,2.86133
