"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
1310000,1595.51,1140000,41348.9,-991.519,79721.4,20154.9,25280.8,3288.21,0
768020,1748.57,580785,21601.3,1010.03,45092.3,10885.9,10232.5,1827.37,0.00158719
569361,1715.83,438591,17172,-134.016,42036.5,14119.3,5240.14,4094.11,0.018334
1210000,1841.82,1010000,72933.1,451.622,132410,59684.5,19848.1,7702.5,0.0203078
689297,1831.64,644945,32816.4,714.693,71362,29771.3,9218.56,3430.84,0.0310722
1140000,2141.47,912792,42028.6,21909.8,40939.6,27453.7,26635.6,8440.33,0.0349588
824073,1866.96,503265,25604.2,564.093,55765.5,16193.4,13621.5,5370.1,0.0361797
750342,1609.82,612513,36104.6,446.97,158263,28809.6,27021.9,7726.83,0.0387843
764296,1760.51,657193,65020.6,1161.9,84853.7,35926,10257.1,7067.1,0.056223
582712,1645.03,382840,21989.3,94.701,25837.1,3748.65,485.774,999.61,0.0569555
804034,1556.6,501516,21270.4,186.034,39025.7,28255.9,2984.34,5689.15,0.0584003
693879,1577.28,652026,28892.1,27.6178,22987.5,9114.76,938.675,1900.71,0.060252
1230000,2018.47,1200000,32081.8,113385,48566.2,31126.1,3413.11,5967.09,0.0605165
882025,1556.03,721282,34530.3,1266.67,79888.1,24556.1,23435.8,6193.7,0.065156
1360000,2057,1310000,50472.5,154933,91940.9,36438,10491.4,6386.65,0.0659292
1100000,1538.36,782832,35371.5,88.6222,57958,17595.5,8559.15,3255.21,0.0670687
787500,1535.44,626295,48203.9,-120.614,68689.5,29575.5,4086.9,5876.84,0.0716268
948747,1884.62,669485,57019.8,-131.062,73733.7,31072.7,7501.48,4181.86,0.0717286
668244,1386.91,536660,34474.1,-97.707,50429.1,18153.5,9994.28,2317.34,0.0755337
1060000,1716.32,901765,39027.9,7218.48,60472.9,53059.1,13592.7,11976,0.0863592
532353,1558.94,389746,11725.8,-60.3514,22182.4,11508,673.646,689.034,0.09283
844700,1377.59,428419,10609.5,-108.805,13948.6,1935.05,-225.961,417.38,0.0933591
917266,1534.21,697494,25034.6,33925.5,20216.2,5678.77,1753.39,2022.96,0.0981206
907121,1624.23,535095,64068.3,211.844,115048,30401,15389.9,2321.02,0.0995653
1020000,1522.23,715826,46314.8,-433.226,101889,38587,8127.23,11168.8,0.101234
667119,1927.09,660179,38354.6,421.205,86615.5,35261.9,8318.56,5965.86,0.105059
618755,1439.78,613660,28950.2,10925.5,19239.2,7403.77,1283.78,537.065,0.111388
979481,1781.38,835212,59234.8,6720.32,53881.2,47304.6,55167.6,6890.64,0.138472
856109,1628.48,512313,23298.6,-114.718,67628.7,18263.8,4069.49,9049.74,0.141056
882468,1524.88,726722,29436.5,1541.89,30700.9,15099,17294.2,1428.54,0.150416
704965,1627.54,436457,12186.1,244.214,33069.6,18099.4,5427.98,4519.76,0.152756
592849,1777.7,582754,23512.9,8994.04,55243.3,34365.1,12830.2,8095.37,0.169198
